sample_id	err_fmtime	err_fname	total_num_of_PE_reads	num_qualtrim_kept_PE_reads	prop_qualtrim_kept_PE_reads	for_only_surv	rev_only_surv	dropped
F1359	2021-10-19 13:14:02	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_10.err	9729782	9698054	0.996739084185031	13010	2594	260
F1364	2021-10-19 13:24:33	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_11.err	13499658	13463552	0.997325413725296	14446	3323	284
F1366	2021-10-19 13:13:36	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_12.err	9226040	9197692	0.996927392467407	11475	2414	285
F1368	2021-10-19 13:40:12	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_13.err	12317934	12282840	0.997150983273656	13935	3303	309
F1369	2021-10-19 13:36:21	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_14.err	10772002	10738080	0.996850910350741	13720	2922	319
F1451	2021-10-19 13:36:49	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_15.err	10159118	10129944	0.99712829401135	11781	2531	275
F1471	2021-10-19 13:35:49	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_16.err	8641092	8617912	0.997317468671784	9480	1920	190
F1488	2021-10-19 13:31:11	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_17.err	8308614	8286664	0.997358163467457	8817	1956	202
F1489	2021-10-19 13:37:02	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_18.err	8530406	8509458	0.997544313834535	8286	2003	185
F1490	2021-10-19 13:37:49	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_19.err	8831190	8797638	0.996200738518818	14509	1987	280
F1018	2021-10-19 13:08:43	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_1.err	10764874	10736848	0.997396532462897	11071	2709	233
F1632	2021-10-19 13:53:05	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_20.err	11874874	11843384	0.997348182389135	12583	2860	302
F1156	2021-10-19 14:07:31	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_21.err	21135552	21034148	0.995202207162605	40082	9738	882
F1183	2021-10-19 13:46:04	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_22.err	10087700	10035638	0.994839061431248	21360	4258	413
F1191	2021-10-19 13:52:42	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_23.err	11165120	11104654	0.994584384225158	24835	4917	481
F1196	2021-10-19 13:52:54	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_24.err	10232536	10122444	0.989240985812315	49294	4920	832
F1201	2021-10-19 14:03:44	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_25.err	13640596	13569704	0.994802866385017	28558	6194	694
F1252	2021-10-19 14:01:15	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_26.err	10434472	10387142	0.995464073313916	18924	4375	366
F1254	2021-10-19 14:19:55	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_27.err	15790408	15697136	0.994093122862943	38919	6998	719
F1256	2021-10-19 13:59:40	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_28.err	11600850	11540478	0.994795898576397	24900	4836	450
F1257	2021-10-19 14:18:34	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_29.err	17081544	17007034	0.995637982140256	29130	7396	729
F1127	2021-10-19 13:24:02	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_2.err	16693594	16635968	0.996548017161553	24212	4130	471
F1277	2021-10-19 14:03:43	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_30.err	12890896	12828724	0.995177061392785	24833	5686	567
F1296	2021-10-19 14:18:25	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_31.err	15211748	15124562	0.994268508786761	36422	6439	732
F1298	2021-10-19 14:13:26	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_32.err	11998858	11945752	0.995574078799832	21209	4920	424
F1299	2021-10-19 14:37:29	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_33.err	18405438	18250034	0.991556625818956	68319	8140	1243
F1357	2021-10-19 14:43:26	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_34.err	24275912	24133394	0.994129242188718	58971	10901	1387
F1361	2021-10-19 14:12:34	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_35.err	8549720	8506820	0.994982291817744	17544	3536	370
F1362	2021-10-19 14:19:29	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_36.err	9075750	9029276	0.994879321268215	18161	4623	453
F1367	2021-10-19 14:18:05	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_37.err	8129728	8094950	0.995722120100451	13803	3354	232
F1370	2021-10-19 14:32:12	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_38.err	13702916	13642136	0.995564447742364	23731	6102	557
F1497	2021-10-19 14:29:19	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_39.err	11199500	11146126	0.995234251529086	21622	4625	440
F1129	2021-10-19 13:15:45	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_3.err	12622974	12581296	0.996698242426864	17424	3104	311
F1567	2021-10-19 14:26:56	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_40.err	8061108	8027496	0.995830349872499	12831	3678	297
PBS19a	2021-10-19 14:41:51	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_41.err	12010944	11952606	0.995142929648161	23239	5481	449
PBS19b	2021-10-19 14:47:04	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_42.err	14070946	14002192	0.995113761363308	27132	6619	626
PBS20a	2021-10-19 14:43:31	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_43.err	11168416	11111940	0.994943239936621	22925	4877	436
PBS20b	2021-10-19 14:45:16	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_44.err	11231128	11167876	0.994368152513265	25416	5544	666
F1172	2021-10-19 15:01:20	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_45.err	20080052	20003204	0.996172918277303	28906	8732	786
F1194	2021-10-19 15:05:26	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_46.err	16015434	15946286	0.995682414850575	26813	7092	669
F1197	2021-10-19 15:13:37	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_47.err	24374146	24287810	0.996457886155273	33228	9077	863
F1200	2021-10-19 14:58:21	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_48.err	14501876	14379822	0.991583571670314	53620	6296	1111
F1276	2021-10-19 15:19:30	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_49.err	21709648	21572186	0.993668160810346	58792	8690	1249
F1130	2021-10-19 13:13:13	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_4.err	11292734	11259310	0.997040220729542	13564	2864	284
F1278	2021-10-19 15:19:17	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_50.err	18994912	18862268	0.99301686683255	57105	8047	1170
F1282	2021-10-19 15:24:25	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_51.err	19672296	19573360	0.994970795478067	40414	8136	918
F1292	2021-10-19 15:17:16	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_52.err	18128234	18039508	0.995105645701617	35644	7946	773
F1356	2021-10-19 15:11:02	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_53.err	12900286	12844286	0.995659010970764	21641	5841	518
F1358	2021-10-19 15:23:11	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_54.err	15694790	15593378	0.993538492710001	43490	6228	988
F1360	2021-10-19 15:21:26	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_55.err	16061168	15994552	0.995852356441325	25585	7078	645
F1363	2021-10-19 15:14:43	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_56.err	11624780	11575170	0.995732392354952	19099	5241	465
F1365	2021-10-19 15:33:10	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_57.err	16727644	16653584	0.995572598269069	27784	8361	885
F1469	2021-10-19 15:28:35	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_58.err	11564822	11523212	0.996402019849506	15620	4773	412
F1470	2021-10-19 15:40:22	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_59.err	11699746	11651348	0.995863328998766	18800	4934	465
F1143	2021-10-19 13:18:07	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_5.err	12928348	12884280	0.996591366507152	18384	3281	369
F1565	2021-10-19 15:41:06	/full_path_to/wd/auto_metaviromics_jobserrors/slurm-45609959_60.err	13899760	13830722	0.995033151651539	27559	6286	674
