sample_id	total_num_of_PE_reads	num_qualtrim_kept_PE_reads	prop_qualtrim_kept_PE_reads	flag_poor_seq_depth	flag_poor_read_qual
F1111	21722276	21606758	0.994682048971296	0	0
F1112	14373040	14246366	0.991186693977057	0	0
F1113	18186220	18098034	0.995150943956468	0	0
F1114	24485206	24343352	0.994206542513876	0	0
F1115	17393166	17305090	0.994936172057462	0	0
F1116	15568158	15483022	0.994531401852422	0	0
F1118	9816796	9725192	0.990668645859606	0	0
F1119	26085550	25874528	0.991910387168375	0	0
F1121	16550150	16470790	0.995204877297185	0	0
F1124	12095070	12021780	0.993940506338533	0	0
F1010	9310330	9240394	0.992488343592547	0	0
F1125	16605496	16497486	0.993495527023101	0	0
F1126	17548902	17467986	0.995389113233409	0	0
F1132	15679112	15597288	0.994781337106336	0	0
F1134	11955074	11895302	0.995000281888678	0	0
F1139	16058124	15963834	0.994128205760523	0	0
F1140	11092274	11016544	0.993172725448362	0	0
F1141	6966772	6864150	0.985269792093096	0	0
F1142	11261152	11116728	0.987175024366956	0	0
F1144	14492122	14417590	0.994857067860731	0	0
F1146	12242512	12157096	0.993023000508392	0	0
F1011	7825526	7776616	0.993749940898542	0	0
F1147	10385160	10260548	0.988000955209164	0	0
F1148	6890818	6845312	0.993396139616516	0	0
F1149	28783584	28481422	0.989502280188596	0	0
F1150	15334962	15247174	0.994275303714479	0	0
F1151	16941546	16798814	0.991575030991859	0	0
F1157	15090546	14970258	0.992028916647549	0	0
F1158	19420584	19273744	0.992438950342585	0	0
F1159	16197006	16056796	0.991343461871904	0	0
F1160	14182966	14089948	0.993441569274015	0	0
F1161	11599294	11478364	0.989574365474312	0	0
F1012	12047636	11964064	0.993063203436757	0	0
F1162	15431090	15312052	0.992285833340354	0	0
F1163	14049462	13920024	0.990786978177527	0	0
F1164	14477698	14379948	0.993248236011001	0	0
F1165	9760248	9654426	0.989157857464278	0	0
F1167	12787302	12688622	0.992282969464552	0	0
F1168	10275880	10210344	0.993622346699261	0	0
F1171	13523748	13368048	0.988486919454577	0	0
F1178	12388044	12319854	0.994495499047307	0	0
F1182	20438758	20343266	0.995327896147114	0	0
F1184	18764050	18667904	0.99487605287771	0	0
F1013	9835052	9724094	0.988718107438578	0	0
F1190	5781414	5749368	0.994457065347681	0	0
F1192	15314632	15127762	0.987797943822614	0	0
F1193	26322356	26195512	0.995181130442883	0	0
F1195	20166302	19877440	0.985676005447107	0	0
F1198	17542726	17446688	0.994525480247483	0	0
F1202	29006870	28778888	0.992140413633046	0	0
F1203	20326568	20141468	0.990893691448551	0	0
F1204	16778066	16708036	0.995826098192724	0	0
F1206	14665274	14593022	0.995073259456318	0	0
F1209	18724408	18587138	0.992668927103063	0	0
F1014	8938674	8846766	0.989717938029735	0	0
F1210	10869066	10775724	0.991412141576838	0	0
F1211	15097258	15002230	0.993705611972717	0	0
F1212	6369006	6263080	0.983368519357652	0	0
F1213	18518486	18415888	0.99445969827123	0	0
F1215	24380074	24245762	0.994490910897153	0	0
F1216	16342976	4662802	0.285309236212548	0	1
F1217	8975752	8890776	0.990532715253273	0	0
F1219	10640004	10462102	0.983279893503799	0	0
F1220	24201630	24051322	0.993789343940883	0	0
F1221	9380762	9320490	0.993574935596916	0	0
F1015	12701706	12581618	0.990545521995234	0	0
F1222	9882538	9828582	0.994540268906631	0	0
F1224	15105674	15018230	0.99421118183803	0	0
F1225	8719670	8586448	0.984721669512722	0	0
F1226	9859916	9774272	0.991313921944163	0	0
F1227	7556212	7508882	0.993736279500893	0	0
F1228	9436196	9376036	0.993624549553655	0	0
F1229	10693794	10605798	0.991771302121586	0	0
F1230	11149898	11050854	0.991117048783765	0	0
F1231	8654660	8587002	0.99218247741679	0	0
F1232	9476688	9416514	0.993650313274005	0	0
F1016	8037050	7917742	0.985155249749597	0	0
F1234	11339620	3174148	0.279916610962272	0	1
F1235	10933996	3072060	0.280964068397318	0	1
F1236	9473388	9427690	0.995176171397181	0	0
F1237	10409680	10330848	0.992427048670084	0	0
F1238	11681640	11581584	0.991434764296794	0	0
F1239	10449462	2968316	0.284064002529508	0	1
F1240	8488330	8426734	0.992743448946966	0	0
F1241	3982716	1156816	0.290459073657273	0	1
F1242	5701764	5664334	0.993435364915139	0	0
F1243	5503116	5468188	0.993653050380911	0	0
F1017	9410594	8961060	0.9522310706423	0	0
F1244	8306920	8267042	0.99519942409461	0	0
F1245	8532544	8472960	0.993016854059	0	0
F1246	17998512	17876280	0.993208771925146	0	0
F1247	20845078	20666438	0.991430111223379	0	0
F1249	17113338	17021620	0.994640554636389	0	0
F1250	20814910	20653308	0.992236238350298	0	0
F1253	16730996	16650256	0.995174226328188	0	0
F1258	12598240	3547578	0.281593143169205	0	1
F1259	7157528	7062992	0.986792087994626	0	0
F1260	7355592	7281178	0.989883343176185	0	0
F1019	16739286	16577600	0.990340926130302	0	0
F1261	9584626	2717664	0.283544084036247	0	1
F1262	15991822	15856498	0.991537924821825	0	0
F1263	9275132	9147272	0.986214751445047	0	0
F1264	9878180	9775926	0.989648498002669	0	0
F1265	10030244	9975500	0.994542106852037	0	0
F1266	12472412	3515846	0.281889822112996	0	1
F1267	17331730	4732922	0.273078452064508	0	1
F1268	14719560	4246766	0.288511748992497	0	1
F1269	11376682	11279338	0.991443550940424	0	0
F1270	11860902	11775048	0.992761596040504	0	0
F1020	18003748	17861162	0.992080204632946	0	0
F1001	13638954	13500456	0.989845408966113	0	0
F1271	13799176	13660442	0.989946211281021	0	0
F1272	15720764	15575926	0.990786834532978	0	0
F1275	18286718	18178426	0.994078106306446	0	0
F1280	15848454	15756716	0.994211548962441	0	0
F1284	18620762	18496488	0.99332605185545	0	0
F1285	15575992	15512664	0.995934255744353	0	0
F1287	3916712	3896182	0.994758358541552	0	0
F1288	8660734	8577334	0.990370331198256	0	0
F1290	22100610	21880958	0.990061269802055	0	0
F1294	23926794	23781148	0.993912849335352	0	0
F1021	23703352	22803210	0.962024695916426	0	0
F1304	8312132	8225044	0.989522784286871	0	0
F1305	8771974	8703582	0.992203351263923	0	0
F1306	9431524	9345720	0.990902424677072	0	0
F1307	8031626	2315610	0.288311482631288	0	1
F1308	7685494	7619436	0.991404846585008	0	0
F1309	10855616	10762632	0.991434479627872	0	0
F1310	10059690	2857296	0.28403419986103	0	1
F1311	5578790	5527952	0.990887271254161	0	0
F1312	5992620	1683042	0.280852448511669	0	1
F1313	12259754	12193158	0.994567917105025	0	0
F1022	13476136	13319826	0.988400977847062	0	0
F1315	8213144	8142054	0.991344362158998	0	0
F1316	4818178	4777614	0.991581049932153	0	0
F1317	4704502	4665706	0.99175343107517	0	0
F1318	8015212	2344942	0.292561444413448	0	1
F1319	6564534	1838136	0.280010127146877	0	1
F1320	5651790	5608412	0.992324909453465	0	0
F1322	11300704	11225756	0.993367846817331	0	0
F1323	9158196	9067804	0.990129933886543	0	0
F1324	7193578	7153536	0.994433646232793	0	0
F1325	10599246	10529518	0.993421418844322	0	0
F1023	8929752	8834538	0.989337441846089	0	0
F1326	5910720	5855160	0.990600129933409	0	0
F1327	6666430	6598606	0.989826038824378	0	0
F1330	14396068	14327652	0.995247591217268	0	0
F1331	15507528	15356768	0.990278270011829	0	0
