nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Andbire_virus_F1046C18F1046	Andbire_virus_F1046C18F1046	C18	F1046	F1046	F1046_NODE_18_length_3649_cov_8.459655_3	F1046_NODE_18_length_3649_cov_8.459655	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aedes_aegypti_toti_like_virus_F1063C6F1002	Aedes_aegypti_toti_like_virus_F1063C6F1002	C6	F1063	F1002	F1063_NODE_6_length_7436_cov_58.881317_3	F1063_NODE_6_length_7436_cov_58.881317	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_aegypti_toti_like_virus_F1063C6F1002	Aedes_aegypti_toti_like_virus_F1063C6F1002	C6	F1063	F1002	F1063_NODE_6_length_7436_cov_58.881317_3	F1063_NODE_6_length_7436_cov_58.881317	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_aegypti_toti_like_virus_F1063C6F1063	Aedes_aegypti_toti_like_virus_F1063C6F1063	C6	F1063	F1063	F1063_NODE_6_length_7436_cov_58.881317_3	F1063_NODE_6_length_7436_cov_58.881317	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_aegypti_toti_like_virus_F1063C6F1063	Aedes_aegypti_toti_like_virus_F1063C6F1063	C6	F1063	F1063	F1063_NODE_6_length_7436_cov_58.881317_3	F1063_NODE_6_length_7436_cov_58.881317	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Andiett_virus_F1132C2F1132	Andiett_virus_F1132C2F1132	C2	F1132	F1132	F1132_NODE_2_length_3968_cov_71.654741_2	F1132_NODE_2_length_3968_cov_71.654741	Cambodia:Sihanuokville	Cambodia	2019	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Culex_vishnui_subgroup_totivirus_F1143C11F1143	Culex_vishnui_subgroup_totivirus_F1143C11F1143	C11	F1143	F1143	F1143_NODE_11_length_7548_cov_9.055652_2	F1143_NODE_11_length_7548_cov_9.055652	Cambodia:Sihanuokville	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1045	Aeriandims_virus_subsp1_F1156C2F1045	C2	F1156	F1045	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1045	Aeriandims_virus_subsp1_F1156C2F1045	C2	F1156	F1045	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Aeriandims_virus_subsp1_F1156C2F1045	Aeriandims_virus_subsp1_F1156C2F1045	C2	F1156	F1045	F1156_NODE_2_length_7200_cov_572.252624_5	F1156_NODE_2_length_7200_cov_572.252624	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
