nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Retriended_virus_F1011C1F1011	Retriended_virus_F1011C1F1011	C1	F1011	F1011	F1011_NODE_1_length_12910_cov_159.228082_5	F1011_NODE_1_length_12910_cov_159.228082	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	mixed cluster, internally divergent	Aedes sp albopictus or gardneri	_	cluster27	Aedes sp albopictus or gardneri	Aedes
Aedes_albopictus_anphevirus_F1016C1F1016	Aedes_albopictus_anphevirus_F1016C1F1016	C1	F1016	F1016	F1016_NODE_1_length_12433_cov_88.195427_4	F1016_NODE_1_length_12433_cov_88.195427	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Prepisiers_virus_F1032C1F1032	Prepisiers_virus_F1032C1F1032	C1	F1032	F1032	F1032_NODE_1_length_13213_cov_14.139915_4	F1032_NODE_1_length_13213_cov_14.139915	Cambodia:Battambang & Pailin	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Antlested_virus_F1034C1F1034	Antlested_virus_F1034C1F1034	C1	F1034	F1034	F1034_NODE_1_length_13892_cov_121.603310_5	F1034_NODE_1_length_13892_cov_121.603310	Cambodia:Battambang & Pailin	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Imjin_River_virus_1_F1051C1F1051	Imjin_River_virus_1_F1051C1F1051	C1	F1051	F1051	F1051_NODE_1_length_12044_cov_1008.365835_1	F1051_NODE_1_length_12044_cov_1008.365835	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	Culex sp gelidus or sinensis or vishnui.g	Culex
Aedes_anphevirus_F1058C3F1058	Aedes_anphevirus_F1058C3F1058	C3	F1058	F1058	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_anphevirus_F1058C3F1059	Aedes_anphevirus_F1058C3F1059	C3	F1058	F1059	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_anphevirus_F1058C3F1060	Aedes_anphevirus_F1058C3F1060	C3	F1058	F1060	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_anphevirus_F1058C3F1061	Aedes_anphevirus_F1058C3F1061	C3	F1058	F1061	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_anphevirus_F1058C3F1062	Aedes_anphevirus_F1058C3F1062	C3	F1058	F1062	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_anphevirus_F1058C3F1067	Aedes_anphevirus_F1058C3F1067	C3	F1058	F1067	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Aedes_anphevirus_F1058C3F1068	Aedes_anphevirus_F1058C3F1068	C3	F1058	F1068	F1058_NODE_3_length_12924_cov_213.147486_5	F1058_NODE_3_length_12924_cov_213.147486	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
San_Gabriel_mononegavirus_F1076C1F1016	San_Gabriel_mononegavirus_F1076C1F1016	C1	F1076	F1016	F1076_NODE_1_length_12577_cov_70.836049_5	F1076_NODE_1_length_12577_cov_70.836049	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
San_Gabriel_mononegavirus_F1076C1F1076	San_Gabriel_mononegavirus_F1076C1F1076	C1	F1076	F1076	F1076_NODE_1_length_12577_cov_70.836049_5	F1076_NODE_1_length_12577_cov_70.836049	Cambodia:Sihanuokville	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
San_Gabriel_mononegavirus_F1076C1F1168	San_Gabriel_mononegavirus_F1076C1F1168	C1	F1076	F1168	F1076_NODE_1_length_12577_cov_70.836049_5	F1076_NODE_1_length_12577_cov_70.836049	Cambodia:Pursat	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
San_Gabriel_mononegavirus_F1076C1F1197	San_Gabriel_mononegavirus_F1076C1F1197	C1	F1076	F1197	F1076_NODE_1_length_12577_cov_70.836049_5	F1076_NODE_1_length_12577_cov_70.836049	Cambodia:Pursat	Cambodia	2019	Aedes gardneri	misannotated	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
San_Gabriel_mononegavirus_F1076C1F1345	San_Gabriel_mononegavirus_F1076C1F1345	C1	F1076	F1345	F1076_NODE_1_length_12577_cov_70.836049_5	F1076_NODE_1_length_12577_cov_70.836049	Cambodia:Kompong Thom	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
