nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1003	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1003	C2378	F1004	F1003	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1004	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1004	C2378	F1004	F1004	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1005	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1005	C2378	F1004	F1005	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1009	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1009	C2378	F1004	F1009	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1013	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1013	C2378	F1004	F1013	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1014	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1014	C2378	F1004	F1014	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1016	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1016	C2378	F1004	F1016	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1017	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1017	C2378	F1004	F1017	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1076	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1076	C2378	F1004	F1076	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Sihanuokville	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1079	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1079	C2378	F1004	F1079	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Sihanuokville	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1083	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1083	C2378	F1004	F1083	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Sihanuokville	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1161	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1161	C2378	F1004	F1161	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Pursat	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1165	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1165	C2378	F1004	F1165	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Pursat	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1168	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1168	C2378	F1004	F1168	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Pursat	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1341	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1341	C2378	F1004	F1341	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Kompong Thom	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1352	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1352	C2378	F1004	F1352	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	misannotated	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1508	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1508	C2378	F1004	F1508	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1509	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1509	C2378	F1004	F1509	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1511	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1511	C2378	F1004	F1511	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1513	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1513	C2378	F1004	F1513	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1514	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1514	C2378	F1004	F1514	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1517	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1517	C2378	F1004	F1517	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1518	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1518	C2378	F1004	F1518	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1519	Aedes_aegypti_virga_like_virus_subsp1_F1004C2378F1519	C2378	F1004	F1519	F1004_NODE_2378_length_1152_cov_2.756609_1	F1004_NODE_2378_length_1152_cov_2.756609	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
