nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Easynal_virus_F1383C255F1374	Easynal_virus_F1383C255F1374	C255	F1383	F1374	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1374	Easynal_virus_F1383C255F1374	C255	F1383	F1374	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1375	Easynal_virus_F1383C255F1375	C255	F1383	F1375	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1375	Easynal_virus_F1383C255F1375	C255	F1383	F1375	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1380	Easynal_virus_F1383C255F1380	C255	F1383	F1380	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1380	Easynal_virus_F1383C255F1380	C255	F1383	F1380	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1383	Easynal_virus_F1383C255F1383	C255	F1383	F1383	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1383	Easynal_virus_F1383C255F1383	C255	F1383	F1383	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1384	Easynal_virus_F1383C255F1384	C255	F1383	F1384	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Easynal_virus_F1383C255F1384	Easynal_virus_F1383C255F1384	C255	F1383	F1384	F1383_NODE_255_length_2513_cov_3.562246_1	F1383_NODE_255_length_2513_cov_3.562246	Cambodia:Kompong Thom	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
