nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Yongsan_picorna_like_virus_2_F1457C1F1409	Yongsan_picorna_like_virus_2_F1457C1F1409	C1	F1457	F1409	F1457_NODE_1_length_9780_cov_2915.760617_1	F1457_NODE_1_length_9780_cov_2915.760617	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	mixed cluster	Culex sp bitaeniorhynchus or sinensis or vishnui.g	_	cluster11	Culex sp bitaeniorhynchus or sinensis or vishnui.g	Culex
Yongsan_picorna_like_virus_2_F1457C1F1457	Yongsan_picorna_like_virus_2_F1457C1F1457	C1	F1457	F1457	F1457_NODE_1_length_9780_cov_2915.760617_1	F1457_NODE_1_length_9780_cov_2915.760617	Cambodia:Kompong Thom	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	Culex sp gelidus or sinensis or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1035	Zhejiang_mosquito_virus_1_F1605C1F1035	C1	F1605	F1035	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Battambang & Pailin	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1043	Zhejiang_mosquito_virus_1_F1605C1F1043	C1	F1605	F1043	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1044	Zhejiang_mosquito_virus_1_F1605C1F1044	C1	F1605	F1044	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1046	Zhejiang_mosquito_virus_1_F1605C1F1046	C1	F1605	F1046	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1047	Zhejiang_mosquito_virus_1_F1605C1F1047	C1	F1605	F1047	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1466	Zhejiang_mosquito_virus_1_F1605C1F1466	C1	F1605	F1466	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Kompong Thom	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1605	Zhejiang_mosquito_virus_1_F1605C1F1605	C1	F1605	F1605	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Preah Vihear	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Zhejiang_mosquito_virus_1_F1605C1F1613	Zhejiang_mosquito_virus_1_F1605C1F1613	C1	F1605	F1613	F1605_NODE_1_length_9870_cov_225.745695_1	F1605_NODE_1_length_9870_cov_225.745695	Cambodia:Preah Vihear	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
