nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Spoisillett_virus_F1019C753F1019	Spoisillett_virus_F1019C753F1019	C753	F1019	F1019	F1019_NODE_753_length_2446_cov_43.823923_1	F1019_NODE_753_length_2446_cov_43.823923	Cambodia:Battambang & Pailin	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1058	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1058	C389	F1058	F1058	F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1059	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1059	C389	F1058	F1059	F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1062	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1062	C389	F1058	F1062	F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1065	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1065	C389	F1058	F1065	F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1067	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1067	C389	F1058	F1067	F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1068	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1068	C389	F1058	F1068	F1058_NODE_389_length_2500_cov_57.082209_1	F1058_NODE_389_length_2500_cov_57.082209	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Usinis_virus_F1083C108F1083	Usinis_virus_F1083C108F1083	C108	F1083	F1083	F1083_NODE_108_length_2488_cov_200.391286_1	F1083_NODE_108_length_2488_cov_200.391286	Cambodia:Sihanuokville	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Usinis_virus_F1083C108F1515	Usinis_virus_F1083C108F1515	C108	F1083	F1515	F1083_NODE_108_length_2488_cov_200.391286_1	F1083_NODE_108_length_2488_cov_200.391286	Cambodia:Preah Vihear	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Wuhan_Mosquito_Virus_6_F1115C44F1115	Wuhan_Mosquito_Virus_6_F1115C44F1115	C44	F1115	F1115	F1115_NODE_44_length_2481_cov_121.967436_1	F1115_NODE_44_length_2481_cov_121.967436	Cambodia:Sihanuokville	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Wuhan_Mosquito_Virus_6_F1115C44F1120	Wuhan_Mosquito_Virus_6_F1115C44F1120	C44	F1115	F1120	F1115_NODE_44_length_2481_cov_121.967436_1	F1115_NODE_44_length_2481_cov_121.967436	Cambodia:Sihanuokville	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Wuhan_Mosquito_Virus_6_F1115C44F1422	Wuhan_Mosquito_Virus_6_F1115C44F1422	C44	F1115	F1422	F1115_NODE_44_length_2481_cov_121.967436_1	F1115_NODE_44_length_2481_cov_121.967436	Cambodia:Kompong Thom	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Wuhan_Mosquito_Virus_6_F1115C44F1576	Wuhan_Mosquito_Virus_6_F1115C44F1576	C44	F1115	F1576	F1115_NODE_44_length_2481_cov_121.967436_1	F1115_NODE_44_length_2481_cov_121.967436	Cambodia:Preah Vihear	Cambodia	2019	Culex quinquefasciatus	correct	Culex quinquefasciatus	_	cluster17	Culex quinquefasciatus	Culex
Panessemat_virus_F1398C269F1230	Panessemat_virus_F1398C269F1230	C269	F1398	F1230	F1398_NODE_269_length_2478_cov_48.295089_1	F1398_NODE_269_length_2478_cov_48.295089	Cambodia:Pursat	Cambodia	2019	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	Coquillettidia crassipes	Coquillettidia
Panessemat_virus_F1398C269F1387	Panessemat_virus_F1398C269F1387	C269	F1398	F1387	F1398_NODE_269_length_2478_cov_48.295089_1	F1398_NODE_269_length_2478_cov_48.295089	Cambodia:Kompong Thom	Cambodia	2019	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	Coquillettidia crassipes	Coquillettidia
Panessemat_virus_F1398C269F1396	Panessemat_virus_F1398C269F1396	C269	F1398	F1396	F1398_NODE_269_length_2478_cov_48.295089_1	F1398_NODE_269_length_2478_cov_48.295089	Cambodia:Kompong Thom	Cambodia	2019	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	Coquillettidia crassipes	Coquillettidia
Panessemat_virus_F1398C269F1398	Panessemat_virus_F1398C269F1398	C269	F1398	F1398	F1398_NODE_269_length_2478_cov_48.295089_1	F1398_NODE_269_length_2478_cov_48.295089	Cambodia:Kompong Thom	Cambodia	2019	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	Coquillettidia crassipes	Coquillettidia
Panessemat_virus_F1398C269F1540	Panessemat_virus_F1398C269F1540	C269	F1398	F1540	F1398_NODE_269_length_2478_cov_48.295089_1	F1398_NODE_269_length_2478_cov_48.295089	Cambodia:Preah Vihear	Cambodia	2019	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	Coquillettidia crassipes	Coquillettidia
Panessemat_virus_F1398C269F1551	Panessemat_virus_F1398C269F1551	C269	F1398	F1551	F1398_NODE_269_length_2478_cov_48.295089_1	F1398_NODE_269_length_2478_cov_48.295089	Cambodia:Preah Vihear	Cambodia	2019	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	Coquillettidia crassipes	Coquillettidia
Pageromars_virus_F1413C102F1245	Pageromars_virus_F1413C102F1245	C102	F1413	F1245	F1413_NODE_102_length_2466_cov_759.949813_1	F1413_NODE_102_length_2466_cov_759.949813	Cambodia:Pursat	Cambodia	2019	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10	Culex bitaeniorhynchus	Culex
Pageromars_virus_F1413C102F1413	Pageromars_virus_F1413C102F1413	C102	F1413	F1413	F1413_NODE_102_length_2466_cov_759.949813_1	F1413_NODE_102_length_2466_cov_759.949813	Cambodia:Kompong Thom	Cambodia	2019	Culex bitaeniorhynchus	correct	Culex bitaeniorhynchus	_	cluster10	Culex bitaeniorhynchus	Culex
