sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC
F1001	F1001_NODE_2217_length_1552_cov_1570.360721	13568825	128363	6075.59278350515	447.761157175006	98.7757731958763	0	1570.360721	1552	yes	6095.45178427027	0
F1002	F1001_NODE_2217_length_1552_cov_1570.360721	7633266	76	3.63853092783505	0.476667644994299	67.1391752577319	-9.8755299637477	1570.360721	1552	no	6.41521888074495	-9.8920189500718
F1001	F1004_NODE_2378_length_1152_cov_2.756609	13568825	29	1.82118055555556	0.134218000125697	29.0798611111111	-2.97243570274137	2.756609	1152	no	1.85525357657064	-2.98000424592846
F1002	F1004_NODE_2378_length_1152_cov_2.756609	7633266	6	0.348090277777778	0.045601748685003	18.4895833333333	-4.52985281527175	2.756609	1152	no	0.682320429202039	-4.42309931674291
F1003	F1004_NODE_2378_length_1152_cov_2.756609	9666494	67	4.18489583333333	0.432927991610333	95.7465277777778	-1.28288678551233	2.756609	1152	yes	6.01663045797393	-1.2826648851882
F1004	F1004_NODE_2378_length_1152_cov_2.756609	10555859	178	11.1197916666667	1.05342366421024	100	0	2.756609	1152	yes	14.6377370983156	0
F1005	F1004_NODE_2378_length_1152_cov_2.756609	11390791	80	4.93663194444444	0.433387983718114	96.3541666666667	-1.28135471542702	2.756609	1152	yes	6.09654276375051	-1.26362928522928
F1006	F1004_NODE_2378_length_1152_cov_2.756609	14562393	52	3.25954861111111	0.223833308928767	78.2986111111111	-2.23458912706128	2.756609	1152	no	3.09968896519198	-2.23949717705922
F1007	F1004_NODE_2378_length_1152_cov_2.756609	11468286	44	2.75	0.239791717785901	73.9583333333333	-2.13523203861558	2.756609	1152	no	3.33044052480418	-2.13590761579529
F1008	F1004_NODE_2378_length_1152_cov_2.756609	7613276	51	3.203125	0.420728868886403	79.7743055555556	-1.32412305470042	2.756609	1152	no	5.81495184639744	-1.33185338941407
F1009	F1004_NODE_2378_length_1152_cov_2.756609	14472776	89	5.36111111111111	0.370427284379383	98.5243055555556	-1.50782350230832	2.756609	1152	yes	5.33808748538943	-1.4552976843474
F1010	F1004_NODE_2378_length_1152_cov_2.756609	9274717	9	0.511284722222222	0.055126719469955	44.3576388888889	-4.25619021278428	2.756609	1152	no	0.842343761001009	-4.11913961090982
F1011	F1004_NODE_2378_length_1152_cov_2.756609	7800801	10	0.581597222222222	0.0745560901018014	19.3576388888889	-3.82061575995682	2.756609	1152	no	1.11277746420599	-3.71745552615199
F1012	F1004_NODE_2378_length_1152_cov_2.756609	12005091	45	2.63020833333333	0.219091078387772	75.3472222222222	-2.26548313118533	2.756609	1152	no	3.2538278968481	-2.16948268895337
F1013	F1004_NODE_2378_length_1152_cov_2.756609	9779029	57	3.61371527777778	0.369537228878018	93.8368055555556	-1.51129415327659	2.756609	1152	yes	5.05972184627601	-1.53256255798946
F1014	F1004_NODE_2378_length_1152_cov_2.756609	8892134	109	6.63454861111111	0.746114331060588	98.0902777777778	-0.497617149454044	2.756609	1152	yes	10.6406466159367	-0.460106715430569
F1015	F1004_NODE_2378_length_1152_cov_2.756609	12637256	34	2.08333333333333	0.164856463565614	77.8645833333333	-2.67580341649931	2.756609	1152	no	2.33546656717953	-2.64790984148225
F1016	F1004_NODE_2378_length_1152_cov_2.756609	7977076	99	6.30642361111111	0.790568324923958	97.65625	-0.414123715701794	2.756609	1152	yes	10.7730576968303	-0.44226475387978
F1017	F1004_NODE_2378_length_1152_cov_2.756609	9184351	80	4.80034722222222	0.522665915340368	85.0694444444444	-1.01112478893255	2.756609	1152	yes	7.56117056550261	-0.953011034904645
