site	season	village	commune	district	city	elevation_m	trapping.method	trip	month	genus	subgenus	species	genus_species	sex	blood_meal	number	old_eppendorf	old_box	new_eppendorf	new_box	Location	datetime_setup	datetime_collect	lat	long	id	Sample	latlong_provided	seq_priority
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1001	F1001	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1002	F1002	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 10:20:00	2019-10-10 10:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1058	F1058	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 10:20:00	2019-10-10 10:20:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1059	F1059	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-10 10:00:00	2019-10-11 09:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1060	F1060	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-10 07:50:00	2019-10-11 07:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1061	F1061	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-10 10:20:00	2019-10-11 10:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1062	F1062	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 06:00:00	2019-10-10 05:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1063	F1063	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 06:00:00	2019-10-10 05:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1064	F1064	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 06:00:00	2019-10-10 05:55:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1065	F1065	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-10 05:55:00	2019-10-11 05:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1066	F1066	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-10 05:55:00	2019-10-11 05:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1067	F1067	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-10 05:55:00	2019-10-11 05:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1068	F1068	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1084	F1084	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1085	F1085	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Sihanuokville	2019-10-09 08:00:00	2019-10-10 07:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1086	F1086	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 16:55:00	2019-10-16 16:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1335	F1335	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 16:45:00	2019-10-16 16:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1336	F1336	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-15 16:45:00	2019-10-16 16:40:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1337	F1337	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 16:55:00	2019-10-15 04:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1338	F1338	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 16:55:00	2019-10-15 16:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1339	F1339	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Kompong Thom	2019-10-14 16:55:00	2019-10-15 04:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1340	F1340	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 15:40:00	2019-10-23 15:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1503	F1503	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-22 15:55:00	2019-10-23 16:02:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1504	F1504	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-23 15:45:00	2019-10-24 15:43:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1505	F1505	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-23 16:02:00	2019-10-24 15:59:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1506	F1506	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	aegypti	Aedes aegypti	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Preah Vihear	2019-10-23 07:00:00	2019-10-24 07:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1507	F1507	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 16:05:00	2019-10-16 16:10:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1003	F1003	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 08:00:00	2019-10-16 07:57:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1004	F1004	masked, available in supplementary info or upon request	high
masked, available in supplementary info or upon request	Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	October	Aedes	Stegomyia	albopictus	Aedes albopictus	female	0	1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	Battambang & Pailin	2019-10-15 08:30:00	2019-10-16 08:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	FSPI_1005	F1005	masked, available in supplementary info or upon request	high
