Sample	'Batch	'LibPool	'site	'season	'village	'commune	'district	'city	'elevation_m	'trapping.method	'trip	'month	'genus	'subgenus	'species	'genus_species	'sex	'blood_meal	'number	'old_eppendorf	'old_box	'new_eppendorf	'new_box	'Location	'datetime_setup	'datetime_collect	'lat	'long	'id	'latlong_provided	'seq_priority	'tr	'trait
F1005	'1.1	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Battambang & Pailin	'2019-10-15 08:30:00	'2019-10-16 08:25:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1005	masked, available in supplementary info or upon request	'high	'NA	'NA
F1009	'1.1	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Battambang & Pailin	'2019-10-15 09:02:00	'2019-10-16 09:00:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1009	masked, available in supplementary info or upon request	'high	'NA	'NA
F1015	'1.1	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Battambang & Pailin	'2019-10-15 09:52:00	'2019-10-16 09:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1015	masked, available in supplementary info or upon request	'high	'NA	'NA
F1335	'1.1	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-15 16:55:00	'2019-10-16 16:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1335	masked, available in supplementary info or upon request	'high	'NA	'NA
F1339	'1.1	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 16:55:00	'2019-10-15 16:50:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1339	masked, available in supplementary info or upon request	'high	'NA	'NA
F1341	'1.1	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:38:00	'2019-10-15 15:35:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1341	masked, available in supplementary info or upon request	'high	'NA	'NA
F1342	'1.2	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'albopictus	'Aedes albopictus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:38:00	'2019-10-15 15:35:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1342	masked, available in supplementary info or upon request	'high	'NA	'NA
F1419	'1.2	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 13:30:00	'2019-10-15 13:28:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1419	masked, available in supplementary info or upon request	'high	'NA	'NA
F1422	'1.2	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Culex	'Culex	'quinquefasciatus	'Culex quinquefasciatus	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Kompong Thom	'2019-10-14 15:06:00	'2019-10-15 15:05:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1422	masked, available in supplementary info or upon request	'high	'NA	'NA
F1503	'1.2	'1	masked, available in supplementary info or upon request	'Rainy	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'October	'Aedes	'Stegomyia	'aegypti	'Aedes aegypti	female	'0	'1	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'Preah Vihear	'2019-10-22 15:40:00	'2019-10-23 15:45:00	masked, available in supplementary info or upon request	masked, available in supplementary info or upon request	'FSPI_1503	masked, available in supplementary info or upon request	'high	'NA	'NA
