sample_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
F1360	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1363	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1368	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1362	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1366	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1356	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1358	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1369	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1018	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1359	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1361	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1365	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1370	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1364	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1367	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1357	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1
F1502	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1538	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1236	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1547	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1540	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1542	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1237	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1229	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1232	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1231	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1235	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1549	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1390	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1388	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1398	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1548	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1541	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1395	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1545	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1399	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1387	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1552	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1393	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1396	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1543	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1226	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1551	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1225	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1539	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1550	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
F1392	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2
