ID	Cluster__autocolour
F1001	1
F1002	1
F1003	1
F1004	1
F1005	1
F1006	1
F1007	1
F1008	1
F1009	1
F1010	1
F1011	1
F1012	1
F1013	1
F1014	1
F1015	1
F1016	1
F1017	1
F1018	1
F1019	1
F1020	1
F1021	1
F1022	1
F1023	1
F1024	1
F1025	1
F1026	1
F1027	1
F1028	1
F1029	1
F1030	1
F1031	1
F1032	1
F1033	1
F1034	1
F1035	1
F1036	1
F1037	1
F1038	1
F1039	1
F1040	1
F1041	1
F1042	1
F1043	1
F1044	1
F1045	1
F1046	1
F1047	1
F1048	1
F1049	1
F1050	1
F1051	1
F1052	1
F1054	1
F1055	1
F1056	1
F1057	1
F1058	1
F1059	1
F1060	1
F1061	1
F1062	1
F1063	1
F1064	1
F1065	1
F1066	1
F1067	1
F1068	1
F1069	1
F1070	1
F1071	1
F1073	1
F1074	1
F1075	1
F1076	1
F1078	1
F1079	1
F1080	1
F1081	1
F1082	1
F1083	1
F1084	1
F1085	1
F1086	1
F1087	1
F1088	1
F1089	1
F1090	1
F1091	1
F1092	1
F1093	1
F1094	1
F1095	1
F1096	1
F1097	1
F1098	1
F1099	1
F1100	1
F1101	1
F1102	1
F1103	1
F1104	1
F1105	1
F1106	1
F1107	1
F1108	1
F1109	1
F1110	1
F1111	1
F1112	1
F1113	1
F1114	1
F1115	1
F1116	1
F1117	1
F1118	1
F1119	1
F1120	1
F1121	1
F1122	1
F1123	1
F1124	1
F1125	1
F1126	1
F1127	1
F1129	1
F1130	1
F1132	1
F1134	1
F1139	1
F1140	1
F1141	1
F1142	1
F1143	1
F1144	1
F1146	1
F1147	1
F1148	1
F1149	1
F1150	1
F1151	1
F1152	1
F1156	1
F1157	1
F1158	1
F1159	1
F1160	1
F1161	1
F1162	1
F1163	1
F1164	1
F1165	1
F1167	1
F1168	1
F1171	1
F1172	1
F1177	1
F1178	1
F1182	1
F1183	1
F1184	1
F1185	1
F1186	1
F1187	1
F1190	1
F1191	1
F1192	1
F1193	1
F1194	1
F1195	1
F1196	1
F1197	1
F1198	1
F1200	1
F1201	1
F1202	1
F1203	1
F1204	1
F1205	1
F1206	1
F1207	1
F1209	1
F1210	1
F1211	1
F1212	1
F1213	1
F1215	1
F1216	1
F1217	1
F1219	1
F1220	1
F1221	1
F1222	1
F1223	1
F1224	1
F1225	1
F1226	1
F1227	1
F1228	1
F1229	1
F1230	1
F1231	1
F1232	1
F1234	1
F1235	1
F1236	1
F1237	1
F1238	1
F1239	1
F1240	1
F1241	1
F1242	1
F1243	1
