sample_id	'ref_id	'total_reads	'mapped_reads	'average_cov	'norm_average_cov	'percentage_covered	'mosquito_id	'genus_species	'Location	'Batch	'LibPool	'percentage_mapped	'rRNA	'Batch_rounded
F1001	'Aedes_aegypti_12S_NC_035159	'13500456	'13778	'1485.90101892285	'110.063024458052	'98.84	'F1001	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.102055812040719	'12S	'6
F1002	'Aedes_aegypti_12S_NC_035159	'7595396	'37798	'4047.56768558952	'532.897519179977	'99.85	'F1002	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.497643572501026	'12S	'6
F1058	'Aedes_aegypti_12S_NC_035159	'14428646	'14075	'1513.07714701601	'104.866190979806	'99.13	'F1058	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.0975490007863524	'12S	'1
F1059	'Aedes_aegypti_12S_NC_035159	'17648464	'444770	'43600.6215429403	'2470.50516934167	'97.53	'F1059	'Aedes aegypti	'Sihanuokville	'15.1	'15	'2.52016266118117	'12S	'15
F1060	'Aedes_aegypti_12S_NC_035159	'9292570	'139008	'13751.480349345	'1479.83607864616	'99.71	'F1060	'Aedes aegypti	'Sihanuokville	'15.1	'14	'1.49590479275378	'12S	'15
F1061	'Aedes_aegypti_12S_NC_035159	'12159078	'8409	'902.538573508006	'74.227550272151	'99.13	'F1061	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.0691582042651589	'12S	'1
F1062	'Aedes_aegypti_12S_NC_035159	'12038282	'131936	'13029.0334788937	'1082.30007229385	'97.38	'F1062	'Aedes aegypti	'Sihanuokville	'15.1	'15	'1.09597033862473	'12S	'15
F1063	'Aedes_aegypti_12S_NC_035159	'7937616	'3216	'343.069868995633	'43.2207691825396	'98.54	'F1063	'Aedes aegypti	'Sihanuokville	'1.3	'2	'0.0405159433260566	'12S	'1
F1064	'Aedes_aegypti_12S_NC_035159	'9211774	'3389	'349.058224163028	'37.8926170098211	'97.96	'F1064	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0367898734814814	'12S	'15
F1065	'Aedes_aegypti_12S_NC_035159	'6185034	'1064	'105.426491994178	'17.0454183427573	'95.2	'F1065	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0172028156999622	'12S	'15
F1067	'Aedes_aegypti_12S_NC_035159	'6988392	'60468	'5952.02765647744	'851.702030521104	'99.42	'F1067	'Aedes aegypti	'Sihanuokville	'15.1	'14	'0.865263425406016	'12S	'15
F1068	'Aedes_aegypti_12S_NC_035159	'9296110	'2632	'264.917030567686	'28.4976221847295	'97.09	'F1068	'Aedes aegypti	'Sihanuokville	'15.1	'13	'0.0283129179839739	'12S	'15
F1084	'Aedes_aegypti_12S_NC_035159	'8768366	'7791	'803.16885007278	'91.598463165518	'99.13	'F1084	'Aedes aegypti	'Sihanuokville	'17	'19	'0.0888534990441777	'12S	'17
F1085	'Aedes_aegypti_12S_NC_035159	'12386552	'316442	'33722.6506550218	'2722.52121938549	'100	'F1085	'Aedes aegypti	'Sihanuokville	'5.1	'5	'2.55472225038897	'12S	'5
F1086	'Aedes_aegypti_12S_NC_035159	'10646710	'122141	'13062.5021834061	'1226.90504234699	'99.85	'F1086	'Aedes aegypti	'Sihanuokville	'5.1	'5	'1.14721824864207	'12S	'5
F1335	'Aedes_aegypti_12S_NC_035159	'12184458	'19722	'2125.39446870451	'174.434879967949	'97.23	'F1335	'Aedes aegypti	'Kompong Thom	'1.1	'1	'0.161861939201563	'12S	'1
F1336	'Aedes_aegypti_12S_NC_035159	'8853646	'106817	'11479.9141193595	'1296.63125444134	'100	'F1336	'Aedes aegypti	'Kompong Thom	'4.2	'4	'1.20647471109642	'12S	'4
F1339	'Aedes_aegypti_12S_NC_035159	'14315226	'172596	'18539.7481804949	'1295.10691486777	'99.85	'F1339	'Aedes aegypti	'Kompong Thom	'1.1	'1	'1.20568127949918	'12S	'1
F1503	'Aedes_aegypti_12S_NC_035159	'12856586	'73505	'7904.86171761281	'614.849207838909	'99.71	'F1503	'Aedes aegypti	'Preah Vihear	'1.2	'1	'0.571730317830877	'12S	'1
F1504	'Aedes_aegypti_12S_NC_035159	'12515762	'267797	'28761.4119359534	'2298.01524956718	'99.85	'F1504	'Aedes aegypti	'Preah Vihear	'1.2	'1	'2.13967795169004	'12S	'1
F1505	'Aedes_aegypti_12S_NC_035159	'11118220	'200305	'21680.6491994178	'1950.0108110307	'99.71	'F1505	'Aedes aegypti	'Preah Vihear	'10.1	'10	'1.80159234122009	'12S	'10
F1506	'Aedes_aegypti_12S_NC_035159	'9760284	'24598	'2643.33915574964	'270.826049298323	'99.13	'F1506	'Aedes aegypti	'Preah Vihear	'4.1	'4	'0.252021355116306	'12S	'4
F1507	'Aedes_aegypti_12S_NC_035159	'10744470	'24976	'2672.73508005822	'248.754483009234	'99.56	'F1507	'Aedes aegypti	'Preah Vihear	'1.3	'2	'0.232454462621237	'12S	'1
F1001	'Aedes_aegypti_16S_NC_035159	'13500456	'24702	'1368.65367316342	'101.378329232984	'100	'F1001	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.182971597403821	'16S	'6
F1002	'Aedes_aegypti_16S_NC_035159	'7595396	'58188	'3218.76611694153	'423.778578094089	'100	'F1002	'Aedes aegypti	'Battambang & Pailin	'6.1	'6	'0.766095671641084	'16S	'6
F1058	'Aedes_aegypti_16S_NC_035159	'14428646	'12755	'703.292353823088	'48.7427825052391	'98.73	'F1058	'Aedes aegypti	'Sihanuokville	'1.3	'1	'0.0884005332170461	'16S	'1
