sample	refs
F1001	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1002	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1003	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1004	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1005	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1006	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1007	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1008	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1009	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1010	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1012	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1013	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1014	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1015	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1016	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1017	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1040	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1041	Culex_quinquefasciatus_12S_NC_014574,Culex_quinquefasciatus_16S_NC_014574,Culex_quinquefasciatus_18S_AAWU01003351,Culex_quinquefasciatus_28S_AAWU01040617,Culex_quinquefasciatus_5p8S_GU562872
F1058	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1059	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1060	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1061	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1062	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1063	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1064	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1065	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1067	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1068	Aedes_aegypti_12S_NC_035159,Aedes_aegypti_16S_NC_035159,Aedes_aegypti_18S_AAGE02033765_6222_8206,Aedes_aegypti_28S_AAGE02006997_1_2632,Aedes_aegypti_5p8S_GU980956
F1069	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1070	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1071	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
F1074	Aedes_albopictus_12S_NC_006817,Aedes_albopictus_16S_NC_006817,Aedes_albopictus_18S_MNAF02000094_105101_107043,Aedes_albopictus_28S_L22060_1197_5298,Aedes_albopictus_5p8S_MQSRNAGN
