nt_uid	nt_accession	nt_organism	nt_title	nt_slen	tax_id	total_number_of_sequences	input_tax_id
2261129647	MZ819963	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate SB-HB2 coat protein gene, complete cds	1065	578361	119	578361
2261129645	MZ819962	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate SB-HB1 coat protein gene, complete cds	1065	578361	119	578361
2231586091	MW391912	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate NP-BG coat protein and hypothetical protein genes, complete cds	1330	578361	119	578361
1929514405	MW079230	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB83-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514403	MW079229	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB81-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514401	MW079228	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB80-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514399	MW079227	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB79-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514397	MW079226	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB78-MP coat protein gene, complete cds	1065	578361	119	578361
1929514395	MW079225	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB77-MP coat protein gene, complete cds	1065	578361	119	578361
1929514393	MW079224	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB76-MP coat protein gene, complete cds	1065	578361	119	578361
1929514391	MW079223	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB75-MP coat protein gene, complete cds	1065	578361	119	578361
1929514389	MW079222	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB74-MP coat protein gene, complete cds	1065	578361	119	578361
1929514387	MW079221	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB69-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514385	MW079220	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB68-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514383	MW079219	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB67-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514381	MW079218	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB66-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514379	MW079217	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB65-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514377	MW079216	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB64-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514375	MW079215	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB63-CJ5 coat protein gene, complete cds	1065	578361	119	578361
1929514373	MW079214	Soybean yellow mottle mosaic virus	Soybean yellow mottle mosaic virus isolate HB62-CJ5 coat protein gene, complete cds	1065	578361	119	578361
