qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1020_NODE_32_length_2422_cov_1.494297	QMP84020.1	62.3	759	284	2	151	2421	16	774	1931	0	970.7	QMP84020.1 putative RNA-dependent RNA polymerase [Cryphonectria parasitica sclerotimonavirus 1]	2755404	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Sclerotimonavirus	Cryphonectria parasitica sclerotimonavirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Sclerotimonavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Haploviricotina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	QUE49133.1	61.1	777	295	5	100	2421	1	773	1934	0	961.4	QUE49133.1 MAG: RNA-dependent RNA polymerase [Sclerotinia sclerotiorum negative-stranded RNA virus 1-WX]	2822962	Viruses	Negarnaviricota	NA	NA	NA	NA	Sclerotinia sclerotiorum negative-stranded RNA virus 1-WX	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Negarnaviricota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	YP_009094317.1	61.1	777	295	5	100	2421	1	773	1934	0	961.4	YP_009094317.1 large polymerase [Sclerotinia sclerotiorum negative-stranded RNA virus 1]	1483724	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Sclerotimonavirus	Sclerotinia sclerotimonavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Sclerotinia sclerotiorum negative-stranded RNA virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Haploviricotina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	AWY11025.1	60.8	776	299	4	100	2421	1	773	1934	0	960.7	AWY11025.1 RNA-dependent RNA polymerase [Sclerotinia sclerotiorum negative-stranded RNA virus 3-A]	2231707	Viruses	NA	NA	NA	NA	NA	Sclerotinia sclerotiorum negative-stranded RNA virus 3-A	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	unclassified ssRNA negative-strand viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	AWY11008.1	61	777	296	5	100	2421	1	773	1909	0	959.5	AWY11008.1 large polymerase [Sclerotinia sclerotiorum negative-stranded RNA virus 1-A]	2231705	Viruses	NA	NA	NA	NA	NA	Sclerotinia sclerotiorum negative-stranded RNA virus 1-A	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	unclassified ssRNA negative-strand viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	YP_009129259.1	60.7	776	300	4	100	2421	1	773	1934	0	957.2	YP_009129259.1 gp5 [Sclerotinia sclerotiorum negative-stranded RNA virus 3]	1435457	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	Sclerotinia sclerotiorum negative-stranded RNA virus 3	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Mononegavirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Haploviricotina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	ALM62227.1	59.9	780	304	5	94	2421	2	776	1935	0	942.6	ALM62227.1 RNA-dependent RNA polymerase [Soybean leaf-associated negative-stranded RNA virus 2]	1719049	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Mymonaviridae	Sclerotimonavirus	Illinois sclerotimonavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Soybean leaf-associated negative-stranded RNA virus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Haploviricotina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	QJT73696.1	60.1	775	307	2	100	2421	1	774	1934	0	939.9	QJT73696.1 RNA-dependent RNA polymerase [Botrytis cinerea negative-stranded RNA virus 3]	2735938	Viruses	Negarnaviricota	NA	NA	NA	NA	Botrytis cinerea negative-stranded RNA virus 3	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Negarnaviricota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	QUE49142.1	60.3	773	305	2	106	2421	2	773	1933	0	939.9	QUE49142.1 MAG: RNA-dependent RNA polymerase [Sclerotinia sclerotiorum negative-stranded RNA virus 9]	2358186	Viruses	NA	NA	NA	NA	NA	Sclerotinia sclerotiorum negative-stranded RNA virus 9	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	unclassified ssRNA negative-strand viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1020_NODE_32_length_2422_cov_1.494297	QHD64785.1	58.9	776	314	4	100	2421	1	773	1930	4.49999999998568e-293	925.2	QHD64785.1 RNA dependent RNA polymerase [Plasmopara viticola lesion associated mononega virus 2]	2692009	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	Plasmopara viticola lesion associated mononega virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Mononegavirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Haploviricotina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
