qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1121_NODE_266_length_1704_cov_33.295331	APG77861.1	99.6	566	2	0	1699	2	217	782	786	0	1129.4	APG77861.1 polymerase PB2 [Wuhan Mosquito Virus 4]	1608129	Viruses	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 4	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Quaranjavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Polyploviricotina	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1156_NODE_167_length_1580_cov_7.393443	QIR30281.1	97	526	16	0	1578	1	15	540	796	0	1047.3	QIR30281.1 RNA-dependent RNA polymerase [Plasmopara viticola lesion associated narnavirus 2]	2719503	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Plasmopara viticola lesion associated narnavirus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Narnavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1156_NODE_167_length_1580_cov_7.393443	QIP68021.1	94.7	526	28	0	1578	1	15	540	796	0	1030.4	QIP68021.1 RNA-dependent RNA polymerase [Bremia lactucae associated narnavirus 3]	2719804	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Bremia lactucae associated narnavirus 3	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Narnavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_1_length_2823_cov_966.036488	QKN22726.1	21.6	913	572	30	2620	2	129	937	1121	1.8e-19	107.5	QKN22726.1 replicase [Erysiphe necator associated ssRNA virus 12]	2743178	Viruses	NA	NA	NA	NA	NA	Erysiphe necator associated ssRNA virus 12	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_1_length_2823_cov_966.036488	QLL27729.1	21.7	952	602	34	2731	2	92	942	1126	2.4e-19	107.1	QLL27729.1 putative RdRp [Leveillula taurica associated virga-like virus 1]	2754865	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	NA	Leveillula taurica associated virga-like virus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Virgaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1362_NODE_65_length_3470_cov_9.747584	QKN22719.1	22.7	1075	665	37	455	3451	130	1114	1125	6.2e-17	99.8	QKN22719.1 replicase [Erysiphe necator associated ssRNA virus 11]	2743177	Viruses	NA	NA	NA	NA	NA	Erysiphe necator associated ssRNA virus 11	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1362_NODE_65_length_3470_cov_9.747584	QKN22726.1	23.4	1019	680	32	515	3448	151	1109	1121	8.1e-17	99.4	QKN22726.1 replicase [Erysiphe necator associated ssRNA virus 12]	2743178	Viruses	NA	NA	NA	NA	NA	Erysiphe necator associated ssRNA virus 12	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1362_NODE_65_length_3470_cov_9.747584	QHD64841.1	22.8	1055	647	41	437	3397	125	1080	1109	8.1e-17	99.4	QHD64841.1 RdRp [Erysiphe necator associated ssRNA virus 2]	2695360	Viruses	NA	NA	NA	NA	NA	Erysiphe necator associated ssRNA virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1362_NODE_65_length_3470_cov_9.747584	QWC36511.1	26.7	333	204	9	2477	3469	659	953	1910	1.3e-16	99	QWC36511.1 polyprotein [Bemisia tabaci bromo-like virus 3]	2840003	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Bromoviridae	NA	Bemisia tabaci bromo-like virus 3	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Bromoviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1362_NODE_65_length_3470_cov_9.747584	QPN36965.1	28.3	322	185	12	2459	3391	1034	1320	1919	3e-16	97.8	QPN36965.1 polyprotein [Ganwon-do negev-like virus 1]	2789888	Viruses	NA	NA	NA	NA	Negevirus	Ganwon-do negev-like virus 1	NA	Riboviria	unclassified ssRNA positive-strand viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified ssRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
