qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
PBS1a_NODE_8388_length_265_cov_2.442857	DAX41003.1	100	87	0	0	3	263	261	347	508	3.3e-49	172.6	DAX41003.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAK47575.1	100	87	0	0	3	263	229	315	475	1.8e-49	172.6	DAK47575.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAK19362.1	100	87	0	0	3	263	229	315	475	1.8e-49	172.6	DAK19362.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAO77892.1	100	87	0	0	3	263	229	315	475	1.8e-49	172.6	DAO77892.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAO04382.1	100	87	0	0	3	263	261	347	507	3.3e-49	172.6	DAO04382.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAE07323.1	100	87	0	0	3	263	261	347	507	3.3e-49	172.6	DAE07323.1 TPA: MAG TPA: major capsid protein [Phage sp. ct17O1]	2825789	Viruses	NA	NA	NA	NA	NA	Phage sp. ct17O1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAS97795.1	100	87	0	0	3	263	261	347	507	3.3e-49	172.6	DAS97795.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAK49515.1	100	87	0	0	3	263	229	315	475	1.8e-49	172.6	DAK49515.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAM39438.1	100	87	0	0	3	263	229	315	475	1.8e-49	172.6	DAM39438.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1a_NODE_8388_length_265_cov_2.442857	DAX94388.1	100	87	0	0	3	263	229	315	475	1.8e-49	172.6	DAX94388.1 TPA: MAG TPA: major capsid protein [Bacteriophage sp.]	38018	Viruses	NA	NA	NA	NA	NA	Bacteriophage sp.	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified bacterial viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
