nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040587	NC_040587_Yongsan_iflavirus_1	NC_040587_Yongsan_iflavirus_1	Culex pipiens	Culex	South Korea	South Korea: Yongsan	2016	8977	Yongsan iflavirus 1 strain A16.2047/ROK/2016 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040601	NC_040601_Varroa_destructor_iflavirus_1	NC_040601_Varroa_destructor_iflavirus_1	Varroa destructor	Varroa	Israel	Israel	2014	9552	Varroa destructor virus 2 isolate VDV-2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040646	NC_040646_Culex_Iflavi-like_virus_1	NC_040646_Culex_Iflavi-like_virus_1	Culex	Culex	USA	USA	2016	10310	Culex Iflavi-like virus 1 strain CIVL1/Sutter, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040675	NC_040675_Nesidiocoris_tenuis_iflavirus_1	NC_040675_Nesidiocoris_tenuis_iflavirus_1	NA	NA	China	China	2015	10663	Nesidiocoris tenuis iflavirus 1 strain SD, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038302	NC_038302_Nilaparvata_lugens_honeydew_virus_1	NC_038302_Nilaparvata_lugens_honeydew_virus_1	Nilaparvata lugens	Nilaparvata	Japan	Japan	NA	10967	Nilaparvata lugens honeydew virus-1 genomic RNA, complete genome, isolate: Izumo	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_036585	NC_036585_Armigeres_iflavirus	NC_036585_Armigeres_iflavirus	Armigeres	Armigeres	Philippines	Philippines: Laguna	2010	9283	Armigeres iflavirus gene for polyprotein, complete cds, strain: 10P38-310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_036389	NC_036389_Chequa_iflavirus	NC_036389_Chequa_iflavirus	Cherax quadricarinatus	Cherax	Australia	Australia	2014	9932	Chequa iflavirus isolate A14-49.4, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034384	NC_034384_Diamondback_moth_iflavirus	NC_034384_Diamondback_moth_iflavirus	Plutella xylostella	Plutella	China	China	2016	9580	Diamondback moth iflavirus isolate Guangzhou, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034217	NC_034217_Pityohyphantes_rubrofasciatus_iflavirus	NC_034217_Pityohyphantes_rubrofasciatus_iflavirus	Pityohyphantes rubrofasciatus	Pityohyphantes	USA	USA	2016	9834	Pityohyphantes rubrofasciatus iflavirus isolate UW1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033619	NC_033619_Helicoverpa_armigera_iflavirus	NC_033619_Helicoverpa_armigera_iflavirus	Helicoverpa armigera	Helicoverpa	China	China: Hebei Langfang	2013	10017	Helicoverpa armigera iflavirus strain HBLF2013-1 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033455	NC_033455_Wuhan_insect_virus_13	NC_033455_Wuhan_insect_virus_13	Hexapoda	Hexapoda	China	China	2014	9733	Wuhan insect virus 13 strain CC64511 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033418	NC_033418_Wuhan_coneheads_virus_1	NC_033418_Wuhan_coneheads_virus_1	Orthoptera	Orthoptera	China	China	2013	10182	Wuhan coneheads virus 1 strain ZCM4592 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032748	NC_032748_Hubei_picorna-like_virus_44	NC_032748_Hubei_picorna-like_virus_44	Scutigera coleoptrata	Scutigera	China	China	2013	9565	Hubei picorna-like virus 44 strain WHYY20621 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032756	NC_032756_Hubei_picorna-like_virus_40	NC_032756_Hubei_picorna-like_virus_40	Scutigera coleoptrata	Scutigera	China	China	2013	8842	Hubei picorna-like virus 40 strain WHYY23452 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032776	NC_032776_Hubei_picorna-like_virus_29	NC_032776_Hubei_picorna-like_virus_29	Arthropoda	Arthropoda	China	China	2013	10308	Hubei picorna-like virus 29 strain arthropodmix14031 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032994	NC_032994_Shuangao_insect_virus_12	NC_032994_Shuangao_insect_virus_12	Hexapoda	Hexapoda	China	China	2013	9854	Shuangao insect virus 12 strain insectZJ98124 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033014	NC_033014_Hubei_mosquito_virus_1	NC_033014_Hubei_mosquito_virus_1	Culicidae	Culicidae	China	China	2013	9074	Hubei mosquito virus 1 strain mosHB236488 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033030	NC_033030_Hubei_coleoptera_virus_1	NC_033030_Hubei_coleoptera_virus_1	Coleoptera	Coleoptera	China	China	2013	10107	Hubei coleoptera virus 1 strain QCM131202 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033046	NC_033046_Hubei_picorna-like_virus_27	NC_033046_Hubei_picorna-like_virus_27	Coleoptera	Coleoptera	China	China	2013	10184	Hubei picorna-like virus 27 strain QCM155345 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033061	NC_033061_Hubei_odonate_virus_2	NC_033061_Hubei_odonate_virus_2	Odonata	Odonata	China	China	2013	10126	Hubei odonate virus 2 strain QTM74832 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033099	NC_033099_Hubei_picorna-like_virus_28	NC_033099_Hubei_picorna-like_virus_28	Odonata	Odonata	China	China	2013	10061	Hubei picorna-like virus 28 strain QTM24820 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033102	NC_033102_Hubei_odonate_virus_3	NC_033102_Hubei_odonate_virus_3	Odonata	Odonata	China	China	2013	10046	Hubei odonate virus 3 strain QTM25153 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033180	NC_033180_Sanxia_water_strider_virus_7	NC_033180_Sanxia_water_strider_virus_7	Gerridae	Gerridae	China	China	2013	10194	Sanxia water strider virus 7 strain SXSSP2499 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033189	NC_033189_Sanxia_water_strider_virus_21	NC_033189_Sanxia_water_strider_virus_21	Gerridae	Gerridae	China	China	2013	10153	Sanxia water strider virus 21 strain SXSSP2576 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033194	NC_033194_Sanxia_water_strider_virus_8	NC_033194_Sanxia_water_strider_virus_8	Gerridae	Gerridae	China	China	2013	9166	Sanxia water strider virus 8 strain SXSSP2580 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033225	NC_033225_Hubei_picorna-like_virus_30	NC_033225_Hubei_picorna-like_virus_30	Odonata	Odonata	China	China	2013	6111	Hubei picorna-like virus 30 strain QTM27289 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033238	NC_033238_Hubei_picorna-like_virus_41	NC_033238_Hubei_picorna-like_virus_41	Odonata	Odonata	China	China	2013	8964	Hubei picorna-like virus 41 strain QTM133099 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
