qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1409_NODE_7543_length_534_cov_3.559499	YP_009336493.1	45.3	181	86	4	523	5	268	443	989	1.7e-38	151	YP_009336493.1 hypothetical protein 2 [Hubei toti-like virus 10]	1923298	Viruses	NA	NA	NA	NA	NA	Hubei toti-like virus 10	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_7543_length_534_cov_3.559499	YP_009388609.1	46.4	181	83	4	523	5	236	410	955	1.5e-37	148.3	YP_009388609.1 RdRp [Aedes alboannulatus toti-like virus 1]	2010265	Viruses	NA	NA	NA	NA	NA	Aedes alboannulatus toti-like virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_7543_length_534_cov_3.559499	YP_009388611.1	46.4	181	83	4	523	5	236	410	955	1.5e-37	148.3	YP_009388611.1 RdRp [Aedes camptorhynchus toti-like virus 1]	2010266	Viruses	NA	NA	NA	NA	NA	Aedes camptorhynchus toti-like virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_7543_length_534_cov_3.559499	AJT39579.1	42.1	183	95	2	529	2	347	525	1070	5.3e-37	146.7	AJT39579.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	Viruses	NA	NA	NA	NA	NA	dsRNA virus environmental sample	NA	Riboviria	dsRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	environmental samples	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_7543_length_534_cov_3.559499	AJT39585.1	42.1	183	95	2	529	2	356	534	1079	5.3e-37	146.7	AJT39585.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	Viruses	NA	NA	NA	NA	NA	dsRNA virus environmental sample	NA	Riboviria	dsRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	environmental samples	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_13005_length_363_cov_3.928571	AGW51771.1	47.1	121	63	1	2	361	1334	1454	1897	2.3e-28	119.4	AGW51771.1 putative RNA-dependent RNA polymerase-like protein [uncultured virus]	340016	Viruses	NA	NA	NA	NA	NA	uncultured virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	environmental samples	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_13005_length_363_cov_3.928571	YP_009388611.1	47.1	121	63	1	2	361	392	512	955	2.7e-27	116.3	YP_009388611.1 RdRp [Aedes camptorhynchus toti-like virus 1]	2010266	Viruses	NA	NA	NA	NA	NA	Aedes camptorhynchus toti-like virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_13005_length_363_cov_3.928571	YP_009388609.1	47.1	121	63	1	2	361	392	512	955	5e-27	115.5	YP_009388609.1 RdRp [Aedes alboannulatus toti-like virus 1]	2010265	Viruses	NA	NA	NA	NA	NA	Aedes alboannulatus toti-like virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_13005_length_363_cov_3.928571	AJT39589.1	45.9	122	64	1	2	361	470	591	934	5e-27	115.5	AJT39589.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	Viruses	NA	NA	NA	NA	NA	dsRNA virus environmental sample	NA	Riboviria	dsRNA viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	environmental samples	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_13005_length_363_cov_3.928571	APG76025.1	49.6	121	60	1	2	361	281	401	849	1.7e-26	114	APG76025.1 hypothetical protein, partial [Hubei toti-like virus 7]	1923318	Viruses	NA	NA	NA	NA	NA	Hubei toti-like virus 7	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_16491_length_303_cov_2.060484	YP_009336493.1	40.2	87	48	2	41	301	311	393	989	7.9e-12	71.2	YP_009336493.1 hypothetical protein 2 [Hubei toti-like virus 10]	1923298	Viruses	NA	NA	NA	NA	NA	Hubei toti-like virus 10	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_16491_length_303_cov_2.060484	YP_009388609.1	44	84	42	2	29	280	275	353	955	9.5e-11	68.2	YP_009388609.1 RdRp [Aedes alboannulatus toti-like virus 1]	2010265	Viruses	NA	NA	NA	NA	NA	Aedes alboannulatus toti-like virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1409_NODE_16491_length_303_cov_2.060484	YP_009388611.1	44	84	42	2	29	280	275	353	955	9.5e-11	68.2	YP_009388611.1 RdRp [Aedes camptorhynchus toti-like virus 1]	2010266	Viruses	NA	NA	NA	NA	NA	Aedes camptorhynchus toti-like virus 1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
