target	accession1	rdrp_scan_orf_id	accession2	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	description_of_target
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1207_NODE_726_length_2674_cov_10.372279_1	-	0,059	4,2	16,5	0,13	3,1	16,5	1,6	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1207_NODE_955_length_2447_cov_3.328177_1	-	8,00E-05	13,5	12,8	0,00012	13	12,8	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1207_NODE_1086_length_2349_cov_4.276809_5	-	1,3	-0,3	35,6	0,032	5,1	11,4	2,1	2	0	0	2	2	2	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_197.Palmdb.0.4.fasta	-	F1207_NODE_1235_length_2253_cov_4.903549_1	-	0,00011	13	0,1	0,00016	12,5	0,1	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Milneviricetes.0.4.fasta	-	F1207_NODE_1464_length_2123_cov_2.379110_4	-	0,00041	11	0,1	0,00047	10,8	0,1	1,1	1	0	0	1	1	1	1	-
Birnaviridae.ALL_RdRp_Palmdb_0.4.fasta	-	F1207_NODE_1630_length_2046_cov_1.973380_2	-	0,00048	10,7	0,2	0,00063	10,4	0,2	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	-	F1490_NODE_744_length_1974_cov_2.452319_1	-	3,60E-07	21,2	13,1	3,60E-07	21,2	13,1	1,3	2	0	0	2	2	2	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_724.Palmdb.0.4.fasta	-	F1490_NODE_1144_length_1682_cov_2.090350_1	-	0,00013	13	0	0,00019	12,5	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1490_NODE_1262_length_1614_cov_1.760744_1	-	0,082	3,7	40,2	0,1	3,4	40,2	1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1490_NODE_1389_length_1559_cov_1.767287_1	-	0,00036	11,5	12,8	0,00048	11,1	12,8	1,3	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	-	F1490_NODE_1507_length_1500_cov_7.910727_1	-	0,45	0,7	16,4	0,6	0,3	16,4	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1490_NODE_1646_length_1442_cov_4.108147_1	-	0,00072	10,3	11,3	0,00097	9,9	11,3	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1490_NODE_1692_length_1421_cov_11.032211_2	-	0,02	6	63,3	0,022	5,8	63,3	1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1614_NODE_829_length_1435_cov_4.002899_1	-	3,80E-06	18	10,5	4,00E-06	18	10,5	1,2	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_561.Palmdb.0.4.fasta	-	F1614_NODE_968_length_1333_cov_3.099374_1	-	0,018	5,9	15,2	0,024	5,5	15,2	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1614_NODE_1378_length_1141_cov_2.237569_1	-	0,51	0,9	16,5	0,82	0,2	16,5	1,3	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Reovirales.0.4.fasta	-	F1614_NODE_1489_length_1100_cov_2.076555_1	-	3,5	-2	24,1	22	-4,6	24,1	1,9	1	1	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Martellivirales_Nter_GDD.0.4.fasta	-	F1614_NODE_2784_length_789_cov_3.083106_1	-	0,00075	10,7	0	0,0017	9,5	0	1,5	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1614_NODE_3536_length_686_cov_3.009509_1	-	0,00012	12,7	6,1	0,00011	12,7	6,1	1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1615_NODE_48_length_2609_cov_4.891543_1	-	0,18	2,6	11,4	0,012	6,5	2,2	2,2	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1563_NODE_96_length_3314_cov_4.681497_6	-	9,40E-08	23,6	26,9	1,10E-07	23,3	26,9	1,1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta	-	F1563_NODE_105_length_3220_cov_17.236335_2	-	0,13	3	15,7	0,23	2,1	15,7	1,3	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1563_NODE_175_length_2905_cov_11.715088_4	-	0,00024	12,1	13	7,70E-05	13,7	7,7	2	2	0	0	2	2	2	2	-
ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	-	F1124_NODE_1741_length_1844_cov_5.716601_1	-	0,78	0,6	24,1	0,041	4,8	4,3	2,3	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1124_NODE_2845_length_1444_cov_4.422606_3	-	0,07	3,8	19,3	0,1	3,3	19,3	1,2	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1124_NODE_3116_length_1364_cov_9.529412_1	-	0,0024	8,8	16,4	0,003	8,5	16,4	1,2	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1012_NODE_5549_length_738_cov_1.376281_1	-	9,10E-23	72,8	0	1,10E-22	72,6	0	1	1	0	0	1	1	1	1	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1013_NODE_136_length_2317_cov_2.711760_1	-	0,00035	11,2	0	0,00052	10,6	0	1,2	1	0	0	1	1	1	1	-
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1013_NODE_2700_length_909_cov_2.234192_1	-	1,40E-07	22,5	0	1,70E-07	22,3	0	1,1	1	0	0	1	1	1	1	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1013_NODE_4904_length_695_cov_2.025000_1	-	0,00073	10,1	0	0,001	9,6	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1566_NODE_609_length_1994_cov_2.646725_1	-	2	-1,1	21,8	0,14	2,8	14,7	1,9	2	0	0	2	2	2	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1566_NODE_610_length_1993_cov_3.636223_1	-	0,072	3,7	19,9	0,12	3	19,9	1,5	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1566_NODE_629_length_1974_cov_4.125065_1	-	0,015	5,9	15,2	0,025	5,2	15,2	1,2	1	0	0	1	1	1	0	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1566_NODE_753_length_1866_cov_7.767532_1	-	0,00057	10,4	0	0,00074	10,1	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Nodamuvirales.0.4.fasta	-	F1566_NODE_1021_length_1701_cov_6.029769_3	-	0,013	6,4	44,8	0,018	5,9	44,8	1,2	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_731.Palmdb.0.4.fasta	-	F1140_NODE_2366_length_710_cov_3.731298_1	-	0,0043	7,9	13,3	0,005	7,7	13,3	1,1	1	0	0	1	1	1	1	-
ALL_FINAL_RdRp_cores_0.3.clstr_1260.Palmdb.0.4.fasta	-	F1141_NODE_677_length_1301_cov_3.052970_1	-	0,00011	13	0,2	0,00016	12,4	0,2	1,2	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	-	F1143_NODE_11_length_7548_cov_9.055652_2	-	3,90E-102	335,2	2,3	8,20E-102	334,2	2,1	1,4	1	1	0	1	1	1	1	-
Kitrinoviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1143_NODE_41_length_4889_cov_2.043649_3	-	0,00011	13	0	0,00021	12,1	0	1,6	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1143_NODE_45_length_4797_cov_7.706242_2	-	0,58	0,4	17,4	0,14	2,5	10,9	2	2	0	0	2	2	2	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1143_NODE_100_length_3933_cov_7.350954_1	-	1,9	-1	18,8	3,2	-1,8	18,8	1,3	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1143_NODE_122_length_3777_cov_2.022837_2	-	0,0011	10,2	3,5	0,0013	9,9	0	2	1	1	0	2	2	2	1	-
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1143_NODE_170_length_3415_cov_1.741071_1	-	0,00026	11,6	0	0,00055	10,5	0	1,4	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1022_NODE_4678_length_976_cov_0.849077_1	-	0,0012	9,6	0	0,0015	9,3	0	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1022_NODE_7388_length_754_cov_2.178827_1	-	0,00043	11,5	0	0,00044	11,5	0	1	1	0	0	1	1	1	1	-
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1023_NODE_31_length_3891_cov_4.209072_2	-	9,10E-05	13,1	4	5,10E-05	14	0,6	2	2	1	0	2	2	2	1	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1186_NODE_1005_length_2261_cov_3.746600_3	-	0,012	6,3	40,8	0,00012	12,9	18,3	2,2	2	0	0	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1186_NODE_1059_length_2216_cov_12.539565_1	-	0,013	6,1	18,3	0,019	5,6	18,3	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_197.Palmdb.0.4.fasta	-	F1186_NODE_1136_length_2162_cov_1.942572_1	-	3,70E-05	14,6	0,1	5,00E-05	14,1	0,1	1,1	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1186_NODE_1346_length_2038_cov_2.939486_1	-	8,9	-3,2	50,2	0,19	2,3	2,5	2,1	2	0	0	2	2	2	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta	-	F1186_NODE_1371_length_2028_cov_1.628485_2	-	0,56	1	13,9	0,12	3,1	9,9	1,7	1	1	1	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	-	F1186_NODE_1632_length_1905_cov_3.647568_1	-	0,067	3,9	37,4	0,09	3,5	37,4	1,1	1	0	0	1	1	1	0	-
ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	-	F1186_NODE_1636_length_1904_cov_16.832342_6	-	0,0014	9	78,8	0,0017	8,8	78,8	1	1	0	0	1	1	1	1	-
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta	-	F1186_NODE_1702_length_1879_cov_1.657895_2	-	0,00033	11,6	0,1	0,00061	10,7	0,1	1,4	1	0	0	1	1	1	1	-
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1186_NODE_1774_length_1848_cov_11.860569_3	-	0,09	3,4	19,7	0,12	2,9	19,7	1,1	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_652.Palmdb.0.4.fasta	-	F1186_NODE_1865_length_1810_cov_11.108832_1	-	4,8	-2,1	24,3	0,065	4,1	8,1	2,1	1	1	1	2	2	2	0	-
ALL_NCBI_Palmdb_RdRp.Tolivirales_Cter_GDD.0.4.fasta	-	F1186_NODE_1866_length_1810_cov_2.777208_2	-	7,30E-05	13,6	1,3	0,0018	9	0	2,1	2	0	0	2	2	2	2	-
ALL_NCBI_Palmdb_RdRp.Martellivirales_Cter_GDD.0.4.fasta	-	F1186_NODE_1884_length_1802_cov_1.614768_2	-	0,19	2,3	22,6	0,26	1,9	22,6	1,2	1	0	0	1	1	1	0	-
ALL_FINAL_RdRp_cores_0.3.clstr_589.Palmdb.0.4.fasta	-	F1005_NODE_5996_length_985_cov_1.464516_1	-	0,19	2,3	16	0,14	2,7	14,8	1,4	1	1	0	1	1	1	0	-
