qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1414_NODE_252_length_1769_cov_17.358810	QHG11068.1	48.7	550	281	1	32	1678	41	590	614	3.7e-168	502.3	QHG11068.1 methyl transferase [Plasmopara viticola lesion associated polymycovirus 1]	2695348	Viruses	NA	NA	NA	NA	NA	Plasmopara viticola lesion associated polymycovirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_252_length_1769_cov_17.358810	QVK45098.1	49.1	550	279	1	32	1678	41	590	614	5.2e-168	501.9	QVK45098.1 methyltransferase [Alternaria alternata polymycovirus 1]	2836783	Viruses	NA	NA	NA	NA	NA	Alternaria alternata polymycovirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_252_length_1769_cov_17.358810	QRF54815.1	47.5	569	295	2	29	1723	40	608	617	1.3e-158	478	QRF54815.1 methyl transferase [Beauveria bassiana polymycovirus 4]	2807728	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Beauveria bassiana polymycovirus 4	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Polymycovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	QVU39980.1	46.9	260	138	0	1028	249	1	260	263	4.8e-72	236.1	QVU39980.1 hypothetical protein [Magnaporthe oryzae polymycovirus 1]	2509266	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Magnaporthe oryzae polymycovirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	QKK35416.1	46.8	263	140	0	1028	240	1	263	266	1.5e-71	235	QKK35416.1 putative PAS-rich protein [Erysiphe necator associated polymycovirus 4]	2742558	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Erysiphe necator associated polymycovirus 4	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Polymycovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	QKK35423.1	46.9	262	139	0	1028	243	1	262	269	2.3e-71	234.6	QKK35423.1 hypothetical protein [Erysiphe necator associated polymycovirus 6]	2742560	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Erysiphe necator associated polymycovirus 6	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Polymycovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	QVK45100.1	46.9	262	139	0	1028	243	1	262	269	2.3e-71	234.6	QVK45100.1 hypothetical protein [Alternaria alternata polymycovirus 1]	2836783	Viruses	NA	NA	NA	NA	NA	Alternaria alternata polymycovirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	YP_010086048.1	46.7	255	136	0	1028	264	1	255	263	5.4e-71	233.4	YP_010086048.1 hypothetical protein KM556_s4gp1 [Magnaporthe oryzae polymycovirus 1]	2509266	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Magnaporthe oryzae polymycovirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	QRF54816.1	49.2	262	133	0	1028	243	1	262	265	2.3e-70	231.9	QRF54816.1 hypothetical protein [Beauveria bassiana polymycovirus 4]	2807728	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Beauveria bassiana polymycovirus 4	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Polymycovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1414_NODE_740_length_1134_cov_53.395737	CAD7829826.1	46.2	262	141	0	1028	243	1	262	268	8.1e-69	228	CAD7829826.1 proline-alanine-serine rich protein [Beauveria bassiana polymycovirus 3]	1740648	Viruses	NA	NA	NA	Polymycoviridae	Polymycovirus	Beauveria bassiana polymycovirus 3	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Polymycovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
