nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040820	NC_040820_Blackbird_arilivirus	NC_040820_Blackbird_arilivirus	Turdus merula	Turdus	Belgium	Belgium	2017	9228	Blackbird arilivirus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035184	NC_035184_Big_Sioux_River_virus	NC_035184_Big_Sioux_River_virus	Aphis fabae	Aphis	Kenya	Kenya	2014	9691	Big Sioux River virus strain Kenya P9 non-structural polyprotein and structural protein precursor, genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033722	NC_033722_Wuhan_insect_virus_33	NC_033722_Wuhan_insect_virus_33	Hexapoda	Hexapoda	China	China	2013	10232	Wuhan insect virus 33 strain WHCCII11871 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033437	NC_033437_Wuhan_arthropod_virus_2	NC_033437_Wuhan_arthropod_virus_2	Myriapoda	Myriapoda	China	China	2013	9876	Wuhan arthropod virus 2 strain WHSF0 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032740	NC_032740_Changjiang_crawfish_virus_5	NC_032740_Changjiang_crawfish_virus_5	Astacoidea	Astacoidea	China	China	2014	9481	Changjiang crawfish virus 5 strain CJLX22437 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032757	NC_032757_Hubei_picorna-like_virus_15	NC_032757_Hubei_picorna-like_virus_15	Arthropoda	Arthropoda	China	China	2013	9910	Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032779	NC_032779_Changjiang_picorna-like_virus_12	NC_032779_Changjiang_picorna-like_virus_12	Astacoidea	Astacoidea	China	China	2014	8774	Changjiang picorna-like virus 12 strain CJLX29956 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032837	NC_032837_Wenzhou_picorna-like_virus_27	NC_032837_Wenzhou_picorna-like_virus_27	Caridea	Caridea	China	China	2013	8091	Wenzhou picorna-like virus 27 strain shrimp14502 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032898	NC_032898_Shahe_picorna-like_virus_10	NC_032898_Shahe_picorna-like_virus_10	Arthropoda	Arthropoda	China	China	2013	8281	Shahe picorna-like virus 10 strain SHWC13586 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032928	NC_032928_Shahe_picorna-like_virus_11	NC_032928_Shahe_picorna-like_virus_11	Arthropoda	Arthropoda	China	China	2013	9081	Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032969	NC_032969_Wenzhou_picorna-like_virus_35	NC_032969_Wenzhou_picorna-like_virus_35	Charybdis	Charybdis	China	China	2013	9865	Wenzhou picorna-like virus 35 strain WZRBX39547 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032989	NC_032989_Wenzhou_shrimp_virus_4	NC_032989_Wenzhou_shrimp_virus_4	Charybdis	Charybdis	China	China	2013	8636	Wenzhou shrimp virus 4 strain WZRBX43306 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
