vir_sp_seq_ID_v3	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	RdRp_scan_map_consensus_id	orf_start	orf_end	orf_sense
Aedes_partiti_like_virus_1_F1001C2217F1001	C2217	F1001	F1001	F1001_NODE_2217_length_1552_cov_1570.360721_1	F1001_NODE_2217_length_1552_cov_1570.360721	F1001_NODE_2217_length_1552_cov_1570.360721_F1001_RdRpScan_Round1	37	1497	FORWARD
Plasmopara_viticola_lesion_associated_ourmia_like_virus_50_F1012C304F1012	C304	F1012	F1012	F1012_NODE_304_length_2419_cov_54.767343_1	F1012_NODE_304_length_2419_cov_54.767343	F1012_NODE_304_length_2419_cov_54.767343_F1012_RdRpScan_Round1	2	1975	FORWARD
Plasmopara_viticola_lesion_associated_narnavirus_34_F1012C86F1012	C86	F1012	F1012	F1012_NODE_86_length_3331_cov_4.913614_1	F1012_NODE_86_length_3331_cov_4.913614	F1012_NODE_86_length_3331_cov_4.913614_F1012_RdRpScan_Round1	6	3236	FORWARD
Zizania_latifolia_tombusvirus_F1015C16F1015	C16	F1015	F1015	F1015_NODE_16_length_5365_cov_6.108851_2	F1015_NODE_16_length_5365_cov_6.108851	F1015_NODE_16_length_5365_cov_6.108851_F1015_RdRpScan_Round1	1069	2880	FORWARD
Bremia_lactucae_associated_ourmia_like_virus_1_subsp1_F1015C579F1015	C579	F1015	F1015	F1015_NODE_579_length_2145_cov_6.731100_1	F1015_NODE_579_length_2145_cov_6.731100	F1015_NODE_579_length_2145_cov_6.731100_F1015_RdRpScan_Round1	1	1896	FORWARD
Erysiphe_necator_associated_ourmia_like_virus_14_subsp1_F1017C110F1017	C110	F1017	F1017	F1017_NODE_110_length_2473_cov_34.363110_1	F1017_NODE_110_length_2473_cov_34.363110	F1017_NODE_110_length_2473_cov_34.363110_F1017_RdRpScan_Round1	2473	440	REVERSE
Hubei_narna_like_virus_17_subsp1_F1018C224F1018	C224	F1018	F1018	F1018_NODE_224_length_2856_cov_452.672974_1	F1018_NODE_224_length_2856_cov_452.672974	F1018_NODE_224_length_2856_cov_452.672974_F1018_RdRpScan_Round1	2846	9	REVERSE
Narnaviridae_sp__F1049C492F1049	C492	F1049	F1049	F1049_NODE_492_length_1921_cov_1353.998392_1	F1049_NODE_492_length_1921_cov_1353.998392	F1049_NODE_492_length_1921_cov_1353.998392_F1049_RdRpScan_Round1	2	1921	FORWARD
Funkelyfabi_virus_F1070C95F1070	C95	F1070	F1070	F1070_NODE_95_length_2371_cov_2.746114_1	F1070_NODE_95_length_2371_cov_2.746114	F1070_NODE_95_length_2371_cov_2.746114_F1070_RdRpScan_Round1	436	2370	FORWARD
Verdadero_virus_F1086C860F1086	C860	F1086	F1086	F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	F1086_NODE_860_length_1747_cov_313.222813_F1086_RdRpScan_Round1	84	1715	FORWARD
Hubei_mosquito_virus_3_F1087C248F1087	C248	F1087	F1087	F1087_NODE_248_length_2122_cov_11578.753266_1	F1087_NODE_248_length_2122_cov_11578.753266	F1087_NODE_248_length_2122_cov_11578.753266_F1087_RdRpScan_Round1	2120	237	REVERSE
Hubei_tombus_like_virus_20_subsp1_F1090C8F1090	C8	F1090	F1090	F1090_NODE_8_length_4703_cov_8.527108_3	F1090_NODE_8_length_4703_cov_8.527108	F1090_NODE_8_length_4703_cov_8.527108_F1090_RdRpScan_Round1	3313	1853	REVERSE
Abillumpty_virus_F1097C5F1097	C5	F1097	F1097	F1097_NODE_5_length_3277_cov_171.617629_1	F1097_NODE_5_length_3277_cov_171.617629	F1097_NODE_5_length_3277_cov_171.617629_F1097_RdRpScan_Round1	3266	84	REVERSE
Abradivilines_virus_F1097C7F1097	C7	F1097	F1097	F1097_NODE_7_length_2867_cov_32.811522_1	F1097_NODE_7_length_2867_cov_32.811522	F1097_NODE_7_length_2867_cov_32.811522_F1097_RdRpScan_Round1	2865	46	REVERSE
Afficallowely_virus_F1100C461F1100	C461	F1100	F1100	F1100_NODE_461_length_1657_cov_6.475655_1	F1100_NODE_461_length_1657_cov_6.475655	F1100_NODE_461_length_1657_cov_6.475655_F1100_RdRpScan_Round1	1	1344	FORWARD
Zhejiang_mosquito_virus_3_subsp1_F1117C14F1117	C14	F1117	F1117	F1117_NODE_14_length_2164_cov_4.907539_2	F1117_NODE_14_length_2164_cov_4.907539	F1117_NODE_14_length_2164_cov_4.907539_F1117_RdRpScan_Round1	2164	2	REVERSE
Hubei_mosquito_virus_4_F1120C4F1120	C4	F1120	F1120	F1120_NODE_4_length_5019_cov_758.624496_3	F1120_NODE_4_length_5019_cov_758.624496	F1120_NODE_4_length_5019_cov_758.624496_F1120_RdRpScan_Round1	1643	3097	FORWARD
Hubei_narna_like_virus_17_subsp2_F1120C57F1120	C57	F1120	F1120	F1120_NODE_57_length_2277_cov_3.948245_1	F1120_NODE_57_length_2277_cov_3.948245	F1120_NODE_57_length_2277_cov_3.948245_F1120_RdRpScan_Round1	2277	1	REVERSE
Decritial_virus_F1132C20F1132	C20	F1132	F1132	F1132_NODE_20_length_1630_cov_351.145397_1	F1132_NODE_20_length_1630_cov_351.145397	F1132_NODE_20_length_1630_cov_351.145397_F1132_RdRpScan_Round1	1	1629	FORWARD
Serbia_narna_like_virus_2_F1132C4F1132	C4	F1132	F1132	F1132_NODE_4_length_3029_cov_94.587088_2	F1132_NODE_4_length_3029_cov_94.587088	F1132_NODE_4_length_3029_cov_94.587088_F1132_RdRpScan_Round1	32	2656	FORWARD
Drosophila_associated_narnavirus_2_F1132C7F1132	C7	F1132	F1132	F1132_NODE_7_length_2830_cov_221.665225_3	F1132_NODE_7_length_2830_cov_221.665225	F1132_NODE_7_length_2830_cov_221.665225_F1132_RdRpScan_Round1	2809	20	REVERSE
Plasmopara_viticola_lesion_associated_ourmia_like_virus_90_F1156C25F1156	C25	F1156	F1156	F1156_NODE_25_length_2967_cov_121.096841_1	F1156_NODE_25_length_2967_cov_121.096841	F1156_NODE_25_length_2967_cov_121.096841_F1156_RdRpScan_Round1	296	2878	FORWARD
