nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_033482	NC_033482_Wuhan_house_centipede_virus_6	NC_033482_Wuhan_house_centipede_virus_6	Diplopoda	Diplopoda	China	China	2013	3140	Wuhan house centipede virus 6 strain WHWG55397 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032732	NC_032732_Shuangao_insect_virus_10	NC_032732_Shuangao_insect_virus_10	Hexapoda	Hexapoda	China	China	2013	2758	Shuangao insect virus 10 strain insectZJ94627 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032760	NC_032760_Beihai_sphaeromadae_virus_2	NC_032760_Beihai_sphaeromadae_virus_2	Thoracica	Thoracica	China	China	2014	3518	Beihai sphaeromadae virus 2 strain BHTSS26432 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032872	NC_032872_Hubei_diptera_virus_16	NC_032872_Hubei_diptera_virus_16	Diptera	Diptera	China	China	2013	2730	Hubei diptera virus 16 strain SCM32007 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033077	NC_033077_Sanxia_water_strider_virus_17	NC_033077_Sanxia_water_strider_virus_17	Gerridae	Gerridae	China	China	2013	4369	Sanxia water strider virus 17 strain SXSSP1704 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033139	NC_033139_Sanxia_water_strider_virus_16	NC_033139_Sanxia_water_strider_virus_16	Atyidae	Atyidae	China	China	2014	3108	Sanxia water strider virus 16 strain SXXX38069 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033166	NC_033166_Wenzhou_bivalvia_virus_3	NC_033166_Wenzhou_bivalvia_virus_3	Bivalvia	Bivalvia	China	China	2013	5077	Wenzhou bivalvia virus 3 strain beimix38484 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033307	NC_033307_Hubei_noda-like_virus_9	NC_033307_Hubei_noda-like_virus_9	Neoconocephalus	Neoconocephalus	China	China	2013	3267	Hubei noda-like virus 9 strain WHLC5367 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033309	NC_033309_Hubei_noda-like_virus_8	NC_033309_Hubei_noda-like_virus_8	Neoconocephalus	Neoconocephalus	China	China	2013	3831	Hubei noda-like virus 8 strain WHLC5312 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033311	NC_033311_Hubei_orthoptera_virus_4	NC_033311_Hubei_orthoptera_virus_4	Orthoptera	Orthoptera	China	China	2013	3025	Hubei orthoptera virus 4 strain ZCM21011 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032647	NC_032647_Beihai_shrimp_virus_6	NC_032647_Beihai_shrimp_virus_6	Penaeidae	Penaeidae	China	China	2014	2904	Beihai shrimp virus 6 strain BHBJDX18793 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032172	NC_032172_Beihai_noda-like_virus_18	NC_032172_Beihai_noda-like_virus_18	Portunus pelagicus	Portunus	China	China	2014	3220	Beihai noda-like virus 18 strain YYSZX13070 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_024492	NC_024492_Senegalese_sole_Iberian_betanodavirus	NC_024492_Senegalese_sole_Iberian_betanodavirus	Solea senegalensis	Solea	Spain	Spain	2003	3105	Senegalese sole Iberian betanodavirus isolate SpSsIAusc16003 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_013460	NC_013460_Tiger_puffer_nervous_necrosis_virus	NC_013460_Tiger_puffer_nervous_necrosis_virus	NA	NA	Japan	Japan	NA	3112	Tiger puffer nervous necrosis virus RNA 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_008040	NC_008040_Redspotted_grouper_nervous_necrosis_virus	NC_008040_Redspotted_grouper_nervous_necrosis_virus	NA	NA	NA	NA	NA	3105	Redspotted grouper nervous necrosis virus RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
