nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_033716	NC_033716_Zhejiang_mosquito_virus_1	NC_033716_Zhejiang_mosquito_virus_1	Culicidae	Culicidae	China	China	2013	9558	Zhejiang mosquito virus 1 strain mosZJ35497 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032759	NC_032759_Hubei_picorna-like_virus_56	NC_032759_Hubei_picorna-like_virus_56	Diptera	Diptera	China	China	2013	10129	Hubei picorna-like virus 56 strain SCM49537 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032801	NC_032801_Changjiang_crawfish_virus_6	NC_032801_Changjiang_crawfish_virus_6	Astacoidea	Astacoidea	China	China	2014	9743	Changjiang crawfish virus 6 strain CJLX30496 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032990	NC_032990_Hubei_picorna-like_virus_63	NC_032990_Hubei_picorna-like_virus_63	Hexapoda	Hexapoda	China	China	2013	8882	Hubei picorna-like virus 63 strain insectZJ97544 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033003	NC_033003_Hubei_picorna-like_virus_61	NC_033003_Hubei_picorna-like_virus_61	Culicidae	Culicidae	China	China	2013	8681	Hubei picorna-like virus 61 strain mosHB235903 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033019	NC_033019_Hubei_picorna-like_virus_59	NC_033019_Hubei_picorna-like_virus_59	Araneae	Araneae	China	China	2013	9035	Hubei picorna-like virus 59 strain spider133744 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033045	NC_033045_Hubei_picorna-like_virus_62	NC_033045_Hubei_picorna-like_virus_62	Araneae	Araneae	China	China	2013	8840	Hubei picorna-like virus 62 strain spider133936 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033148	NC_033148_Hubei_picorna-like_virus_60	NC_033148_Hubei_picorna-like_virus_60	Odonata	Odonata	China	China	2013	9487	Hubei picorna-like virus 60 strain QTM27104 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033153	NC_033153_Hubei_tetragnatha_maxillosa_virus_5	NC_033153_Hubei_tetragnatha_maxillosa_virus_5	Tetragnatha maxillosa	Tetragnatha	China	China	2013	9650	Hubei tetragnatha maxillosa virus 5 strain SSZZ3471 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033157	NC_033157_Hubei_picorna-like_virus_58	NC_033157_Hubei_picorna-like_virus_58	Tetragnatha maxillosa	Tetragnatha	China	China	2013	9145	Hubei picorna-like virus 58 strain SSZZ391 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
