nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_033713	NC_033713_Wuhan_insect_virus_34	NC_033713_Wuhan_insect_virus_34	Hexapoda	Hexapoda	China	China	2013	2836	Wuhan insect virus 34 strain CC64594 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033752	NC_033752_Xingshan_nematode_virus_5	NC_033752_Xingshan_nematode_virus_5	Nematoda	Nematoda	China	China	2014	2838	Xingshan nematode virus 5 strain XSNXC27943 segment 1 hypothetical protein 1 and RdRp genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033472	NC_033472_Wuhan_insect_virus_17	NC_033472_Wuhan_insect_virus_17	Insecta	Insecta	China	China	2013	2976	Wuhan insect virus 17 strain WHCCII1277 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033487	NC_033487_Wuhan_heteroptera_virus_2	NC_033487_Wuhan_heteroptera_virus_2	Arthropoda	Arthropoda	China	China	2013	3317	Wuhan heteroptera virus 2 strain arthropodmix10101 segment 1 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033489	NC_033489_Wuhan_house_centipede_virus_5	NC_033489_Wuhan_house_centipede_virus_5	Scutigera coleoptrata	Scutigera	China	China	2013	2715	Wuhan house centipede virus 5 strain WHYY23902 segment 1 hypothetical protein 1 and RdRp genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033452	NC_033452_Wuchan_romanomermis_nematode_virus_3	NC_033452_Wuchan_romanomermis_nematode_virus_3	Nematoda	Nematoda	China	China	2014	2645	Wuchan romanomermis nematode virus 3 strain WCLSXC83893 segment 1 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032865	NC_032865_Beihai_sobemo-like_virus_27	NC_032865_Beihai_sobemo-like_virus_27	Penaeidae	Penaeidae	China	China	2014	3164	Beihai sobemo-like virus 27 strain BHWZXX15541 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032918	NC_032918_Sanxia_sobemo-like_virus_4	NC_032918_Sanxia_sobemo-like_virus_4	Gerridae	Gerridae	China	China	2013	2934	Sanxia sobemo-like virus 4 strain SXSSP2021 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032923	NC_032923_Sanxia_sobemo-like_virus_1	NC_032923_Sanxia_sobemo-like_virus_1	Gerridae	Gerridae	China	China	2013	2863	Sanxia sobemo-like virus 1 strain SXSSP20269 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032930	NC_032930_Sanxia_sobemo-like_virus_2	NC_032930_Sanxia_sobemo-like_virus_2	Gerridae	Gerridae	China	China	2013	3332	Sanxia sobemo-like virus 2 strain SXSSP2316 hypothetical protein 1 and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
