nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040584	NC_040584_Yongsan_picorna-like_virus_3	NC_040584_Yongsan_picorna-like_virus_3	Aedes vexans nipponii	Aedes	South Korea	South Korea: Yongsan	2016	11291	Yongsan picorna-like virus 3 strain YPLV3/16-0052/ROK/2016 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_039236	NC_039236_Solenopsis_invicta_virus_2	NC_039236_Solenopsis_invicta_virus_2	Solenopsis invicta	Solenopsis	USA	USA	NA	10950	Solenopsis invicta virus 2 isolate Florida-Sin, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035450	NC_035450_Lasius_neglectus_virus_1	NC_035450_Lasius_neglectus_virus_1	Lasius neglectus	Lasius	United Kingdom	United Kingdom	NA	11851	Lasius neglectus virus 1 isolate Cambridge-Lne, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035455	NC_035455_Solenopsis_invicta_virus_4	NC_035455_Solenopsis_invicta_virus_4	Solenopsis invicta	Solenopsis	USA	USA	NA	12102	Solenopsis invicta virus 4 isolate Gainesville-Sin, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035456	NC_035456_Lasius_niger_virus_1	NC_035456_Lasius_niger_virus_1	Lasius niger	Lasius	United Kingdom	United Kingdom	NA	11092	Lasius niger virus 1 isolate Cambridge-Lni, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035457	NC_035457_Myrmica_scabrinodis_virus_1	NC_035457_Myrmica_scabrinodis_virus_1	Myrmica scabrinodis	Myrmica	United Kingdom	United Kingdom	NA	11900	Myrmica scabrinodis virus 1 isolate Cambridge-Msc, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033717	NC_033717_Wuhan_spider_virus_4	NC_033717_Wuhan_spider_virus_4	Araneae	Araneae	China	China	2013	11652	Wuhan spider virus 4 strain spider133854 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032752	NC_032752_Hubei_picorna-like_virus_47	NC_032752_Hubei_picorna-like_virus_47	Scutigera coleoptrata	Scutigera	China	China	2013	10106	Hubei picorna-like virus 47 strain WHYY21982 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032978	NC_032978_Shuangao_insect_virus_8	NC_032978_Shuangao_insect_virus_8	Hexapoda	Hexapoda	China	China	2013	12155	Shuangao insect virus 8 strain insectZJ96360 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033053	NC_033053_Hubei_picorna-like_virus_71	NC_033053_Hubei_picorna-like_virus_71	Araneae	Araneae	China	China	2013	11260	Hubei picorna-like virus 71 strain spider133937 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, and hypothetical protein 4 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
