nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040731	NC_040731_Thogotovirus_ozense	NC_040731_Thogotovirus_ozense	Amblyomma testudinarium	Amblyomma	Japan	Japan	2013	2225	Oz virus viral cRNA, segment 2, complete sequence, strain: EH8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_006495	NC_006495_Thogotovirus_thogotoense	NC_006495_Thogotovirus_thogotoense	Rhiphicephalus	Rhiphicephalus	Italy	NA	1969	2212	Thogoto virus segment 2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ822006	MZ822006_Varroa_orthomyxovirus-1	MZ822006_Varroa_orthomyxovirus-1	Apis mellifera	Apis	China	China: Hebei	2018	2256	MAG: Varroa orthomyxovirus-1 isolate VOV1_No2_Am019-HB2018 polymerase subunit PB1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491487	OK491487_Xiangshan_orthomyxo-like_virus	OK491487_Xiangshan_orthomyxo-like_virus	Insecta	Insecta	China	China: Beijing	2020	2233	MAG: Xiangshan orthomyxo-like virus isolate Novel_11 segment 2 RNA-dependent RNA polymerase subunit PB1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ363950	MZ363950_Orthomyxoviridae_sp.	MZ363950_Orthomyxoviridae_sp.	Aedes notoscriptus	Aedes	Australia	Australia: Queensland	2019	2184	Orthomyxoviridae sp. isolate 208825 PB1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT195540	MT195540_Soybean_thrips_thogotovirus_1	MT195540_Soybean_thrips_thogotovirus_1	Neohydatothrips variabilis	Neohydatothrips	USA	USA	2018	2214	Soybean thrips thogotovirus 1 strain STN1 RNA-dependent RNA polymerase subunit PB1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW288164	MW288164_Hemipteran_orthomyxo-related_virus_OKIAV211	MW288164_Hemipteran_orthomyxo-related_virus_OKIAV211	Plea minutissima	Plea	Germany	Germany: Lower Saxony, Luechow-Dannenberg-Hoehbeck-Pevestorf	2011	1550	Hemipteran orthomyxo-related virus OKIAV211 segment 2 polymerase PB1 (PB1) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW288165	MW288165_Orthopteran_orthomyxo-related_virus_OKIAV207	MW288165_Orthopteran_orthomyxo-related_virus_OKIAV207	Atractomorpha sp.	Atractomorpha	Germany	Germany: Lab culture with samples originating from Malaysia	2013	744	Orthopteran orthomyxo-related virus OKIAV207 segment 2 polymerase PB1 (PB1) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW288204	MW288204_Neuropteran_orthomyxo-related_virus_OKIAV210	MW288204_Neuropteran_orthomyxo-related_virus_OKIAV210	Peyerimhoffina gracilis	Peyerimhoffina	Austria	Austria: Lower Austria, Krems-Land Duernstein	2012	2175	Neuropteran orthomyxo-related virus OKIAV210 segment 2 polymerase PB1 (PB1) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT628417	MT628417_Thogotovirus_dhoriense	MT628417_Thogotovirus_dhoriense	Hyalomma plumbeum	Hyalomma	Kyrgyzstan	NA	1974	2224	Thogotovirus dhoriense strain Batken virus segment 2 PB1 protein (PB1) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN830238	MN830238_Neke_harbour_virus	MN830238_Neke_harbour_virus	Ixodes uriae	Ixodes	Antarctica	Antarctica	2018	2194	Neke harbour virus isolate OTU27.IU10 PB1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN095540	MN095540_Thogotovirus_thailandense	MN095540_Thogotovirus_thailandense	Boophilus	Boophilus	Thailand	Thailand	2012	2193	Thailand tick thogotovirus isolate THOV/Boophilus sp./Thailand segment PB1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
