nt_seq_ID	tip_labels	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Hubei_sobemo_like_virus_41_subsp1_F1020C17F1020	Hubei_sobemo_like_virus_41_subsp1_F1020C17F1020	C17	F1020	F1020	F1020_NODE_17_length_2786_cov_37.069205_2	F1020_NODE_17_length_2786_cov_37.069205	Cambodia:Battambang & Pailin	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Pirounced_virus_F1032C17F1032	Pirounced_virus_F1032C17F1032	C17	F1032	F1032	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Battambang & Pailin	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1034	Pirounced_virus_F1032C17F1034	C17	F1032	F1034	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Battambang & Pailin	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1056	Pirounced_virus_F1032C17F1056	C17	F1032	F1056	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1127	Pirounced_virus_F1032C17F1127	C17	F1032	F1127	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Sihanuokville	Cambodia	2019	Culex tritaeniorhynchus	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	_	cluster9	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	Culex
Pirounced_virus_F1032C17F1266	Pirounced_virus_F1032C17F1266	C17	F1032	F1266	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Pursat	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1271	Pirounced_virus_F1032C17F1271	C17	F1032	F1271	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Pursat	Cambodia	2019	Culex gelidus	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1305	Pirounced_virus_F1032C17F1305	C17	F1032	F1305	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Pursat	Cambodia	2019	Culex sinensis	mixed, only 2 samples	Culex sp quinquefasciatus or sinensis	_	cluster7	Culex sp quinquefasciatus or sinensis	Culex
Pirounced_virus_F1032C17F1316	Pirounced_virus_F1032C17F1316	C17	F1032	F1316	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Pursat	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1325	Pirounced_virus_F1032C17F1325	C17	F1032	F1325	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Pursat	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	Culex sp cinctellus or gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1461	Pirounced_virus_F1032C17F1461	C17	F1032	F1461	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Kompong Thom	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	Culex sp cinctellus or gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1585	Pirounced_virus_F1032C17F1585	C17	F1032	F1585	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Preah Vihear	Cambodia	2019	Culex sinensis	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster13	Culex sp gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1604	Pirounced_virus_F1032C17F1604	C17	F1032	F1604	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Preah Vihear	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	Culex sp cinctellus or gelidus or sinensis or vishnui.g	Culex
Pirounced_virus_F1032C17F1607	Pirounced_virus_F1032C17F1607	C17	F1032	F1607	F1032_NODE_17_length_3181_cov_1736.585413_2	F1032_NODE_17_length_3181_cov_1736.585413	Cambodia:Preah Vihear	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or vishnui.g	_	cluster15	Culex sp cinctellus or gelidus or sinensis or vishnui.g	Culex
Culex_luteo_like_virus_F1039C258F1039	Culex_luteo_like_virus_F1039C258F1039	C258	F1039	F1039	F1039_NODE_258_length_2881_cov_647.872611_2	F1039_NODE_258_length_2881_cov_647.872611	Cambodia:Battambang & Pailin	Cambodia	2019	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6	Culex nigropunctatus	Culex
Culex_luteo_like_virus_F1039C258F1563	Culex_luteo_like_virus_F1039C258F1563	C258	F1039	F1563	F1039_NODE_258_length_2881_cov_647.872611_2	F1039_NODE_258_length_2881_cov_647.872611	Cambodia:Preah Vihear	Cambodia	2019	Culex nigropunctatus	correct	Culex nigropunctatus	_	cluster6	Culex nigropunctatus	Culex
