tip_join_var	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	novel_seq
LC498491	LC498491_Phasi_Charoen_like_phasivirus	LC498491_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Ghana	Ghana:Accra	2016	6639	Phasi Charoen-like phasivirus 16GH73 gene for RNA-dependent RNA polymerase, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MF614132	MF614132_Phasi_Charoen_like_phasivirus	MF614132_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	China	China	2016	6773	Phasi Charoen-like phasivirus strain Zhanjiang01 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT361069	MT361069_Phasi_Charoen_like_phasivirus	MT361069_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Kenya	Kenya: Kisumu	2018	6785	Phasi Charoen-like phasivirus strain 18-Kenya-2 RdRp gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT361072	MT361072_Phasi_Charoen_like_phasivirus	MT361072_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Kenya	Kenya: Kwale	2018	6594	Phasi Charoen-like phasivirus strain 18-Kenya-1 RdRp gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT913597	MT913597_Phasi_Charoen_like_phasivirus	MT913597_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Brazil	Brazil	2016	5531	Phasi Charoen-like phasivirus isolate To-1 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KM001085	KM001085_Phasi_Charoen_like_phasivirus	KM001085_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Thailand	Thailand	2008	6783	Phasi Charoen-like virus RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN692603	MN692603_Phasi_Charoen_like_phasivirus	MN692603_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Brazil	Brazil: Aracaju-SE	2016	6792	Phasi Charoen-like phasivirus isolate C302F/2016/BR segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038262	NC_038262_Phasi_Charoen_like_phasivirus	NC_038262_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	Brazil	Brazil	2012	6806	Phasi Charoen-like virus isolate Rio segment L RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MH310079	MH310079_Phasi_Charoen_like_phasivirus	MH310079_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	USA	USA	2015	6789	Phasi Charoen-like phasivirus isolate CC_A_PCLV segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KU936057	KU936057_Phasi_Charoen_like_phasivirus	KU936057_Phasi_Charoen_like_phasivirus	Aedes aegypti	Aedes	United Kingdom	United Kingdom	NA	6769	Phasi Charoen-like phasivirus strain Aag2-Bristol RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
