nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_043232	NC_043232_Thosea_asigna_virus	NC_043232_Thosea_asigna_virus	NA	NA	NA	NA	NA	3858	Thosea asigna virus RNA-dependent RNA polymerase (RdRp) gene, complete cds; and capsid protein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040540	NC_040540_Sarawak_virus	NC_040540_Sarawak_virus	Aedes albopictus	Aedes	Malaysia	Malaysia	2013	5329	Sarawak virus strain SWK-M26, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040795	NC_040795_Shinobi_tetravirus	NC_040795_Shinobi_tetravirus	Aedes albopictus	Aedes	Japan	Japan	NA	4962	Shinobi tetravirus RNA, complete genome, strain: shinobi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033470	NC_033470_Wuhan_house_centipede_virus_9	NC_033470_Wuhan_house_centipede_virus_9	Arthropoda	Arthropoda	China	China	2013	3491	Wuhan house centipede virus 9 strain arthropodmix13921 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033097	NC_033097_Hubei_permutotetra-like_virus_11	NC_033097_Hubei_permutotetra-like_virus_11	Culicidae	Culicidae	China	China	2013	4775	Hubei permutotetra-like virus 11 strain mosHB234479 RdRp and putative capsid protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033105	NC_033105_Hubei_permutotetra-like_virus_1	NC_033105_Hubei_permutotetra-like_virus_1	Culicidae	Culicidae	China	China	2013	4560	Hubei permutotetra-like virus 1 strain mosZJ32939 RdRp, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033114	NC_033114_Hubei_permutotetra-like_virus_6	NC_033114_Hubei_permutotetra-like_virus_6	Coleoptera	Coleoptera	China	China	2013	5394	Hubei permutotetra-like virus 6 strain QCM123521 RdRp and putative capsid protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033121	NC_033121_Hubei_permutotetra-like_virus_2	NC_033121_Hubei_permutotetra-like_virus_2	Odonata	Odonata	China	China	2013	4551	Hubei permutotetra-like virus 2 strain QTM26624 RdRp, hypothetical protein 1, and hypothetical protein 2 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033132	NC_033132_Hubei_permutotetra-like_virus_7	NC_033132_Hubei_permutotetra-like_virus_7	Odonata	Odonata	China	China	2013	4928	Hubei permutotetra-like virus 7 strain QTM27196 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033140	NC_033140_Hubei_permutotetra-like_virus_4	NC_033140_Hubei_permutotetra-like_virus_4	Odonata	Odonata	China	China	2013	4772	Hubei permutotetra-like virus 4 strain QTM26287 RdRp, putative capsid protein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033179	NC_033179_Hubei_permutotetra-like_virus_3	NC_033179_Hubei_permutotetra-like_virus_3	Araneae	Araneae	China	China	2013	4792	Hubei permutotetra-like virus 3 strain spider127212 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
