nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_055221	NC_055221_Betachrysovirus_fugramineari	NC_055221_Betachrysovirus_fugramineari	Fusarium graminearum	Fusarium	South Korea	South Korea	1998	3580	Fusarium graminearum dsRNA mycovirus-2 isolate 98-8-60 segment RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055224	NC_055224_Alphachrysovirus_shuangaoense	NC_055224_Alphachrysovirus_shuangaoense	NA	NA	Australia	Australia: South Guildford	2015	3461	Shuangao chryso-like virus 1 strain mosWSB68555 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055608	NC_055608_Betachrysovirus_aspergilli	NC_055608_Betachrysovirus_aspergilli	Aspergillus thermomutatus	Aspergillus	New Zealand	New Zealand	2012	3589	Aspergillus thermomutatus chrysovirus 1 isolate NZCV1 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055627	NC_055627_Betachrysovirus_coniothyrii	NC_055627_Betachrysovirus_coniothyrii	Coniella diplodiella	Coniella	Italy	Italy	2017	3625	Coniothyrium diplodiella chrysovirus 1 isolate CREA-VE-6SY1 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055630	NC_055630_Betachrysovirus_neofusicocci	NC_055630_Betachrysovirus_neofusicocci	Neofusicoccum parvum	Neofusicoccum	Italy	Italy	2017	3461	Neofusicoccum parvum chrysovirus 1 isolate CREA-VE-22AS3 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055655	NC_055655_Alphachrysovirus_chrysothricis	NC_055655_Alphachrysovirus_chrysothricis	Penicillium citreosulfuratum	Penicillium	Czech Republic	Czech Republic	2014	3552	Chrysothrix chrysovirus 1 isolate ZSH segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043218	NC_043218_Alphachrysovirus_fusarii	NC_043218_Alphachrysovirus_fusarii	Fusarium oxysporum f. sp. melonis	Fusarium	Iran	Iran	NA	2574	Fusarium oxysporum chrysovirus 1 putative RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043506	NC_043506_Alphachrysovirus_perseae	NC_043506_Alphachrysovirus_perseae	NA	NA	Spain	Spain	2010	3421	Persea americana chrysovirus segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043657	NC_043657_Alphachrysovirus_raphani	NC_043657_Alphachrysovirus_raphani	NA	NA	China	China	2009	3638	Raphanus sativas chrysovirus 1 segment RNA1 putative RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043660	NC_043660_Alphachrysovirus_brassicae	NC_043660_Alphachrysovirus_brassicae	NA	NA	China	China	2014	3639	Brassica campestris chrysovirus 1 isolate Hubei segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043662	NC_043662_Alphachrysovirus_macrophominae	NC_043662_Alphachrysovirus_macrophominae	Macrophomina phaseolina	Macrophomina	USA	USA	2013	3712	Macrophomina phaseolina chrysovirus 1 isolate TN263 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043666	NC_043666_Alphachrysovirus_colletotrichi	NC_043666_Alphachrysovirus_colletotrichi	Colletotrichum gloeosporioides	Colletotrichum	China	China	2012	3397	Colletotrichum gloeosporioides chrysovirus 1 isolate HZ-1 segment 1 RNA-directed RNA-polymerase (RdRp) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043672	NC_043672_Betachrysovirus_secupenicillii	NC_043672_Betachrysovirus_secupenicillii	Penicillium janczewskii	Penicillium	Italy	Italy	2014	3540	Penicillium janczewskii chrysovirus 2 segment RNA1 ORF1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043676	NC_043676_Alphachrysovirus_anthurii	NC_043676_Alphachrysovirus_anthurii	NA	NA	USA	USA	2008	3550	Anthurium mosaic-associated virus strain PHA segment dsRNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040310	NC_040310_Diatom_colony_associated_dsRNA_virus_16	NC_040310_Diatom_colony_associated_dsRNA_virus_16	NA	NA	Japan	Japan:Tokyo bay	2014	6635	Diatom colony associated dsRNA virus 16 genomic RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040384	NC_040384_Diatom_colony_associated_dsRNA_virus_17_genome_type_B	NC_040384_Diatom_colony_associated_dsRNA_virus_17_genome_type_B	NA	NA	Japan	Japan:Tokyo bay	2014	5909	Diatom colony associated dsRNA virus 17 genome type B genomic RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040385	NC_040385_Diatom_colony_associated_dsRNA_virus_17_genome_type_A	NC_040385_Diatom_colony_associated_dsRNA_virus_17_genome_type_A	NA	NA	Japan	Japan:Tokyo bay	2014	5907	Diatom colony associated dsRNA virus 17 genome type A genomic RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040396	NC_040396_Bipolaris_maydis_botybirnavirus_1	NC_040396_Bipolaris_maydis_botybirnavirus_1	Bipolaris maydis	Bipolaris	China	China: Hubei	2016	6435	Bipolaris maydis botybirnavirus 1 strain JZ11 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040485	NC_040485_Betachrysovirus_colletotrichi	NC_040485_Betachrysovirus_colletotrichi	Colletotrichum fructicola	Colletotrichum	China	China	NA	3620	Colletotrichum fructicola chrysovirus 1 isolate FJ-4 segment RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
