#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                                accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                      -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
ALL_FINAL_RdRp_cores_0.3.clstr_298.Palmdb.0.4.fasta -            811 F1001_NODE_5652_length_952_cov_4.559643_1 -            316       7.4   -2.8  16.3   1   1       0.2        14   -3.7  16.3   607   722    93   210     5   306 0.31 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta -            849 F1001_NODE_5727_length_944_cov_2.591676_1 -            314   0.00029   11.4   0.0   1   1   5.8e-06    0.0004   11.0   0.0   485   555    67   138    60   143 0.84 -
ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta -            716 F1001_NODE_5895_length_928_cov_2.345934_1 -            257   2.6e-22   71.4   3.0   1   1   5.1e-24   3.5e-22   71.0   3.0     9   201    79   251    73   253 0.91 -
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta -            921 F1001_NODE_9083_length_699_cov_3.267081_1 -            232   0.00011   13.5   0.0   1   1   1.8e-06   0.00012   13.3   0.0   554   669    15   109    11   166 0.76 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta -            632 F1001_NODE_9501_length_678_cov_1.261637_1 -            225   0.00013   12.7   0.0   1   1   1.9e-06   0.00013   12.6   0.0   418   472    44    97    43   186 0.85 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta -            849 F1002_NODE_2886_length_1099_cov_4.765326_1 -            315   1.6e-05   15.5   0.0   1   1   3.8e-07   2.6e-05   14.9   0.0   505   557    19    75    12    77 0.95 -
Pisuviricota.ALL_RdRp_Palmdb_0.4.fasta -            632 F1002_NODE_3940_length_931_cov_1.800228_1 -            310   0.00026   11.7   0.1   1   1   4.4e-06    0.0003   11.4   0.1   422   473    97   151    91   294 0.67 -
Lenarviricota.ALL_RdRp_Palmdb_0.4.fasta    -            665 F1003_NODE_35_length_3895_cov_3.106771_2 -           1045   0.00012   13.1   0.0   1   1   6.2e-06   0.00021   12.2   0.0   420   557   385   529   378   701 0.50 -
Duplornaviricota.ALL_RdRp_Palmdb_0.4.fasta -            849 F1003_NODE_35_length_3895_cov_3.106771_2 -           1045   0.00021   11.9   0.0   1   1   1.1e-05   0.00039   11.0   0.0   505   564   385   446   362   485 0.87 -
#
# Program:         hmmscan
# Version:         3.3 (Nov 2019)
# Pipeline mode:   SCAN
# Query file:      all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.2.fasta
# Target file:     Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db
# Option settings: hmmscan -o hmmscan_out.txt --tblout hmmscan_tblout.txt --domtblout hmmscan_domtblout.txt --cpu 1 Profile_db_and_alignments/RdRp_HMM_profile_CLUSTALO.db all_samples_renamed_contigs_redundancy_removed_code1_aa_nr.2.fasta 
# Current dir:     /pasteur/zeus/projets/p01/Evolbioinfo/users/flemoine/projets/2022_06_Artem/work/b0/dbeb53417126b8b8a22965de9b1518
# Date:            Thu Jul 21 16:23:22 2022
# [ok]
#                                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                               accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----                     -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
