qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1001_NODE_10912_length_616_cov_1.418895	QHA33696.1	33	227	106	6	69	611	368	594	1375	2.2e-16	88.6	QHA33696.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_10912_length_616_cov_1.418895	QHA33692.1	33	227	106	6	69	611	368	594	1375	2.2e-16	88.6	QHA33692.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_11375_length_598_cov_0.834254	QHA33696.1	62.5	200	69	4	598	2	200	394	1375	2.6e-69	240.4	QHA33696.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_11375_length_598_cov_0.834254	QHA33692.1	62.5	200	69	4	598	2	200	394	1375	2.6e-69	240.4	QHA33692.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_14465_length_502_cov_1.263982	QHA33696.1	86.5	111	15	0	170	502	558	668	1375	9e-55	197.2	QHA33696.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_14465_length_502_cov_1.263982	QHA33692.1	86.5	111	15	0	170	502	558	668	1375	9e-55	197.2	QHA33692.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_23333_length_346_cov_1.003436	QHA33696.1	58.3	103	43	0	2	310	629	731	1375	1.5e-36	142.5	QHA33696.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_23333_length_346_cov_1.003436	QHA33692.1	57.3	103	44	0	2	310	629	731	1375	3.9e-36	141.4	QHA33692.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_32796_length_265_cov_0.871429	QHA33696.1	85.1	87	13	0	263	3	590	676	1375	3.7e-42	157.1	QHA33696.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_32796_length_265_cov_0.871429	QHA33692.1	85.1	87	13	0	263	3	590	676	1375	3.7e-42	157.1	QHA33692.1 Gag-Pol polyprotein [Atrato Retro-like virus]	2689360	Viruses	Artverviricota	Revtraviricetes	Ortervirales	NA	NA	Atrato Retro-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Ortervirales	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
