qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1001_NODE_4869_length_1040_cov_1.582741	QHA33695.1	45.7	151	62	3	591	998	42	187	1081	2.3e-24	116.3	QHA33695.1 polyprotein [Chibugado virus]	2689361	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Metaviridae	NA	Chibugado virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Metaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_7723_length_780_cov_1.995862	QHA33695.1	64.5	93	33	0	87	365	875	967	1081	1.5e-27	122.9	QHA33695.1 polyprotein [Chibugado virus]	2689361	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Metaviridae	NA	Chibugado virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Metaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_10083_length_651_cov_1.652685	QHA33694.1	35.6	146	89	3	651	223	75	218	429	2.5e-19	96.7	QHA33694.1 putative gag polyprotein [Chibugado virus]	2689361	Viruses	Artverviricota	Revtraviricetes	Ortervirales	Metaviridae	NA	Chibugado virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pararnavirae	NA	unclassified Metaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_10083_length_651_cov_1.652685	HBS53332.1	39.7	146	82	3	651	223	107	249	284	4.5e-20	96.7	HBS53332.1 hypothetical protein [Flavobacterium sp.]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1001_NODE_10083_length_651_cov_1.652685	GBP07838.1	38.4	146	84	3	651	223	121	263	404	2.8e-19	96.3	GBP07838.1 Retrovirus-related Gag polyprotein from transposon HMS-Beagle [Eumeta japonica]	151549	Eukaryota	Arthropoda	Insecta	Lepidoptera	Psychidae	Eumeta	Eumeta japonica	NA	Opisthokonta	Eumetazoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Mandibulata	Pancrustacea	Dicondylia	Ditrysia	Endopterygota	NA	NA	NA	NA	Neoptera	Neolepidoptera	NA	Metazoa	NA	cellular organisms	NA	NA	NA	NA	Heteroneura	NA	NA	NA	NA	NA	NA	NA	NA	Pterygota	NA	Oiketicinae	NA	NA	Glossata	Hexapoda	NA	NA	NA	NA	NA	Tineoidea	Amphiesmenoptera	NA	NA	NA
F1001_NODE_10083_length_651_cov_1.652685	GBP09487.1	36.5	159	95	3	651	184	134	289	478	4.4e-19	96.3	GBP09487.1 Retrovirus-related Gag polyprotein from transposon HMS-Beagle [Eumeta japonica]	151549	Eukaryota	Arthropoda	Insecta	Lepidoptera	Psychidae	Eumeta	Eumeta japonica	NA	Opisthokonta	Eumetazoa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Mandibulata	Pancrustacea	Dicondylia	Ditrysia	Endopterygota	NA	NA	NA	NA	Neoptera	Neolepidoptera	NA	Metazoa	NA	cellular organisms	NA	NA	NA	NA	Heteroneura	NA	NA	NA	NA	NA	NA	NA	NA	Pterygota	NA	Oiketicinae	NA	NA	Glossata	Hexapoda	NA	NA	NA	NA	NA	Tineoidea	Amphiesmenoptera	NA	NA	NA
F1001_NODE_10083_length_651_cov_1.652685	CAD7000988.1	37.1	159	94	3	651	184	127	282	470	1.1e-18	95.1	CAD7000988.1 unnamed protein product [Ceratitis capitata]	7213	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis capitata	NA	Opisthokonta	Eumetazoa	Cyclorrhapha	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Mandibulata	Pancrustacea	Dicondylia	Eremoneura	Endopterygota	NA	NA	NA	NA	Neoptera	Muscomorpha	NA	Metazoa	NA	cellular organisms	Schizophora	Acalyptratae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pterygota	NA	Dacinae	Ceratitis	NA	Brachycera	Hexapoda	NA	NA	NA	NA	NA	Tephritoidea	NA	NA	Ceratitidini	NA
F1001_NODE_10083_length_651_cov_1.652685	XP_036346659.1	37.7	154	83	6	639	190	122	266	1359	1.8e-18	95.1	XP_036346659.1 uncharacterized protein LOC118755978, partial [Rhagoletis pomonella]	28610	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Rhagoletis	Rhagoletis pomonella	NA	Opisthokonta	Eumetazoa	Cyclorrhapha	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Mandibulata	Pancrustacea	Dicondylia	Eremoneura	Endopterygota	NA	NA	NA	NA	Neoptera	Muscomorpha	NA	Metazoa	NA	cellular organisms	Schizophora	Acalyptratae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pterygota	NA	Trypetinae	NA	NA	Brachycera	Hexapoda	NA	NA	Carpomyina	NA	NA	Tephritoidea	NA	NA	Carpomyini	NA
F1001_NODE_10083_length_651_cov_1.652685	CAD7013599.1	37.1	159	94	3	651	184	78	233	421	8.3e-19	95.1	CAD7013599.1 unnamed protein product [Ceratitis capitata]	7213	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis capitata	NA	Opisthokonta	Eumetazoa	Cyclorrhapha	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Mandibulata	Pancrustacea	Dicondylia	Eremoneura	Endopterygota	NA	NA	NA	NA	Neoptera	Muscomorpha	NA	Metazoa	NA	cellular organisms	Schizophora	Acalyptratae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pterygota	NA	Dacinae	Ceratitis	NA	Brachycera	Hexapoda	NA	NA	NA	NA	NA	Tephritoidea	NA	NA	Ceratitidini	NA
F1001_NODE_10083_length_651_cov_1.652685	AAC28742.1	36.5	159	95	3	651	184	127	282	470	9.8e-18	92.4	AAC28742.1 gag-like protein [Ceratitis capitata]	7213	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Ceratitis	Ceratitis capitata	NA	Opisthokonta	Eumetazoa	Cyclorrhapha	NA	NA	NA	NA	NA	NA	NA	NA	NA	Bilateria	Protostomia	Ecdysozoa	Panarthropoda	Mandibulata	Pancrustacea	Dicondylia	Eremoneura	Endopterygota	NA	NA	NA	NA	Neoptera	Muscomorpha	NA	Metazoa	NA	cellular organisms	Schizophora	Acalyptratae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pterygota	NA	Dacinae	Ceratitis	NA	Brachycera	Hexapoda	NA	NA	NA	NA	NA	Tephritoidea	NA	NA	Ceratitidini	NA
