nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040473	NC_040473_Nephila_clavipes_virus_6	NC_040473_Nephila_clavipes_virus_6	Trichonephila clavipes	Trichonephila	USA	USA	2013	4060	Nephila clavipes virus 6 isolate SC segment RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040502	NC_040502_Chiqui_virus	NC_040502_Chiqui_virus	Culicidae	Culicidae	Colombia	Colombia	2013	3758	Chiqui virus strain CoB 38d segment 3, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038568	NC_038568_Corriparta_virus	NC_038568_Corriparta_virus	Culex annulirostris	Culex	Australia	Australia	1960	3925	Corriparta virus strain AUS1960/01 VP1 protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038594	NC_038594_Lebombo_virus	NC_038594_Lebombo_virus	Homo sapiens	Homo	South Africa	South Africa	1956	3936	Lebombo virus isolate SAAR 3896 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038648	NC_038648_Cypovirus_16	NC_038648_Cypovirus_16	Choristoneura occidentalis	Choristoneura	Canada	Canada	NA	3768	Choristoneura occidentalis cypovirus 16 segment 2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035222	NC_035222_Aedes_camptorhynchus_reo-like_virus	NC_035222_Aedes_camptorhynchus_reo-like_virus	Ochlerotatus camptorhynchus	Ochlerotatus	Australia	Australia: Leshenault Peninsula	2015	4242	Aedes camptorhynchus reo-like virus strain mos182CP78499 segment 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032504	NC_032504_Wuhan_heteroptera_virus_3	NC_032504_Wuhan_heteroptera_virus_3	Heteroptera	Heteroptera	China	China	2013	4470	Wuhan heteroptera virus 3 strain WHYCM468 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032258	NC_032258_Hubei_lepidoptera_virus_3	NC_032258_Hubei_lepidoptera_virus_3	Lepidoptera	Lepidoptera	China	China	2013	3695	Hubei lepidoptera virus 3 strain LCM141729 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_027803	NC_027803_Tibet_orbivirus	NC_027803_Tibet_orbivirus	Culicidae	Culicidae	China	China	2008	3950	Fengkai orbivirus isolate D181/2008 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_027808	NC_027808_Grapevine_Cabernet_Sauvignon_reovirus	NC_027808_Grapevine_Cabernet_Sauvignon_reovirus	Vitis vinifera	Vitis	Brazil	Brazil	2014	3826	Grapevine Cabernet Sauvignon reovirus isolate CS-BR p3a gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_027534	NC_027534_Chenuda_virus	NC_027534_Chenuda_virus	NA	NA	Egypt	Egypt	1954	3895	Chenuda virus isolate EGY1954/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_027553	NC_027553_Chobar_Gorge_virus	NC_027553_Chobar_Gorge_virus	Ornithodoros	Ornithodoros	Nepal	Nepal	1970	3888	Chobar Gorge virus isolate NEP1970/01 segment 1 RNA-dependent RNA polymerase (VP1) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_027567	NC_027567_Lutzomyia_reovirus_1	NC_027567_Lutzomyia_reovirus_1	Lutzomyia longipalpis	Lutzomyia	Brazil	Brazil	2012	3762	Lutzomyia reovirus 1 isolate piaui segment RNA-dependent RNA polymerase RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_025847	NC_025847_Dendrolimus_punctatus_cypovirus_22	NC_025847_Dendrolimus_punctatus_cypovirus_22	NA	NA	China	China	2004	3650	Dendrolimus punctatus cypovirus 22 isolate Macheng segment 3, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_025486	NC_025486_Fako_virus	NC_025486_Fako_virus	Culicidae	Culicidae	Cameroon	Cameroon	2010	3752	Fako virus strain CSW77 segment 2 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_024503	NC_024503_Umatilla_virus	NC_024503_Umatilla_virus	Aves	Aves	USA	USA	1969	3933	Umatilla virus isolate USA1969/01 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_023491	NC_023491_Cypovirus_2	NC_023491_Cypovirus_2	NA	NA	United Kingdom	United Kingdom	NA	3737	Inachis io cypovirus 2 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_023420	NC_023420_Cimodo_virus	NC_023420_Cimodo_virus	Culex nebulosus	Culex	Cote d'Ivoire	Cote d'Ivoire	2004	4080	Cimodo virus strain C74-CI-2004 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_022639	NC_022639_Changuinola_virus	NC_022639_Changuinola_virus	Hylaeamys megacephalus	Hylaeamys	Brazil	Brazil: Ipixuna-PA	1961	3980	Changuinola virus isolate CGLV/BE AN 28873 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_022626	NC_022626_Mobuck_virus	NC_022626_Mobuck_virus	Odocoileus virginianus	Odocoileus	USA	USA: MO	2012	4034	Mobuck virus strain 12-2 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_022553	NC_022553_Wallal_virus	NC_022553_Wallal_virus	Anopheles annulipes	Anopheles	Australia	Australia: Griffith, New South Wales	2010	3952	Wallal virus isolate 927 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_016874	NC_016874_Spissistilus_festinus_reovirus	NC_016874_Spissistilus_festinus_reovirus	Spissistilus festinus	Spissistilus	USA	USA	2009	3780	Spissistilus festinus reovirus segment 2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_014600	NC_014600_Raspberry_latent_virus	NC_014600_Raspberry_latent_virus	Rubus	Rubus	USA	USA	2007	3818	Raspberry latent virus segment S3, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_012754	NC_012754_Stretch_Lagoon_orbivirus	NC_012754_Stretch_Lagoon_orbivirus	Culex annulirostris	Culex	Australia	Australia	2002	3933	Stretch Lagoon orbivirus segment 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_012535	NC_012535_Homalodisca_vitripennis_reovirus	NC_012535_Homalodisca_vitripennis_reovirus	Homalodisca vitripennis	Homalodisca	USA	USA	2006	4475	Homalodisca vitripennis reovirus segment S1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_010668	NC_010668_Cypovirus_5	NC_010668_Cypovirus_5	NA	NA	China	China	NA	3713	Heliothis armigera cypovirus 5 segment 3, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_009248	NC_009248_Rice_gall_dwarf_virus	NC_009248_Rice_gall_dwarf_virus	NA	NA	NA	NA	NA	4505	Rice gall dwarf virus segment S1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_007748	NC_007748_Peruvian_horse_sickness_virus	NC_007748_Peruvian_horse_sickness_virus	NA	NA	Peru	Peru	1997	3987	Peruvian horse sickness virus segment 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_007656	NC_007656_Yunnan_orbivirus	NC_007656_Yunnan_orbivirus	NA	NA	China	China	NA	3993	Yunnan orbivirus segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_007667	NC_007667_Aedes_pseudoscutellaris_reovirus	NC_007667_Aedes_pseudoscutellaris_reovirus	NA	NA	France	France	NA	3752	Aedes pseudoscutellaris reovirus segment 2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_005990	NC_005990_Palyam_virus	NC_005990_Palyam_virus	NA	NA	NA	NA	NA	3930	Palyam virus segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_005997	NC_005997_St_Croix_River_virus	NC_005997_St_Croix_River_virus	NA	NA	NA	NA	NA	4089	St Croix river virus segment 1 putative RNA-dependent RNA polymerase VP1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003017	NC_003017_Cypovirus_1	NC_003017_Cypovirus_1	NA	NA	NA	NA	NA	3853	Lymantria dispar cypovirus 1 segment 2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003006	NC_003006_Cypovirus_14	NC_003006_Cypovirus_14	Lymantria dispar	Lymantria	NA	NA	NA	4329	Cypovirus 14 RNA 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003771	NC_003771_Rice_ragged_stunt_virus	NC_003771_Rice_ragged_stunt_virus	NA	NA	NA	NA	NA	3823	Rice ragged stunt virus RNA-dependent RNA polymerase and P4b genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_003773	NC_003773_Rice_dwarf_virus	NC_003773_Rice_dwarf_virus	NA	NA	NA	NA	NA	4422	Rice dwarf virus segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL709420	OL709420_Acado_virus	OL709420_Acado_virus	Culex antennatus	Culex	Ethiopia	Ethiopia	1963	3929	Acado virus isolate EthAr 1846-64 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP349061	OP349061_Anagyrus_vladimiri_reovirus	OP349061_Anagyrus_vladimiri_reovirus	Anagyrus vladimiri	Anagyrus	Israel	Israel	2019	4250	Anagyrus vladimiri reovirus segment 1 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON860471	ON860471_Berg_reo-like_virus	ON860471_Berg_reo-like_virus	Ochlerotatus communis	Ochlerotatus	Sweden	Sweden	2020	4277	MAG: Berg reo-like virus isolate k119_12531 RNA-dependent RNA polymerase (RdRp) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP264886	OP264886_Hubei_reo-like_virus_7	OP264886_Hubei_reo-like_virus_7	Culex pipiens	Culex	Egypt	Egypt	2015	2184	MAG: Hubei reo-like virus 7 isolate Egypt_2015 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OP264919	OP264919_Fako_virus	OP264919_Fako_virus	Culex pipiens	Culex	Tunisia	Tunisia	2015	1628	MAG: Fako virus isolate Mediterranean_2015 genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON792145	ON792145_Rotavirus_A	ON792145_Rotavirus_A	Homo sapiens	Homo	Malawi	Malawi	1997	3302	Rotavirus A strain RVA/Human-wt/MWI/MW1-001/1997/G3P[8] VP1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC552741	LC552741_Epizootic_hemorrhagic_disease_virus	LC552741_Epizootic_hemorrhagic_disease_virus	Bos taurus	Bos	Japan	Japan: Kagoshima	1997	3945	Epizootic hemorrhagic disease virus 7 KSB-14/E/97 genomic RNA, segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON872583	ON872583_Bat_faecal_associated_reovirus_3	ON872583_Bat_faecal_associated_reovirus_3	Pteropus poliocephalus	Pteropus	Australia	Australia	2019	2704	MAG: Bat faecal associated reovirus 3 isolate Ad01/aus/1, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON872585	ON872585_Bat_faecal_associated_reovirus_4	ON872585_Bat_faecal_associated_reovirus_4	Pteropus poliocephalus	Pteropus	Australia	Australia	2019	1457	MAG: Bat faecal associated reovirus 4 isolate Ad01/aus/2, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON352655	ON352655_Cypovirus_4	ON352655_Cypovirus_4	Antheraea assamensis	Antheraea	India	India	2021	3797	Antheraea assamensis cypovirus 4 RNA-dependent RNA polymerase (RdRp) mRNA, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
