vir_sp_seq_ID_v3	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	Location	Country	Year	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	host_taxon	host_genus
Aedes_partiti_like_virus_1_F1001C2217F1001	C2217	F1001	F1001	F1001_NODE_2217_length_1552_cov_1570.360721_1	F1001_NODE_2217_length_1552_cov_1570.360721	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Plasmopara_viticola_lesion_associated_ourmia_like_virus_50_F1012C304F1012	C304	F1012	F1012	F1012_NODE_304_length_2419_cov_54.767343_1	F1012_NODE_304_length_2419_cov_54.767343	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Plasmopara_viticola_lesion_associated_narnavirus_34_F1012C86F1012	C86	F1012	F1012	F1012_NODE_86_length_3331_cov_4.913614_1	F1012_NODE_86_length_3331_cov_4.913614	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Zizania_latifolia_tombusvirus_F1015C16F1015	C16	F1015	F1015	F1015_NODE_16_length_5365_cov_6.108851_2	F1015_NODE_16_length_5365_cov_6.108851	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Bremia_lactucae_associated_ourmia_like_virus_1_subsp1_F1015C579F1015	C579	F1015	F1015	F1015_NODE_579_length_2145_cov_6.731100_1	F1015_NODE_579_length_2145_cov_6.731100	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Erysiphe_necator_associated_ourmia_like_virus_14_subsp1_F1017C110F1017	C110	F1017	F1017	F1017_NODE_110_length_2473_cov_34.363110_1	F1017_NODE_110_length_2473_cov_34.363110	Cambodia:Battambang & Pailin	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Hubei_narna_like_virus_17_subsp1_F1018C224F1018	C224	F1018	F1018	F1018_NODE_224_length_2856_cov_452.672974_1	F1018_NODE_224_length_2856_cov_452.672974	Cambodia:Battambang & Pailin	Cambodia	2019	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	Anopheles peditaeniatus	Anopheles
Narnaviridae_sp__F1049C492F1049	C492	F1049	F1049	F1049_NODE_492_length_1921_cov_1353.998392_1	F1049_NODE_492_length_1921_cov_1353.998392	Cambodia:Battambang & Pailin	Cambodia	2019	Culex vishnui.g	mixed cluster	Culex sp gelidus or sinensis or vishnui.g	_	cluster14	Culex sp gelidus or sinensis or vishnui.g	Culex
Funkelyfabi_virus_F1070C95F1070	C95	F1070	F1070	F1070_NODE_95_length_2371_cov_2.746114_1	F1070_NODE_95_length_2371_cov_2.746114	Cambodia:Sihanuokville	Cambodia	2019	Aedes albopictus	correct	Aedes albopictus	_	cluster28	Aedes albopictus	Aedes
Verdadero_virus_F1086C860F1086	C860	F1086	F1086	F1086_NODE_860_length_1747_cov_313.222813_1	F1086_NODE_860_length_1747_cov_313.222813	Cambodia:Sihanuokville	Cambodia	2019	Aedes aegypti	correct	Aedes aegypti	_	cluster26	Aedes aegypti	Aedes
Hubei_mosquito_virus_3_F1087C248F1087	C248	F1087	F1087	F1087_NODE_248_length_2122_cov_11578.753266_1	F1087_NODE_248_length_2122_cov_11578.753266	Cambodia:Sihanuokville	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Hubei_tombus_like_virus_20_subsp1_F1090C8F1090	C8	F1090	F1090	F1090_NODE_8_length_4703_cov_8.527108_3	F1090_NODE_8_length_4703_cov_8.527108	Cambodia:Sihanuokville	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Abillumpty_virus_F1097C5F1097	C5	F1097	F1097	F1097_NODE_5_length_3277_cov_171.617629_1	F1097_NODE_5_length_3277_cov_171.617629	Cambodia:Sihanuokville	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Abradivilines_virus_F1097C7F1097	C7	F1097	F1097	F1097_NODE_7_length_2867_cov_32.811522_1	F1097_NODE_7_length_2867_cov_32.811522	Cambodia:Sihanuokville	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
Afficallowely_virus_F1100C461F1100	C461	F1100	F1100	F1100_NODE_461_length_1657_cov_6.475655_1	F1100_NODE_461_length_1657_cov_6.475655	Cambodia:Sihanuokville	Cambodia	2019	Armigeres subalbatus	correct, internally divergent	Armigeres subalbatus	_	cluster22	Armigeres subalbatus	Armigeres
