nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040436	NC_040436_Tea_plant_line_pattern_virus	NC_040436_Tea_plant_line_pattern_virus	Camellia sinensis	Camellia	NA	NA	NA	2381	Tea plant line pattern virus segment RNA2, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040613	NC_040613_Nephila_clavipes_virus_3	NC_040613_Nephila_clavipes_virus_3	NA	NA	USA	USA	2013	8138	Nephila clavipes virus 3 isolate SC, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040614	NC_040614_Nephila_clavipes_virus_4	NC_040614_Nephila_clavipes_virus_4	NA	NA	USA	USA	2013	11919	Nephila clavipes virus 4 isolate SC, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040685	NC_040685_Opuntia_virus_2	NC_040685_Opuntia_virus_2	Opuntia ficus-indica	Opuntia	Mexico	Mexico	2016	6453	Opuntia virus 2 isolate Nopal_hec Mex, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040723	NC_040723_Culex_pipiens-associated_Tunisia_virus	NC_040723_Culex_pipiens-associated_Tunisia_virus	Anopheles epiroticus	Anopheles	Viet Nam	Viet Nam	2014	10910	Culex pipiens associated Tunisia virus isolate AnEVT, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040766	NC_040766_Osedax_japonicus_RNA_virus_1	NC_040766_Osedax_japonicus_RNA_virus_1	Osedax japonicus	Osedax	NA	NA	NA	13170	Osedax japonicus RNA virus 1 OjRV1 genomic RNA, segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038848	NC_038848_Citrus_leprosis_virus_C2	NC_038848_Citrus_leprosis_virus_C2	Citrus sinensis	Citrus	Colombia	Colombia	2011	8717	Citrus leprosis virus C2 isolate L147V1 segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035453	NC_035453_Actinidia_virus_1	NC_035453_Actinidia_virus_1	Actinidia chinensis	Actinidia	Italy	Italy	2011	18848	Actinidia virus 1 isolate K75, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035470	NC_035470_Abisko_virus	NC_035470_Abisko_virus	Epirrita autumnata	Epirrita	Sweden	Sweden	2013	10187	Abisko virus isolate Abisko-6, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035124	NC_035124_Culex_negev-like_virus_1	NC_035124_Culex_negev-like_virus_1	Culex australicus	Culex	Australia	Australia: South Guildford	2015	10867	Culex negev-like virus 1 strain mosWSX37710, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035128	NC_035128_Aedes_camptorhynchus_negev-like_virus	NC_035128_Aedes_camptorhynchus_negev-like_virus	Ochlerotatus camptorhynchus	Ochlerotatus	Australia	Australia: Siesta Park	2015	11470	Aedes camptorhynchus negev-like virus strain mos191CP47896, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034154	NC_034154_San_Bernardo_virus	NC_034154_San_Bernardo_virus	Culicoidea	Culicoidea	Colombia	Colombia	2013	9748	San Bernardo virus strain CoB37dA hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034158	NC_034158_Loreto_virus	NC_034158_Loreto_virus	Anopheles albimanus	Anopheles	Peru	Peru	1983	9136	Loreto virus strain 3940-83 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033710	NC_033710_Wuhan_insect_virus_9	NC_033710_Wuhan_insect_virus_9	Hexapoda	Hexapoda	China	China	2013	9305	Wuhan insect virus 9 strain WHCCII13328 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033727	NC_033727_Xingshan_nematode_virus_2	NC_033727_Xingshan_nematode_virus_2	Nematoda	Nematoda	China	China	2014	11330	Xingshan nematode virus 2 strain XSNXC13152 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033728	NC_033728_Xinzhou_nematode_virus_1	NC_033728_Xinzhou_nematode_virus_1	Nematoda	Nematoda	China	China	2014	11525	Xinzhou nematode virus 1 strain XZSJSC65770 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033461	NC_033461_Wuhan_heteroptera_virus_1	NC_033461_Wuhan_heteroptera_virus_1	Arthropoda	Arthropoda	China	China	2013	16121	Wuhan heteroptera virus 1 strain arthropodmix8462 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032728	NC_032728_Adelphocoris_suturalis_virus	NC_032728_Adelphocoris_suturalis_virus	NA	NA	China	China	2015	10845	Adelphocoris suturalis virus isolate HBWH, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032765	NC_032765_Hubei_virga-like_virus_9	NC_032765_Hubei_virga-like_virus_9	Diptera	Diptera	China	China	2013	10976	Hubei virga-like virus 9 strain SCM51642 RdRp, hypothetical protein, putative capsid protein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032824	NC_032824_Hubei_virga-like_virus_16	NC_032824_Hubei_virga-like_virus_16	Arthropoda	Arthropoda	China	China	2013	13549	Hubei virga-like virus 16 strain arthropodmix13816 hypothetical protein, RdRp, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032869	NC_032869_Sanxia_atyid_shrimp_virus_1	NC_032869_Sanxia_atyid_shrimp_virus_1	Atyidae	Atyidae	China	China	2014	11157	Sanxia atyid shrimp virus 1 strain SXXX35475 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033079	NC_033079_Wenling_toga-like_virus	NC_033079_Wenling_toga-like_virus	Crustacea	Crustacea	China	China	2014	9247	Wenling toga-like virus strain WLJQ101932 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033082	NC_033082_Hubei_virga-like_virus_11	NC_033082_Hubei_virga-like_virus_11	Diptera	Diptera	China	China	2013	6206	Hubei virga-like virus 11 strain fly114676 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033158	NC_033158_Hubei_virga-like_virus_2	NC_033158_Hubei_virga-like_virus_2	Culicidae	Culicidae	China	China	2013	10650	Hubei virga-like virus 2 strain mosHB235832 RdRp and putative coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033165	NC_033165_Hubei_virga-like_virus_1	NC_033165_Hubei_virga-like_virus_1	Culicidae	Culicidae	China	China	2013	9141	Hubei virga-like virus 1 strain mosHB236471 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033174	NC_033174_Hubei_virga-like_virus_23	NC_033174_Hubei_virga-like_virus_23	Culicidae	Culicidae	China	China	2013	14639	Hubei virga-like virus 23 strain mosHB236486 RdRp, hypothetical protein, putative glycoprotein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033192	NC_033192_Hubei_virga-like_virus_21	NC_033192_Hubei_virga-like_virus_21	Culicidae	Culicidae	China	China	2013	10072	Hubei virga-like virus 21 strain mosHB236537 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033211	NC_033211_Hubei_virga-like_virus_15	NC_033211_Hubei_virga-like_virus_15	Coleoptera	Coleoptera	China	China	2013	10423	Hubei virga-like virus 15 strain QCM619087 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033222	NC_033222_Hubei_virga-like_virus_17	NC_033222_Hubei_virga-like_virus_17	Odonata	Odonata	China	China	2013	9481	Hubei virga-like virus 17 strain QTM23703 RdRp and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033269	NC_033269_Hubei_virga-like_virus_12	NC_033269_Hubei_virga-like_virus_12	Diptera	Diptera	China	China	2013	8318	Hubei virga-like virus 12 strain SCM49209 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033325	NC_033325_Hubei_Wuhan_insect_virus_9	NC_033325_Hubei_Wuhan_insect_virus_9	Odonata	Odonata	China	China	2013	3250	Hubei Wuhan insect virus 9 strain QTM27230 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032437	NC_032437_Beihai_anemone_virus_1	NC_032437_Beihai_anemone_virus_1	Actiniaria	Actiniaria	China	China	2014	11540	Beihai anemone virus 1 strain BHHK129576 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
