orf_id	contig_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus
F1143_NODE_11_length_7548_cov_9.055652_2	F1143_NODE_11_length_7548_cov_9.055652	G	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	4132	7254	FORWARD	3122	BBQ05098.1	982	98	982	Ghabrivirales	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex vishnui subgroup totivirus	98	Culex_vishnui_subgroup_totivirus	Totiviridae	Culex_vishnui_subgroup_totivirus_F1143C11F1143	Culex_vishnui_subgroup_totivirus	F1143_NODE_11_length_7548_cov_9.055652_F1143_MapVerif_F1143_detect_F1143_round2_F1143_round3_frame1_2	C11	F1143	F1143	phylogenetically related, high RdRp aa similarity	_	Culex_vishnui_subgroup_totivirus	Culex vishnui.g	mixed cluster	Culex sp cinctellus or gelidus or sinensis or tritaeniorhynchus or vishnui.g	cluster dominated by vishnui	cluster9	dsRNA	segmented	Chrymotiviricetes	2	9	Culex
F1490_NODE_6_length_7134_cov_7.580732_3	F1490_NODE_6_length_7134_cov_7.580732	N	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	3161	24	REVERSE	3137	AJT39583.1	1044	52	1050	Ghabrivirales	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	NA	NA	dsRNA virus environmental sample	52	F1490_NODE_6_length_7134_cov_7.580732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1039_NODE_258_length_2881_cov_647.872611_2	F1039_NODE_258_length_2881_cov_647.872611	N	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1602	112	REVERSE	1490	ASA47392.1	373	94.6	373	Sobelivirales	Pisuviricota	Pisoniviricetes	Sobelivirales	NA	NA	Culex luteo-like virus	94.6	Culex_luteo_like_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1172_NODE_1572_length_1141_cov_1.639963_1	F1172_NODE_1572_length_1141_cov_1.639963	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	2	1135	FORWARD	1133	ASA47308.1	543	60.1	378	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Wilkie partiti-like virus 2	60.1	F1172_NODE_1572_length_1141_cov_1.639963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1543_NODE_2_length_10836_cov_97.382989_4	F1543_NODE_2_length_10836_cov_97.382989	N	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	4582	10683	FORWARD	6101	QSL97717.1	2032	73.4	2032	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Almendravirus	Almendravirus menghai	73.4	F1543_NODE_2_length_10836_cov_97.382989	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1543_NODE_27_length_5990_cov_6.343724_1	F1543_NODE_27_length_5990_cov_6.343724	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	3	5948	FORWARD	5945	ASN64747.1	1985	80.8	1982	Ellioviricetes	Negarnaviricota	Ellioviricetes	NA	NA	NA	Crithidia G15 virus	80.8	F1543_NODE_27_length_5990_cov_6.343724	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1392_NODE_1_length_10754_cov_548.269558_2	F1392_NODE_1_length_10754_cov_548.269558	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	65	10198	FORWARD	10133	YP_009344962.1	3364	89.2	3356	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Palm Creek virus	89.2	Palm_Creek_virus_subsp1	Flaviviridae	Palm_Creek_virus_F1392C1F1225	Palm_Creek_virus	F1392_NODE_1_length_10754_cov_548.269558_F1392_MapVerif_F1225_detect_F1225_r2_frame2	C1	F1392	F1225	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Palm_Creek_virus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Kitrinoviricota	14	2	Coquillettidia
F1392_NODE_1_length_10754_cov_548.269558_2	F1392_NODE_1_length_10754_cov_548.269558	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	65	10198	FORWARD	10133	YP_009344962.1	3364	89.2	3356	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Palm Creek virus	89.2	Palm_Creek_virus_subsp1	Flaviviridae	Palm_Creek_virus_F1392C1F1392	Palm_Creek_virus	F1392_NODE_1_length_10754_cov_548.269558_F1392_MapVerif_F1392_detect_F1392_r2_frame2	C1	F1392	F1392	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Palm_Creek_virus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Kitrinoviricota	14	2	Coquillettidia
F1392_NODE_1_length_10754_cov_548.269558_2	F1392_NODE_1_length_10754_cov_548.269558	G	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	65	10198	FORWARD	10133	YP_009344962.1	3364	89.2	3356	Amarillovirales	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Palm Creek virus	89.2	Palm_Creek_virus_subsp1	Flaviviridae	Palm_Creek_virus_F1392C1F1551	Palm_Creek_virus	F1392_NODE_1_length_10754_cov_548.269558_F1392_MapVerif_F1551_detect_F1551_r2_frame2	C1	F1392	F1551	low divergence, derived from ref sp seq; high polyprotein similarity; same host genus	NA	Palm_Creek_virus	Coquillettidia crassipes	correct	Coquillettidia crassipes	_	cluster2	(+)ssRNA	non-segmented	Kitrinoviricota	14	2	Coquillettidia
F1097_NODE_1_length_12217_cov_2063.855123_4	F1097_NODE_1_length_12217_cov_2063.855123	N	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	5607	11930	FORWARD	6323	DAZ85658.1	2081	52.8	2057	Monjiviricetes	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	San Gabriel mononegavirus	52.8	F1097_NODE_1_length_12217_cov_2063.855123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
