nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot	Species
NC_055111	NC_055111_Shuangao_anphevirus	NC_055111_Shuangao_anphevirus	Psychoda alternata	Psychoda	China	China	2013	6275	Shuangao Fly Virus 2 strain QSA05 RNA-dependent RNA polymerase (L) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055112	NC_055112_Gambievirus_bolahunense	NC_055112_Gambievirus_bolahunense	Anopheles gambiae	Anopheles	Liberia	Liberia	2013	11672	Bolahun virus variant 2 putative nucleoprotein, putative small transmembrane protein, putative glycoprotein, putative small ZnF protein, and RdRp genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055292	NC_055292_Ohlsrhavirus_northcreek	NC_055292_Ohlsrhavirus_northcreek	Culex sitiens	Culex	Australia	Australia: Ballina, New South Wales	1997	6715	North Creek virus RNA dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055460	NC_055460_Sunrhavirus_harrison	NC_055460_Sunrhavirus_harrison	Culex annulirostris	Culex	Australia	Australia	1975	11284	Harrison Dam virus isolate CS75, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055477	NC_055477_Ohlsrhavirus_ohlsdorf	NC_055477_Ohlsrhavirus_ohlsdorf	Ochlerotatus cantans	Ochlerotatus	Germany	Germany	2012	11624	Ohlsdorf virus strain Germany/2012/Oc.cantans, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043472	NC_043472_Scarabeuvirus_blattae	NC_043472_Scarabeuvirus_blattae	Blattella germanica	Blattella	China	China	2013	7152	Wuchang Cockraoch Virus 3 strain WCZL-1 segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043484	NC_043484_Drunivirus_chambonense	NC_043484_Drunivirus_chambonense	Drosophila unispina	Drosophila	France	France	2012	13559	Drosophila unispina virus 1 ORF1, ORF2, ORF3, glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040532	NC_040532_Merida-like_virus_KE-2017a	NC_040532_Merida-like_virus_KE-2017a	Culex pipiens	Culex	Turkey	Turkey	2015	11798	Merida-like virus KE-2017a isolate 139-1-21, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040599	NC_040599_Merhavirus_merida	NC_040599_Merhavirus_merida	Culex quinquefasciatus	Culex	Mexico	Mexico	2007	11798	Merida virus isolate MERD-Mex07, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040602	NC_040602_Almendravirus_menghai	NC_040602_Almendravirus_menghai	Aedes albopictus	Aedes	China	China	2010	10744	Menghai rhabdovirus isolate Menghai, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040669	NC_040669_Riverside_virus_1	NC_040669_Riverside_virus_1	Ochlerotatus sp.	Ochlerotatus	Hungary	Hungary	2014	11713	Riverside virus 1 strain RISV-Drava 1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038236	NC_038236_Vesiculovirus_indiana	NC_038236_Vesiculovirus_indiana	Equus caballus	Equus	USA	USA: Colorado	NA	11162	Vesicular stomatitis Indiana virus strain 98COE, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038276	NC_038276_Ledantevirus_nishimuro	NC_038276_Ledantevirus_nishimuro	Sus scrofa	Sus	NA	NA	NA	10881	Nishimuro virus viral cRNA for hypothetical proteins, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038278	NC_038278_Sigmavirus_affinis	NC_038278_Sigmavirus_affinis	Drosophila affinis	Drosophila	USA	USA	2007	14409	Drosophila affinis sigmavirus nucleocapsid protein (N), polymerase-associated protein (P), PP3 (X), matrix protein (M), glycoprotein (G), and RNA-dependent RNA polymerase (L) genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038282	NC_038282_Tibrovirus_alphaekpoma	NC_038282_Tibrovirus_alphaekpoma	Homo sapiens	Homo	Nigeria	Nigeria	2011	12659	Ekpoma virus 1 isolate EKV-1, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038285	NC_038285_Vesiculovirus_carajas	NC_038285_Vesiculovirus_carajas	Lutzomyia	Lutzomyia	Brazil	Brazil	1983	11135	Carajas virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038286	NC_038286_Vesiculovirus_piry	NC_038286_Vesiculovirus_piry	Philander opossum	Philander	Brazil	Brazil: Utinga Forest, Para State	1960	11271	Piry virus strain BeAn2423, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038287	NC_038287_Vesiculovirus_radi	NC_038287_Vesiculovirus_radi	Phlebotomus perfiliewi	Phlebotomus	Italy	Italy	1982	11068	Radi virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_039013	NC_039013_Carbovirus_queenslandense	NC_039013_Carbovirus_queenslandense	Morelia spilota	Morelia	Australia	Australia	2014	8804	Jungle carpet python virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_039200	NC_039200_Almendravirus_balsa	NC_039200_Almendravirus_balsa	Psorophora albigenu	Psorophora	Colombia	Colombia: Cordoba Province	2013	11287	Balsa almendravirus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_039202	NC_039202_Hapavirus_flanders	NC_039202_Hapavirus_flanders	Culiseta melanura	Culiseta	USA	USA	1961	13038	Flanders virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_039206	NC_039206_Vesiculovirus_jurona	NC_039206_Vesiculovirus_jurona	Haemagogus	Haemagogus	Brazil	Brazil	1962	11121	Jurona virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031957	NC_031957_Almendravirus_cootbay	NC_031957_Almendravirus_cootbay	Anopheles quadrimaculatus	Anopheles	USA	USA: Everglades National Park,FL	2013	10869	Coot Bay virus strain EVG5-53, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031958	NC_031958_Almendravirus_chico	NC_031958_Almendravirus_chico	Culicidae	Culicidae	Panama	Panama	2013	10735	Rio Chico virus strain GAM 195, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035132	NC_035132_Ohlsrhavirus_culex	NC_035132_Ohlsrhavirus_culex	Culex quinquefasciatus	Culex	Australia	Australia: South Guildford	2015	11503	Culex rhabdo-like virus strain mosWSB71420, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035133	NC_035133_Doupovirus_australiaense	NC_035133_Doupovirus_australiaense	Culex globocoxitus	Culex	Australia	Australia: Siesta Park	2015	13297	Culex mononega-like virus 2 strain mos191gb23464, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034508	NC_034508_Vesiculovirus_morreton	NC_034508_Vesiculovirus_morreton	Lutzomyia	Lutzomyia	Colombia	Colombia	1986	11181	Morreton virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034530	NC_034530_Hapavirus_marco	NC_034530_Hapavirus_marco	Ameiva ameiva	Ameiva	Brazil	Brazil	1962	13294	Marco virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034533	NC_034533_Hapavirus_landjia	NC_034533_Hapavirus_landjia	Riparia paludicola	Riparia	Central African Republic	Central African Republic	1970	13695	Landjia virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, glycoprotein, hypothetical proteins, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034537	NC_034537_Hapavirus_lajoya	NC_034537_Hapavirus_lajoya	Culex dunni	Culex	Panama	Panama	1958	15721	La Joya virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, hypothetical proteins, glycoprotein, hypothetical proteins, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034539	NC_034539_Ledantevirus_nkolbisson	NC_034539_Ledantevirus_nkolbisson	Eretmapodites leucopous	Eretmapodites	Cameroon	Cameroon	1965	10968	Nkolbisson virus nucleoprotein, phosphoprotein, matrix, glycoprotein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034541	NC_034541_Hapavirus_graylodge	NC_034541_Hapavirus_graylodge	Culex tarsalis	Culex	USA	USA	1971	12403	Gray Lodge virus nucleoprotein, phosphoprotein, hypothetical proteins, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034451	NC_034451_Ledantevirus_kern	NC_034451_Ledantevirus_kern	Myotis yumanensis	Myotis	USA	USA	1956	11528	Kern Canyon virus nucleoprotein, phosphoprotein, matrix, glycoprotein, hypothetical protein, and polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034240	NC_034240_Cytorhabdovirus_lycopersici	NC_034240_Cytorhabdovirus_lycopersici	Solanum lycopersicum	Solanum	China	China: Chongqing	2013	13389	Tomato yellow mottle-associated virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033703	NC_033703_Xinzhou_dimarhabdovirus_virus_1	NC_033703_Xinzhou_dimarhabdovirus_virus_1	Nematoda	Nematoda	China	China	2014	9314	Xinzhou dimarhabdovirus virus 1 strain XZSJSC65538 hypothetical protein, putative glycoprotein, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033704	NC_033704_Xinzhou_mivirus	NC_033704_Xinzhou_mivirus	Nematoda	Nematoda	China	China	2014	7977	Xinzhou nematode virus 5 strain XZSJSC65765 hypothetical protein and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033753	NC_033753_Yingvirus_xinzhouense	NC_033753_Yingvirus_xinzhouense	Nematoda	Nematoda	China	China	2014	5931	Xinzhou nematode virus 3 strain XZSJSC65579 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033436	NC_033436_Nematovirus_wuchangense	NC_033436_Nematovirus_wuchangense	Nematoda	Nematoda	China	China	2014	9903	Wuchan romanomermis nematode virus 2 strain WCLSXC55347 hypothetical protein 1, hypothetical protein 2, hypothetical protein 3, hypothetical protein 4, and RNA-dependent RNA polymerase genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033450	NC_033450_Tapwovirus_cesti	NC_033450_Tapwovirus_cesti	Cestoda	Cestoda	China	China	2014	5990	Wenzhou tapeworm virus 1 strain SGJSC14943 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
