qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
PBS1b_NODE_127_length_263_cov_24.764423	QLC45895.1	97.4	78	1	1	263	33	146	223	3661	3.1e-43	160.2	QLC45895.1 polyprotein/NanoLuc [Zika virus]	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	AIS39728.1	96.2	78	1	1	263	30	671	746	784	2.1e-43	160.2	AIS39728.1 Fluc-P2A-NlucP [Cloning vector pNLCoI1[luc2-P2A-NlucP/Hygro]]	1551484	NA	NA	NA	NA	NA	NA	Cloning vector pNLCoI1[luc2-P2A-NlucP/Hygro]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	AFI79291.1	96.2	78	1	1	263	30	99	174	212	1.9e-47	160.2	AFI79291.1 Nanoluc PEST reporter [Nanoluc luciferase reporter vector pNL1.2[NlucP]]	1141522	NA	NA	NA	NA	NA	NA	Nanoluc luciferase reporter vector pNL1.2[NlucP]	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	QLC45894.1	97.4	78	1	1	263	33	146	223	3661	3.1e-43	160.2	QLC45894.1 polyprotein/NanoLuc [Zika virus]	64320	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Zika virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	AYO90652.1	100	73	0	0	263	45	100	172	445	7.6e-45	159.8	AYO90652.1 NanoLuc-galectin-3 fusion protein [synthetic construct]	32630	NA	NA	NA	NA	NA	NA	synthetic construct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	AYO90653.1	100	73	0	0	263	45	100	172	496	1.8e-44	159.8	AYO90653.1 NanoLuc-TriggerTrimer-galectin-3 fusion protein [synthetic construct]	32630	NA	NA	NA	NA	NA	NA	synthetic construct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	QJX60179.1	100	73	0	0	263	45	127	199	201	1.9e-47	159.8	QJX60179.1 secNluc [Cloning vector pP-secNluc-MS2]	2738499	NA	NA	NA	NA	NA	NA	Cloning vector pP-TRE3G-secNluc	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	QJS57356.1	100	73	0	0	263	45	349	421	421	4.8e-45	159.8	QJS57356.1 ORF7a-GFP-NL fusion protein [synthetic construct]	32630	NA	NA	NA	NA	NA	NA	synthetic construct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	BBB18808.1	100	73	0	0	263	45	520	592	592	6.9e-44	159.8	BBB18808.1 calcium indicator protein GeNL(Ca2+)-1.2u [synthetic construct]	32630	NA	NA	NA	NA	NA	NA	synthetic construct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PBS1b_NODE_127_length_263_cov_24.764423	BAW98165.1	100	73	0	0	263	45	563	635	635	1.1e-43	159.8	BAW98165.1 luminescent protein ReNL [synthetic construct]	32630	NA	NA	NA	NA	NA	NA	synthetic construct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	other entries	other sequences	artificial sequences	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
