qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1083_NODE_334_length_1726_cov_10417.113106	QRD99891.1	97.6	253	6	0	886	1644	1	253	253	2.3e-175	506.1	QRD99891.1 hypothetical protein [Nea chili luteo-like virus]	2805782	Viruses	Kitrinoviricota	Tolucaviricetes	Tolivirales	Luteoviridae	NA	Nea chili luteo-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Luteoviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1083_NODE_334_length_1726_cov_10417.113106	QOI91443.1	96.4	253	9	0	886	1644	1	253	253	6.3e-173	500	QOI91443.1 hypothetical protein [Guangzhou sobemo-like virus]	2778220	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Solemoviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1083_NODE_334_length_1726_cov_10417.113106	QOI91427.1	96.4	253	9	0	886	1644	1	253	253	8.9e-173	499.6	QOI91427.1 hypothetical protein [Guangzhou sobemo-like virus]	2778220	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Solemoviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1083_NODE_334_length_1726_cov_10417.113106	QOI91435.1	96	253	10	0	886	1644	1	253	253	7.2e-172	497.3	QOI91435.1 hypothetical protein [Guangzhou sobemo-like virus]	2778220	Viruses	Pisuviricota	Pisoniviricetes	Sobelivirales	Solemoviridae	NA	Guangzhou sobemo-like virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Solemoviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1083_NODE_334_length_1726_cov_10417.113106	QRW42191.1	96.4	253	9	0	886	1644	1	253	253	7.2e-172	497.3	QRW42191.1 hypothetical protein [Wenzhou sobemo-like virus 4]	1923660	Viruses	NA	NA	NA	NA	NA	Wenzhou sobemo-like virus 4	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QOI91444.1	48.8	260	126	2	131	904	23	277	633	1.3e-67	232.6	QOI91444.1 hypothetical protein [Kwale mosquito virus]	2778222	Viruses	NA	NA	NA	NA	NA	Kwale mosquito virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39264.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39264.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39260.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39260.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39284.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39284.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39292.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39292.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QRW42395.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QRW42395.1 putative serine protease [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39268.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39268.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39276.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39276.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1183_NODE_1323_length_904_cov_3.010601	QEM39272.1	48.9	262	123	2	131	904	23	277	633	9.9e-67	230.3	QEM39272.1 hypothetical protein [Guadeloupe mosquito virus]	2607735	Viruses	NA	NA	NA	NA	NA	Guadeloupe mosquito virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
