vir_group	vir_sp_seq_ID_v2	phylo_virus_species	contig_ID	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus
Totiviridae	Ansforinte_virus_F1367C12F1367	Ansforinte_virus	F1367_NODE_12_length_4976_cov_10.137167	F1367_NODE_12_length_4976_cov_10.137167_F1367_MapVerif_F1367_detect_F1367_round2_F1367_round3_frame3_1	C12	F1367	F1367	proposed novel species, phylogenetically related to other mosquito totiviruses, ~35% RdRp aa similarity to closest relative species (a bit higher with a shorter sequence)	_	Anopheles_peditaeniatus_associated_totivirus	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	dsRNA	segmented	Chrymotiviricetes	2	1	Anopheles
Partitiviridae	Catimbler_virus_F1366C1917F1366	Catimbler_virus	F1366_NODE_1917_length_1697_cov_3.967722	F1366_NODE_1917_length_1697_cov_3.967722_F1366_MapVerif_F1366_detect_F1366_round2_F1366_round3_frame1_1	C1917	F1366	F1366	phylogenetically related, not high enough RdRp aa similarity ~77%	_	Anopheles_peditaeniatus_partiti_like_virus	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	dsRNA	segmented	Pisuviricota	4	1	Anopheles
Partitiviridae	Cativeted_virus_F1489C1734F1362	Cativeted_virus	F1489_NODE_1734_length_1508_cov_1316.233999	F1489_NODE_1734_length_1508_cov_1316.233999_F1489_MapVerif_F1362_detect_F1362_round2_F1362_round3_frame1_1	C1734	F1489	F1362	phylogenetically related, not high enough RdRp aa similarity ~80%	_	Mansonia_uniformis_associated_partiti_like_virus	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	dsRNA	segmented	Pisuviricota	4	1	Anopheles
Partitiviridae	Erysiphe_necator_associated_partitivirus_2_F1370C970F1370	Erysiphe_necator_associated_partitivirus_2	F1370_NODE_970_length_1742_cov_6.752223	F1370_NODE_970_length_1742_cov_6.752223_F1370_MapVerif_F1370_detect_F1370_round2_F1370_round3_frame1_1	C970	F1370	F1370	phylogenetically related, high RdRp aa similarity ~89%	_	Erysiphe_necator_associated_partitivirus_2	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	dsRNA	segmented	Pisuviricota	4	1	Anopheles
Bromoviridae	Havizingly_virus_F1362C65F1362	Havizingly_virus	F1362_NODE_65_length_3470_cov_9.747584	F1362_NODE_65_length_3470_cov_9.747584_F1362_MapVerif_F1362_detect_F1362_round2_F1362_round3_frame2_1	C65	F1362	F1362	phylogenetically related, high RdRp similarity: ~21% aa to QWC36511 or 19% to UHM27628. Whole polyprotein.	_	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	segmented	Kitrinoviricota	10	1	Anopheles
Narnaviridae	Fusarium_poae_narnavirus_2_F1367C208F1367	Fusarium_poae_narnavirus_2	F1367_NODE_208_length_2030_cov_14.963544	F1367_NODE_208_length_2030_cov_14.963544_F1367_MapVerif_F1367_detect_F1367_round2_F1367_round3_frame3_1	C208	F1367	F1367	phylogenetically related, high RdRp similarity up to ~86% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). Picked the closest virus.	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	17	1	Anopheles
Narnaviridae	Hubei_narna_like_virus_17_F1018C224F1018	Hubei_narna_like_virus_17	F1018_NODE_224_length_2856_cov_452.672974	F1018_NODE_224_length_2856_cov_452.672974_F1018_MapVerif_F1018_detect_F1018_round2_F1018_round3_frame2_1	C224	F1018	F1018	phylogenetically related, high RdRp similarity up to ~83% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). I use the virus name that was deposited to Genbank earlier.	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	17	1	Anopheles
Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_33_F1357C209F1357	Erysiphe_necator_associated_ourmia_like_virus_33	F1357_NODE_209_length_2151_cov_308.112595	F1357_NODE_209_length_2151_cov_308.112595_F1357_round2_F1357_detect_F1357_round2_F1357_round3_frame2_1	C209	F1357	F1357	phylogenetically related, high RdRp aa similarity ~84%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	19	1	Anopheles
Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_81_F1361C262F1361	Erysiphe_necator_associated_ourmia_like_virus_81	F1361_NODE_262_length_2334_cov_50.104871	F1361_NODE_262_length_2334_cov_50.104871_F1361_round2_F1361_detect_F1361_round2_F1361_round3_frame2_1	C262	F1361	F1361	phylogenetically related, high RdRp aa similarity ~91%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	19	1	Anopheles
Xinmoviridae	Xincheng_Mosquito_Virus_F1356C1F1356	Xincheng_Mosquito_Virus	F1356_NODE_1_length_12554_cov_1575.312665	F1356_NODE_1_length_12554_cov_1575.312665_F1356_MapVerif_F1356_detect_F1356_round2_frame2_1	C1	F1356	F1356	phylogenetically related, high RdRp aa similarity ~85%, high genome nt similarity ~70%	this name was used instead of Anphevirus sp., because it is more unique	Xincheng_Mosquito_Virus	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(-)ssRNA	non-segmented	Monjiviricetes	22	1	Anopheles
