qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas	contig_len
F1422_NODE_1185_length_705_cov_2.027692	YP_009724390.1	100	177	0	0	704	174	348	524	1273	1.1e-118	377.1	YP_009724390.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	11234	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Measles morbillivirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthoparamyxovirinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	705
F1549_NODE_5112_length_250_cov_0.928205	QVF50476.1	100	83	0	0	2	250	322	404	1270	3e-49	177.2	QVF50476.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	250
F1549_NODE_5112_length_250_cov_0.928205	YP_009724390.1	100	83	0	0	2	250	325	407	1273	3e-49	177.2	YP_009724390.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	11234	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Measles morbillivirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthoparamyxovirinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	250
F1618_NODE_6011_length_307_cov_1.519841	QVF50476.1	100	101	0	0	3	305	543	643	1270	2.7e-59	206.8	QVF50476.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	307
F1618_NODE_6011_length_307_cov_1.519841	YP_009724390.1	98	101	2	0	3	305	546	646	1273	2.8e-57	201.1	YP_009724390.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	11234	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Measles morbillivirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthoparamyxovirinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	307
F1619_NODE_35719_length_253_cov_0.964646	QWY71963.1	83.1	59	10	0	252	76	754	812	1271	8.8e-23	101.7	QWY71963.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253
F1619_NODE_35719_length_253_cov_0.964646	YP_009724390.1	100	47	0	0	252	112	756	802	1273	1.2e-22	101.3	YP_009724390.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	11234	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Measles morbillivirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthoparamyxovirinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	253
F1623_NODE_1230_length_310_cov_1.258824	QVF50476.1	99	102	1	0	3	308	1057	1158	1270	5.2e-64	220.3	QVF50476.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310
F1623_NODE_1230_length_310_cov_1.258824	YP_009724390.1	98	102	2	0	3	308	1060	1161	1273	8.5e-63	216.9	YP_009724390.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	11234	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Paramyxoviridae	Morbillivirus	Measles morbillivirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthoparamyxovirinae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310
PBS11a_NODE_28_length_308_cov_0.814229	QTU78101.1	98	101	2	0	303	1	529	629	1273	1.6e-57	201.8	QTU78101.1 surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	308
