nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_052931	NC_052931_Quaranjavirus_johnstonense	NC_052931_Quaranjavirus_johnstonense	Alectorobius capensis	Alectorobius	New Zealand	New Zealand	1972	2387	Johnston Atoll quaranjavirus isolate LBJ segment 3, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON746456	ON746456_Yanbian_Ortho_tick_virus_1	ON746456_Yanbian_Ortho_tick_virus_1	Haemaphysalis japonica	Haemaphysalis	China	China: Jilin	2019	2369	MAG: Yanbian Ortho tick virus 1 isolate TIGMIC 1 cRNA sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON872624	ON872624_Orthomyxoviridae_sp.	ON872624_Orthomyxoviridae_sp.	Haemaphysalis japonica	Haemaphysalis	China	China: Ningxia	2017	2358	MAG: Orthomyxoviridae sp. isolate TIGMIC_3 polymerase PB1 gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON860461	ON860461_Tierp_virus	ON860461_Tierp_virus	Ochlerotatus communis	Ochlerotatus	Sweden	Sweden	2020	2428	MAG: Tierp virus isolate k119_3941 RNA-dependent RNA polymerase (RdRp) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON860462	ON860462_Husby_virus	ON860462_Husby_virus	Ochlerotatus communis	Ochlerotatus	Sweden	Sweden	2020	2448	MAG: Husby virus isolate k119_19965 RNA-dependent RNA polymerase (RdRp) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON872578	ON872578_Bat_faecal_associated_orthomyxo-like_virus_1	ON872578_Bat_faecal_associated_orthomyxo-like_virus_1	Pteropus poliocephalus	Pteropus	Australia	Australia	2019	2526	MAG: Bat faecal associated orthomyxo-like virus 1 isolate CP06/aus/1, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700086	OL700086_Wuhan_Mosquito_Virus_3	OL700086_Wuhan_Mosquito_Virus_3	Culex tritaeniorhynchus	Culex	China	China: Yunnan	2018	2443	MAG: Wuhan Mosquito Virus 3 isolate XY84061 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700087	OL700087_Wuhan_Mosquito_Virus_4	OL700087_Wuhan_Mosquito_Virus_4	Culex pipiens	Culex	China	China: Yunnan	2018	2391	MAG: Wuhan Mosquito Virus 4 isolate XY41169 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700088	OL700088_Wuhan_Mosquito_Virus_4	OL700088_Wuhan_Mosquito_Virus_4	Culex pipiens	Culex	China	China: Yunnan	2018	2388	MAG: Wuhan Mosquito Virus 4 isolate XY63686 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700089	OL700089_Wuhan_Mosquito_Virus_5	OL700089_Wuhan_Mosquito_Virus_5	Anopheles sinensis	Anopheles	China	China: Yunnan	2018	2408	MAG: Wuhan Mosquito Virus 5 isolate XY12795 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700090	OL700090_Wuhan_Mosquito_Virus_6	OL700090_Wuhan_Mosquito_Virus_6	Culex pipiens	Culex	China	China: Yunnan	2018	2415	MAG: Wuhan Mosquito Virus 6 isolate XY70035 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700153	OL700153_XiangYun_orthomyxo-like_virus_1	OL700153_XiangYun_orthomyxo-like_virus_1	Culex pipiens	Culex	China	China: Yunnan	2018	1891	MAG: XiangYun orthomyxo-like virus 1 isolate XY3807 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700154	OL700154_XiangYun_orthomyxo-like_virus_2	OL700154_XiangYun_orthomyxo-like_virus_2	Culex theileri	Culex	China	China: Yunnan	2018	2390	MAG: XiangYun orthomyxo-like virus 2 isolate XY10014 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700156	OL700156_XiangYun_orthomyxo-like_virus_4	OL700156_XiangYun_orthomyxo-like_virus_4	Culex pipiens	Culex	China	China: Yunnan	2018	2338	MAG: XiangYun orthomyxo-like virus 4 isolate XY24645 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700157	OL700157_XiangYun_orthomyxo-like_virus_5	OL700157_XiangYun_orthomyxo-like_virus_5	Culex tritaeniorhynchus	Culex	China	China: Yunnan	2018	1761	MAG: XiangYun orthomyxo-like virus 5 isolate XY9289 polymerase PB1 gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
