sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC	RdRp_scan_map_consensus_id	contig_id	orf_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	followup_phylo_group	ref_suggestions	original_sample_ID	original_metaspades_contig_node_IDs	read_map_consensus_sample_ID	vir_sp_seq_ID_v3
F1019	F1019_NODE_753_length_2446_cov_43.823923	16657469	5448	164.650858544563	9.88450637636261	100	0	43.823923	2446	yes	133.712384138551	0	F1019_NODE_753_length_2446_cov_43.823923_F1019_RdRpScan_Round1	F1019_NODE_753_length_2446_cov_43.823923	F1019_NODE_753_length_2446_cov_43.823923_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2444	60	REVERSE	2384	QRW42655.1	787	69.3	781	Insthoviricetes	Negarnaviricota	Insthoviricetes	NA	NA	NA	Usinis virus	69.3	Spoisillett_virus	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1019	C753	F1019	Spoisillett_virus_F1019C753F1019
F1058	F1058_NODE_389_length_2500_cov_57.082209	14476837	7353	214.7456	14.8337375077166	98.64	0	57.082209	2500	yes	203.165926369137	0	F1058_NODE_389_length_2500_cov_57.082209_F1058_RdRpScan_Round1	F1058_NODE_389_length_2500_cov_57.082209	F1058_NODE_389_length_2500_cov_57.082209_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1058	C389	F1058	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1058
F1059	F1058_NODE_389_length_2500_cov_57.082209	22241881	3276	93.5504	4.20604714142657	85.96	-1.81834521994402	57.082209	2500	yes	58.915880361018	-1.78593000334728	F1058_NODE_389_length_2500_cov_57.082209_F1059_RdRpScan_Round1	F1058_NODE_389_length_2500_cov_57.082209	F1058_NODE_389_length_2500_cov_57.082209_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1058	C389	F1059	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1059
F1062	F1058_NODE_389_length_2500_cov_57.082209	15216219	20650	578.6696	38.0297891348698	97.44	1.35824779466775	57.082209	2500	yes	542.841818982758	1.41787340291107	F1058_NODE_389_length_2500_cov_57.082209_F1062_RdRpScan_Round1	F1058_NODE_389_length_2500_cov_57.082209	F1058_NODE_389_length_2500_cov_57.082209_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1058	C389	F1062	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1062
F1065	F1058_NODE_389_length_2500_cov_57.082209	6219658	102	2.7952	0.449413778056607	85.72	-5.04469397962246	57.082209	2500	yes	6.55984621662477	-4.95285265906367	F1058_NODE_389_length_2500_cov_57.082209_F1065_RdRpScan_Round1	F1058_NODE_389_length_2500_cov_57.082209	F1058_NODE_389_length_2500_cov_57.082209_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1058	C389	F1065	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1065
F1067	F1058_NODE_389_length_2500_cov_57.082209	7028060	2782	77.6496	11.0485112534611	97.4	-0.425030160135071	57.082209	2500	yes	158.336724501498	-0.359662551335168	F1058_NODE_389_length_2500_cov_57.082209_F1067_RdRpScan_Round1	F1058_NODE_389_length_2500_cov_57.082209	F1058_NODE_389_length_2500_cov_57.082209_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1058	C389	F1067	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1067
F1068	F1058_NODE_389_length_2500_cov_57.082209	9323635	220	6.1252	0.656954074242503	96.36	-4.49694581529607	57.082209	2500	yes	9.43837891551954	-4.42797556157242	F1058_NODE_389_length_2500_cov_57.082209_F1068_RdRpScan_Round1	F1058_NODE_389_length_2500_cov_57.082209	F1058_NODE_389_length_2500_cov_57.082209_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2498	87	REVERSE	2411	QRW42591.1	786	99.5	786	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Guadeloupe mosquito quaranja-like virus 1	99.5	Guadeloupe_mosquito_quaranja_like_virus_1	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1058	C389	F1068	Guadeloupe_mosquito_quaranja_like_virus_1_F1058C389F1068
F1083	F1083_NODE_108_length_2488_cov_200.391286	9569130	26144	763.682877813505	79.8069289280744	98.6736334405145	0	200.391286	2488	yes	1098.11848989501	0	F1083_NODE_108_length_2488_cov_200.391286_F1083_RdRpScan_Round1	F1083_NODE_108_length_2488_cov_200.391286	F1083_NODE_108_length_2488_cov_200.391286_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2455	83	REVERSE	2372	QRW42655.1	787	99.6	787	Insthoviricetes	Negarnaviricota	Insthoviricetes	NA	NA	NA	Usinis virus	99.6	Usinis_virus	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1083	C108	F1083	Usinis_virus_F1083C108F1083
F1515	F1083_NODE_108_length_2488_cov_200.391286	9775916	5005	146.129019292605	14.9478595450907	97.548231511254	-2.41657509543785	200.391286	2488	yes	205.776721951483	-2.41588203855513	F1083_NODE_108_length_2488_cov_200.391286_F1515_RdRpScan_Round1	F1083_NODE_108_length_2488_cov_200.391286	F1083_NODE_108_length_2488_cov_200.391286_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2455	83	REVERSE	2372	QRW42655.1	787	99.6	787	Insthoviricetes	Negarnaviricota	Insthoviricetes	NA	NA	NA	Usinis virus	99.6	Usinis_virus	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1083	C108	F1515	Usinis_virus_F1083C108F1515
F1115	F1115_NODE_44_length_2481_cov_121.967436	17348512	15851	467.324869004434	26.9374612073032	100	0	121.967436	2481	yes	368.271127005151	0	F1115_NODE_44_length_2481_cov_121.967436_F1115_RdRpScan_Round1	F1115_NODE_44_length_2481_cov_121.967436	F1115_NODE_44_length_2481_cov_121.967436_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2459	60	REVERSE	2399	QTW97780.1	799	99.9	799	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	99.9	Wuhan_Mosquito_Virus_6	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1115	C44	F1115	Wuhan_Mosquito_Virus_6_F1115C44F1115
F1120	F1115_NODE_44_length_2481_cov_121.967436	12499888	142	4.25070536074164	0.340059475792234	82.5473599355099	-6.30768298314416	121.967436	2481	yes	4.5788398978283	-6.32964236094029	F1115_NODE_44_length_2481_cov_121.967436_F1120_RdRpScan_Round1	F1115_NODE_44_length_2481_cov_121.967436	F1115_NODE_44_length_2481_cov_121.967436_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2459	60	REVERSE	2399	QTW97780.1	799	99.9	799	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	99.9	Wuhan_Mosquito_Virus_6	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1115	C44	F1120	Wuhan_Mosquito_Virus_6_F1115C44F1120
F1422	F1115_NODE_44_length_2481_cov_121.967436	10416983	1155	34.0419185812173	3.26792494345217	97.5413139862958	-3.0431671329092	121.967436	2481	yes	44.6902994350714	-3.04273467601101	F1115_NODE_44_length_2481_cov_121.967436_F1422_RdRpScan_Round1	F1115_NODE_44_length_2481_cov_121.967436	F1115_NODE_44_length_2481_cov_121.967436_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2459	60	REVERSE	2399	QTW97780.1	799	99.9	799	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	99.9	Wuhan_Mosquito_Virus_6	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1115	C44	F1422	Wuhan_Mosquito_Virus_6_F1115C44F1422
F1576	F1115_NODE_44_length_2481_cov_121.967436	4682605	7316	334.382910116888	71.4095914810001	97.9443772672309	1.40650397833384	121.967436	2481	yes	629.737285831549	0.773981797490869	F1115_NODE_44_length_2481_cov_121.967436_F1576_RdRpScan_Round1	F1115_NODE_44_length_2481_cov_121.967436	F1115_NODE_44_length_2481_cov_121.967436_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	2459	60	REVERSE	2399	QTW97780.1	799	99.9	799	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	Quaranjavirus	Wuhan Mosquito Virus 6	99.9	Wuhan_Mosquito_Virus_6	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1115	C44	F1576	Wuhan_Mosquito_Virus_6_F1115C44F1576
F1230	F1398_NODE_269_length_2478_cov_48.295089	11099960	316	8.98870056497175	0.809795761874074	88.0145278450363	-4.18907550640796	48.295089	2478	yes	11.4885274648562	-4.14985647276007	F1398_NODE_269_length_2478_cov_48.295089_F1230_RdRpScan_Round1	F1398_NODE_269_length_2478_cov_48.295089	F1398_NODE_269_length_2478_cov_48.295089_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	70	2433	FORWARD	2363	UGO48657.1	786	85.1	785	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	NA	Palmetto orthomyxo-like virus	85.1	Panessemat_virus	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1398	C269	F1230	Panessemat_virus_F1398C269F1230
F1387	F1398_NODE_269_length_2478_cov_48.295089	10850912	3006	87.1125907990315	8.02813540456613	97.3769168684423	-0.8796405543378	48.295089	2478	yes	111.794756102776	-0.867269753093159	F1398_NODE_269_length_2478_cov_48.295089_F1387_RdRpScan_Round1	F1398_NODE_269_length_2478_cov_48.295089	F1398_NODE_269_length_2478_cov_48.295089_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	70	2433	FORWARD	2363	UGO48657.1	786	85.1	785	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	NA	Palmetto orthomyxo-like virus	85.1	Panessemat_virus	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1398	C269	F1387	Panessemat_virus_F1398C269F1387
F1396	F1398_NODE_269_length_2478_cov_48.295089	11744153	4164	121.544794188862	10.3493878348538	96.6101694915254	-0.5132319742202	48.295089	2478	yes	143.08289488403	-0.511271058472911	F1398_NODE_269_length_2478_cov_48.295089_F1396_RdRpScan_Round1	F1398_NODE_269_length_2478_cov_48.295089	F1398_NODE_269_length_2478_cov_48.295089_1	N	ALL_NCBI_Palmdb_RdRp.Insthoviricetes.0.4.fasta	70	2433	FORWARD	2363	UGO48657.1	786	85.1	785	Insthoviricetes	Negarnaviricota	Insthoviricetes	Articulavirales	Orthomyxoviridae	NA	Palmetto orthomyxo-like virus	85.1	Panessemat_virus	Quaranja_clade	NOT_ASSIGNED_Henan_2_orthomyxo_like_virus	F1398	C269	F1396	Panessemat_virus_F1398C269F1396
