sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC	RdRp_scan_map_consensus_id	contig_id	orf_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus	followup_phylo_group	vir_sp_seq_ID_v3
F1001	F1339_NODE_31_length_6863_cov_3148.768801	13568825	190139	2034.24333381903	149.920375111259	99.3151682937491	-2.54026057616951	3148.768801	6863	yes	2041.80830181076	-2.55281634003938	F1339_NODE_31_length_6863_cov_3148.768801_F1001_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1001	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1001
F1002	F1339_NODE_31_length_6863_cov_3148.768801	7633266	81572	872.350284132304	114.282704694465	99.3151682937491	-2.9318499583862	3148.768801	6863	yes	1557.10075386373	-2.94380146450019	F1339_NODE_31_length_6863_cov_3148.768801_F1002_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1002	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1002
F1058	F1339_NODE_31_length_6863_cov_3148.768801	14476837	126552	1347.91709165088	93.1085354936912	99.5337316042547	-3.2274717095645	3148.768801	6863	yes	1273.74159015103	-3.23359114199524	F1339_NODE_31_length_6863_cov_3148.768801_F1058_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1058	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1058
F1060	F1339_NODE_31_length_6863_cov_3148.768801	9357263	55554	553.544951187527	59.1567161452582	98.907183447472	-3.88184316983262	3148.768801	6863	yes	865.07248624793	-3.79177083367076	F1339_NODE_31_length_6863_cov_3148.768801_F1060_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1060	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1060
F1061	F1339_NODE_31_length_6863_cov_3148.768801	12202598	67691	720.297391811161	59.0281997170735	98.9508961095731	-3.88498079675131	3148.768801	6863	yes	808.285200219124	-3.88972742592981	F1339_NODE_31_length_6863_cov_3148.768801_F1061_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1061	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1061
F1062	F1339_NODE_31_length_6863_cov_3148.768801	15216219	101504	1022.86463645636	67.2219975577612	98.7614745738016	-3.69745172472485	3148.768801	6863	yes	971.991367437663	-3.62364835708735	F1339_NODE_31_length_6863_cov_3148.768801_F1062_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1062	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1062
F1063	F1339_NODE_31_length_6863_cov_3148.768801	7981985	134053	1421.87527320414	178.13554813798	98.7614745738016	-2.29148159941035	3148.768801	6863	yes	2447.09951749333	-2.29159098960325	F1339_NODE_31_length_6863_cov_3148.768801_F1063_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1063	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1063
F1064	F1339_NODE_31_length_6863_cov_3148.768801	9230935	5649	58.1219583272621	6.29643241202133	98.7177619117004	-7.11377861141581	3148.768801	6863	yes	89.1685866452452	-7.06998440269905	F1339_NODE_31_length_6863_cov_3148.768801_F1064_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1064	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1064
F1065	F1339_NODE_31_length_6863_cov_3148.768801	6219658	30729	316.53314876876	50.8923720192911	98.6594783622322	-4.09893570409946	3148.768801	6863	yes	719.892955371167	-4.05680945727378	F1339_NODE_31_length_6863_cov_3148.768801_F1065_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1065	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1065
F1067	F1339_NODE_31_length_6863_cov_3148.768801	7028060	136870	1374.63048229637	195.591739725667	98.921754334839	-2.1566116006523	3148.768801	6863	yes	2837.64986913438	-2.07796717338633	F1339_NODE_31_length_6863_cov_3148.768801_F1067_RdRpScan_Round1	F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801_2	G	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	6784	128	REVERSE	6656	ATQ62689.1	2217	99.3	2217	Ellioviricetes	Negarnaviricota	Ellioviricetes	Bunyavirales	Phenuiviridae	Phasivirus	Phasi Charoen-like phasivirus	99.3	Phasi_Charoen_like_virus	Phenuiviridae	Phasi_Charoen_like_virus_F1339C31F1339	Phasi_Charoen_like_virus	F1339_NODE_31_length_6863_cov_3148.768801_F1339_MapVerif_F1339_detect_F1339_round2_frame2	C31	F1339	F1067	phylogenetically related, high genetic similarity	NA	Phasi_Charoen_like_virus	Aedes aegypti	correct	Aedes aegypti	_	cluster26	(-)ssRNA	segmented	Bunyavirales	25	26	Aedes	Phasi_clade	Phasi_Charoen_like_virus_F1339C31F1067
