qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1019_NODE_4286_length_1221_cov_1.621784	QIJ25864.1	75.7	416	91	1	1220	3	2261	2676	2763	6.7e-204	634	QIJ25864.1 hypothetical protein [Perrin Park virus]	2714903	Viruses	NA	NA	NA	NA	NA	Perrin Park virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	QIJ25863.1	75.7	416	91	1	1220	3	2261	2676	2763	6.7e-204	634	QIJ25863.1 hypothetical protein [Perrin Park virus]	2714903	Viruses	NA	NA	NA	NA	NA	Perrin Park virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	YP_009448183.1	75.2	416	93	1	1220	3	2262	2677	2752	8.6e-204	633.6	YP_009448183.1 polyprotein [Armigeres iflavirus]	2018471	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	Iflavirus	Armigeres iflavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Iflavirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	QIJ25862.1	74.5	416	96	1	1220	3	2261	2676	2763	2e-200	624.4	QIJ25862.1 hypothetical protein [Perrin Park virus]	2714903	Viruses	NA	NA	NA	NA	NA	Perrin Park virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	AXV43888.1	73.6	416	100	1	1220	3	2278	2693	2699	3.8e-196	612.1	AXV43888.1 polyprotein, partial [Yongsan iflavirus 1]	2315809	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	NA	Yongsan iflavirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Iflaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	YP_009552080.1	73.1	416	102	1	1220	3	2278	2693	2761	1.9e-195	610.5	YP_009552080.1 polyprotein [Yongsan iflavirus 1]	2315809	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	NA	Yongsan iflavirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Iflaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	QGA70904.1	73.3	416	101	1	1220	3	2276	2691	2759	1.6e-193	605.1	QGA70904.1 RNA-dependent RNA polymerase [Jotan virus]	2651931	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Picornaviridae	NA	Jotan virus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Picornaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	BBQ04785.1	72.4	416	105	1	1220	3	2228	2643	2711	1.7e-193	604.7	BBQ04785.1 polyprotein, partial [Yongsan iflavirus 1]	2315809	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	NA	Yongsan iflavirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Iflaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1019_NODE_4286_length_1221_cov_1.621784	QTT60762.1	72.4	416	105	1	1220	3	2278	2693	2761	4.2e-193	604	QTT60762.1 polyprotein [Yongsan iflavirus 1]	2315809	Viruses	Pisuviricota	Pisoniviricetes	Picornavirales	Iflaviridae	NA	Yongsan iflavirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Iflaviridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1156_NODE_4809_length_297_cov_2.206612	YP_009337332.1	36.7	90	57	0	26	295	1517	1606	1942	7.6e-07	57	YP_009337332.1 hypothetical protein 1 [Hubei picorna-like virus 18]	1923097	Viruses	NA	NA	NA	NA	NA	Hubei picorna-like virus 18	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
