nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_043488	NC_043488_Alphamesonivirus_7	NC_043488_Alphamesonivirus_7	Culex	Culex	Brazil	Brazil: Nhecolandia Sub-region of Pantanal, Corumba, Mato Grosso do Sul	2010	20398	Kadiweu virus strain BrMS-MQ10 putative ORF1ab (orf1), putative ORF1a (orf1), putative nucleocapsid, and putative membrane protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043489	NC_043489_Alphamesonivirus_6	NC_043489_Alphamesonivirus_6	Mansonia	Mansonia	Brazil	Brazil: Nhecolandia Sub-region of Pantanal, Corumba, Mato Grosso do Sul	2010	19867	Ofaie virus strain BrMS-MQ10 putative ORF1ab and putative ORF1a genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040534	NC_040534_Alphamesonivirus_11	NC_040534_Alphamesonivirus_11	Culex	Culex	China	China	2015	20949	Yichang virus isolate HB-MLV, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038296	NC_038296_Alphamesonivirus_2	NC_038296_Alphamesonivirus_2	Culex vishnui	Culex	Indonesia	Indonesia: Karang Sari	1981	20795	Karang Sari virus strain JKT10701, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038297	NC_038297_Alphamesonivirus_3	NC_038297_Alphamesonivirus_3	Culex tritaeniorhynchus	Culex	Viet Nam	Viet Nam: Dak Nong province	2007	20307	Dak Nong virus RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_036586	NC_036586_Alphamesonivirus_10	NC_036586_Alphamesonivirus_10	NA	NA	Senegal	Senegal: Kedougou	2012	20106	Dianke virus strain SEN235030, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_023986	NC_023986_Alphamesonivirus_4	NC_023986_Alphamesonivirus_4	Coquillettidia xanthogaster	Coquillettidia	Australia	Australia	2010	19917	Casuarina virus isolate 0071, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_020899	NC_020899_Alphamesonivirus_2	NC_020899_Alphamesonivirus_2	Culex	Culex	Cote d'Ivoire	Cote d'Ivoire	2004	20070	Hana virus strain A4/CI/2004, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_020900	NC_020900_Alphamesonivirus_3	NC_020900_Alphamesonivirus_3	Uranotaenia chorleyi	Uranotaenia	Cote d'Ivoire	Cote d'Ivoire	2004	19979	Meno virus strain E9/CI/2004, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_020901	NC_020901_Alphamesonivirus_4	NC_020901_Alphamesonivirus_4	Culex nebulosus	Culex	Cote d'Ivoire	Cote d'Ivoire	2004	20074	Nse virus strain F24/CI/2004, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015874	NC_015874_Alphamesonivirus_1	NC_015874_Alphamesonivirus_1	Culicidae	Culicidae	Viet Nam	Viet Nam	2002	20192	Nam Dinh virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015668	NC_015668_Alphamesonivirus_1	NC_015668_Alphamesonivirus_1	Ochlerotatus harrisoni	Ochlerotatus	Cote d'Ivoire	Cote d'Ivoire	2004	20128	Cavally virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700077	OL700077_Alphamesonivirus_1	OL700077_Alphamesonivirus_1	Culex pipiens	Culex	China	China: Yunnan	2018	20128	MAG: Nam Dinh virus isolate XY11528 ORF1a, ORF1b, and ORF3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OV054251	OV054251_Alphamesonivirus_1	OV054251_Alphamesonivirus_1	Culex pipiens	Culex	Germany	Germany	2019	20125	Alphamesonivirus 1 isolate CCT1C7-20 genome assembly, complete genome: monopartite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ358853	MZ358853_Alphamesonivirus_4	MZ358853_Alphamesonivirus_4	Ochlerotatus procax	Ochlerotatus	Australia	Australia:Queensland	2018	19978	Casuarina virus isolate 205081_1, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT522182	MT522182_Alphamesonivirus_sp_	MT522182_Alphamesonivirus_sp.	Culex annulirostris	Culex	Australia	Australia	2019	19914	Alphamesonivirus sp. isolate SWBTA-Mes-ann, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT522183	MT522183_Alphamesonivirus_sp_	MT522183_Alphamesonivirus_sp.	Ochlerotatus vigilax	Ochlerotatus	Australia	Australia	2019	19917	Alphamesonivirus sp. isolate SWBTA-Mes-vigilax, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT522184	MT522184_Alphamesonivirus_sp_	MT522184_Alphamesonivirus_sp.	Ochlerotatus procax	Ochlerotatus	Australia	Australia	2019	19917	Alphamesonivirus sp. isolate SWBTA-Mes-procax, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
