sample_id	ref_id	total_reads	mapped_reads	average_cov	norm_average_cov	percentage_covered	norm_average_cov_LFC	contig_kmer_cov	contig_len	selected	RPKM	RPKM_LFC	RdRp_scan_map_consensus_id	contig_id	orf_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus	ref_suggestions	followup_phylo_group	vir_sp_seq_ID_v3
F1409	F1457_NODE_1_length_9780_cov_2915.760617	8035366	4353	32.5819018404908	4.05481241806419	98.5480572597137	-8.25330715652602	2915.760617	9780	yes	55.3916305168772	-8.25766860103163	F1457_NODE_1_length_9780_cov_2915.760617_F1409_RdRpScan_Round1	F1457_NODE_1_length_9780_cov_2915.760617	F1457_NODE_1_length_9780_cov_2915.760617_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9553	236	REVERSE	9317	AXV43894.1	3088	91.2	3088	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Yongsan picorna-like virus 2	91.2	Yongsan_picorna_like_virus_2	NA	NA	NA	NA	C1	F1457	F1409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Yongsan_picorna_like_virus_2_F1457C1F1409
F1457	F1457_NODE_1_length_9780_cov_2915.760617	9334525	1547680	11549.309202454	1237.26801336479	99.9284253578732	0	2915.760617	9780	yes	16953.137813928	0	F1457_NODE_1_length_9780_cov_2915.760617_F1457_RdRpScan_Round1	F1457_NODE_1_length_9780_cov_2915.760617	F1457_NODE_1_length_9780_cov_2915.760617_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9553	236	REVERSE	9317	AXV43894.1	3088	91.2	3088	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Yongsan picorna-like virus 2	91.2	Yongsan_picorna_like_virus_2	NA	NA	NA	NA	C1	F1457	F1457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Yongsan_picorna_like_virus_2_F1457C1F1457
F1035	F1605_NODE_1_length_9870_cov_225.745695	8953055	206807	1538.12563323202	171.79897065661	99.3920972644377	-0.450339415752715	225.745695	9870	yes	2340.32854397065	-0.448544836391267	F1605_NODE_1_length_9870_cov_225.745695_F1035_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1035	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1035
F1043	F1605_NODE_1_length_9870_cov_225.745695	5521586	25078	185.547821681864	33.6040807264189	98.0344478216819	-2.80435246519899	225.745695	9870	yes	460.163221292808	-2.79503832590499	F1605_NODE_1_length_9870_cov_225.745695_F1043_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1043
F1044	F1605_NODE_1_length_9870_cov_225.745695	5541460	615418	4562.0125633232	823.251013870569	99.564336372847	1.81027157530053	225.745695	9870	yes	11251.9770876955	1.81685070362885	F1605_NODE_1_length_9870_cov_225.745695_F1044_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1044
F1046	F1605_NODE_1_length_9870_cov_225.745695	8598492	32991	246.079939209726	28.6189647219218	97.5886524822695	-3.03601741898297	225.745695	9870	yes	388.737140360119	-3.03838905528486	F1605_NODE_1_length_9870_cov_225.745695_F1046_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1046	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1046
F1047	F1605_NODE_1_length_9870_cov_225.745695	6387704	89208	661.890678824721	103.619497525985	99.9898682877406	-1.17976531549676	225.745695	9870	yes	1414.9525200824	-1.17450226825097	F1605_NODE_1_length_9870_cov_225.745695_F1047_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1047	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1047
F1466	F1605_NODE_1_length_9870_cov_225.745695	22917450	12306	92.0668693009118	4.01732606816691	94.3971631205674	-5.86868143487975	225.745695	9870	yes	54.4043299162122	-5.8753906242096	F1605_NODE_1_length_9870_cov_225.745695_F1466_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1466	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1466
F1605	F1605_NODE_1_length_9870_cov_225.745695	3733439	117687	876.385714285714	234.739529502347	99.8277608915907	0	225.745695	9870	yes	3193.76001769064	0	F1605_NODE_1_length_9870_cov_225.745695_F1605_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1605	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1605
F1613	F1605_NODE_1_length_9870_cov_225.745695	10343813	44158	328.121783181358	31.7215501847682	97.7406281661601	-2.88752562803623	225.745695	9870	yes	432.525365597137	-2.88439926359496	F1605_NODE_1_length_9870_cov_225.745695_F1613_RdRpScan_Round1	F1605_NODE_1_length_9870_cov_225.745695	F1605_NODE_1_length_9870_cov_225.745695_1	G	ALL_NCBI_Palmdb_RdRp.Picornavirales.0.4.fasta	9538	200	REVERSE	9338	YP_009345020.1	3113	93.5	3113	Picornavirales	Pisuviricota	Pisoniviricetes	Picornavirales	NA	NA	Zhejiang mosquito virus 1	93.5	Zhejiang_mosquito_virus_1	NA	NA	NA	NA	C1	F1605	F1613	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Pisuviricota_Picornavirales_YP_009345020.1_hypothetical_protein__Zhejiang_mosquito_virus_1_, Pisuviricota_Picornavirales_YP_009337062.1_hypothetical_protein__Hubei_picornalike_virus_61_	Picorna_like_clade	Zhejiang_mosquito_virus_1_F1605C1F1613
