orf_id	contig_id	contig_set	target	orf_start	orf_end	orf_sense	orf_len	sseqid_be	slen_be	pident_be	length_be	rdrp_scan_vir_group	BestHit_phylum	BestHit_class	BestHit_order	BestHit_family	BestHit_genus	BestHit_species	BestHit_pident	suggested_vir_sp	vir_group	vir_sp_seq_ID_v2	phylo_virus_species	consensus_cds_ID	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	reason	comment.x	older_species_names_v1	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment.y	cluster_on_SKA_plot	Genome	Segmented	higher_vir_group	Ordering	cluster_on_SKA_plot_num	verif_mosq_genus	ref_suggestions	followup_phylo_group
F1172_NODE_1572_length_1141_cov_1.639963_1	F1172_NODE_1572_length_1141_cov_1.639963	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	2	1135	FORWARD	1133	ASA47308.1	543	60.1	378	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Wilkie partiti-like virus 2	60.1	F1172_NODE_1572_length_1141_cov_1.639963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1097_NODE_5_length_3277_cov_171.617629_1	F1097_NODE_5_length_3277_cov_171.617629	N	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	3266	84	REVERSE	3182	QTW97841.1	1078	52.7	1004	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Riboviria sp.	52.7	F1097_NODE_5_length_3277_cov_171.617629	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1097_NODE_7_length_2867_cov_32.811522_1	F1097_NODE_7_length_2867_cov_32.811522	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2865	46	REVERSE	2819	UHM27569.1	945	53.5	918	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya narnavirus 11	53.5	F1097_NODE_7_length_2867_cov_32.811522	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1100_NODE_461_length_1657_cov_6.475655_1	F1100_NODE_461_length_1657_cov_6.475655	N	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	1	1344	FORWARD	1343	QGY72572.1	619	83.2	446	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Betascleroulivirus	Betascleroulivirus thetaplasmoparae	83.2	F1100_NODE_461_length_1657_cov_6.475655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1117_NODE_14_length_2164_cov_4.907539_2	F1117_NODE_14_length_2164_cov_4.907539	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2164	2	REVERSE	2162	ASA47305.1	1056	99.3	721	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Zhejiang mosquito virus 3	99.3	Zhejiang_mosquito_virus_3_subsp1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1017_NODE_110_length_2473_cov_34.363110_1	F1017_NODE_110_length_2473_cov_34.363110	G	ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	2473	440	REVERSE	2033	QKI79844.1	673	73.5	668	Ourlivirales	Lenarviricota	Miaviricetes	Ourlivirales	Botourmiaviridae	Ourmiavirus	Erysiphe necator associated ourmia-like virus 14	73.5	Erysiphe_necator_associated_ourmia_like_virus_14_subsp1	Botourmiaviridae	Erysiphe_necator_associated_ourmia_like_virus_14_F1017C110F1017	Erysiphe_necator_associated_ourmia_like_virus_14	F1017_NODE_110_length_2473_cov_34.363110_F1017_round2_F1017_detect_F1017_round2_F1017_round3_frame1_1	C110	F1017	F1017	phylogenetically related, high RdRp aa similarity ~73-74%	Species demarcation for Botourmiaviridae is 70% RdRp similarity. https://talk.ictvonline.org/ictv-reports/ictv_online_report/positive-sense-rna-viruses/w/botourmiaviridae	NA	Aedes albopictus	correct	Aedes albopictus	_	cluster28	(+)ssRNA	non-segmented	Lenarviricota	19	28	Aedes		other_clades
F1018_NODE_224_length_2856_cov_452.672974_1	F1018_NODE_224_length_2856_cov_452.672974	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2846	9	REVERSE	2837	YP_009337744.1	942	83.5	944	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	NA	NA	Hubei narna-like virus 17	83.5	Hubei_narna_like_virus_17_subsp1	Narnaviridae	Hubei_narna_like_virus_17_F1018C224F1018	Hubei_narna_like_virus_17	F1018_NODE_224_length_2856_cov_452.672974_F1018_MapVerif_F1018_detect_F1018_round2_F1018_round3_frame2_1	C224	F1018	F1018	phylogenetically related, high RdRp similarity up to ~83% aa	< 50% aa identity species demarcation threshold (https://talk.ictvonline.org/ictv-reports/ictv_9th_report/positive-sense-rna-viruses-2011/w/posrna_viruses/267/narnaviridae#:~:text=Species%20demarcation%20criteria%20in%20the,should%20be%20stably%20co%2Dmaintained. ). I use the virus name that was deposited to Genbank earlier.	NA	Anopheles peditaeniatus	correct	Anopheles peditaeniatus	_	cluster1	(+)ssRNA	non-segmented	Lenarviricota	17	1	Anopheles		other_clades
F1552_NODE_18_length_3190_cov_494.525040_1	F1552_NODE_18_length_3190_cov_494.525040	G	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	28	3159	FORWARD	3131	UTS51900.1	869	32.4	888	Wolframvirales	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	NA	Narnaviridae sp.	32.4	F1552_NODE_18_length_3190_cov_494.525040	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1360_NODE_4105_length_1606_cov_2.191489_1	F1360_NODE_4105_length_1606_cov_2.191489	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1604	234	REVERSE	1370	UDL14417.1	541	56.4	456	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	Partitiviridae	NA	Partitiviridae sp.	56.4	F1360_NODE_4105_length_1606_cov_2.191489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
F1424_NODE_40_length_1858_cov_2432.250139_1	F1424_NODE_40_length_1858_cov_2432.250139	N	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	1	1746	FORWARD	1745	BBQ05104.1	564	99.5	564	Durnavirales	Pisuviricota	Duplopiviricetes	Durnavirales	NA	NA	Hubei partiti-like virus 22	99.5	Hubei_partiti_like_virus_22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		other_clades
