nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040813	NC_040813_Andrena_haemorrhoa_nege-like_virus	NC_040813_Andrena_haemorrhoa_nege-like_virus	Andrena haemorrhoa	Andrena	Belgium	Belgium	2015	8806	Andrena haemorrhoa nege-like virus isolate ahae2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_035129	NC_035129_Culex_negev-like_virus_3	NC_035129_Culex_negev-like_virus_3	Culex australicus	Culex	Australia	Australia: Point Douro	2015	9176	Culex negev-like virus 3 strain mos172X44875, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034153	NC_034153_Biratnagar_virus	NC_034153_Biratnagar_virus	NA	NA	Nepal	Nepal	1984	9111	Biratnagar virus strain Nepal12-1 hypothetical protein 1, hypothetical protein 2, and hypothetical protein 3 genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_033247	NC_033247_Hubei_virga-like_virus_7	NC_033247_Hubei_virga-like_virus_7	Odonata	Odonata	China	China	2013	9480	Hubei virga-like virus 7 strain QTM27262 hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_025357	NC_025357_Goutanap_virus	NC_025357_Goutanap_virus	Culex nebulosus	Culex	Cote d'Ivoire	Cote d'Ivoire: Gouleako	2004	9165	Goutanap virus strain F33/CI/2004, partial genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_024071	NC_024071_Tanay_virus	NC_024071_Tanay_virus	Culex quinquefasciatus	Culex	Philippines	Philippines	2005	9578	Tanay virus isolate 11-2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_023440	NC_023440_Wallerfield_virus	NC_023440_Wallerfield_virus	Culex portesi	Culex	Trinidad and Tobago	Trinidad and Tobago	2009	9023	Wallerfield virus strain TR7904, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ615321	MZ615321_Feitosa_virus	MZ615321_Feitosa_virus	NA	NA	Brazil	Brazil	2014	9310	Feitosa virus strain BeAr805503/FEITV genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ615323	MZ615323_Wallerfield_virus	MZ615323_Wallerfield_virus	NA	NA	Brazil	Brazil	2014	8955	Wallerfield virus strain BeAr805503/WALV genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ615326	MZ615326_Feitosa_virus	MZ615326_Feitosa_virus	NA	NA	Brazil	Brazil	2014	9263	Feitosa virus strain BeAr805514/FEITV genomic sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
