qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas	contig_len
F1549_NODE_1045_length_347_cov_0.955479	QRQ68916.1	98.9	88	1	0	346	83	34	121	121	8e-61	192.2	QRQ68916.1 ORF8 protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	347
F1549_NODE_2265_length_281_cov_1.619469	QSV27740.1	100	93	0	0	1	279	4765	4857	7096	1e-54	193.4	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	281
F1549_NODE_321_length_530_cov_0.873684	QSM16819.1	95.5	176	8	0	2	529	5436	5611	7096	2.2e-106	345.5	QSM16819.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	530
F1549_NODE_4676_length_257_cov_0.945545	QSV27740.1	98.8	85	1	0	1	255	6139	6223	7096	4.7e-54	191	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	257
F1555_NODE_41_length_359_cov_1.180921	QUX79160.1	100	77	0	0	232	2	2013	2089	4402	1.2e-40	154.5	QUX79160.1 ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	359
F1555_NODE_428_length_262_cov_0.913043	QUA82294.1	100	86	0	0	3	260	4153	4238	4405	6.1e-51	182.2	QUA82294.1 ORF1a polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	262
F1555_NODE_735_length_211_cov_1.102564	QKR87044.1	98.6	69	1	0	3	209	11	79	121	1e-44	149.4	QKR87044.1 ORF8 protein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	211
F1569_NODE_13717_length_272_cov_0.875576	QVI46241.1	98.9	90	1	0	272	3	4889	4978	7096	5.3e-51	182.6	QVI46241.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	272
F1569_NODE_20229_length_239_cov_1.043478	QWT98975.1	100	79	0	0	237	1	6646	6724	7096	3e-43	159.8	QWT98975.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	239
F1569_NODE_23182_length_218_cov_1.171779	QSV27740.1	98.6	72	1	0	217	2	5222	5293	7096	2.1e-40	151.4	QSV27740.1 ORF1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]	2697049	Viruses	Pisuviricota	Pisoniviricetes	Nidovirales	Coronaviridae	Betacoronavirus	Severe acute respiratory syndrome-related coronavirus	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	Severe acute respiratory syndrome coronavirus 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthocoronavirinae	Sarbecovirus	NA	Cornidovirineae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	218
