qseqid	tax_id	evalue	Collapsed_lineage	superkingdom	phylum	class	order	family	genus	species	kingdom	realm	clade1	clade2	orf_id	contig_id	possibly_cellular_contig	target	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	contig_set	orf_start	orf_end	orf_sense	orf_len	sseqid_be	pident_be	length_be	mismatch_be	gapopen_be	qstart_be	qend_be	sstart_be	send_be	slen_be	evalue_be	bitscore_be	stitle_be	tax_id_be	Collapsed_lineage_be	superkingdom_be	phylum_be	class_be	order_be	family_be	genus_be	species_be	kingdom_be	realm_be	clade1_be	clade2_be	rdrp_scan_vir_group	RdRP_scan_match_with_DMND	orf_id_original	qstart_be_nt	qend_be_nt
F1143_NODE_11_length_7548_cov_9.055652_2	2686045	0	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||Culex vishnui subgroup totivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Totiviridae||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex vishnui subgroup totivirus	Orthornavirae	Riboviria	NA	NA	F1143_NODE_11_length_7548_cov_9.055652_2	F1143_NODE_11_length_7548_cov_9.055652	0	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	3.9e-102	335.2	2.3	8.2e-102	334.2	2.1	14	1	1	0	1	1	1	1	G	4132	7254	FORWARD	3122	BBQ05098.1	98	982	20	0	60	1041	1	982	982	0	1961.4	BBQ05098.1 RNA-dependent RNA polymerase [Culex vishnui subgroup totivirus]	2686045	Viruses|Duplornaviricota|Chrymotiviricetes|Ghabrivirales|Totiviridae||Culex vishnui subgroup totivirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Totiviridae||||||||||||||||||||||||||||||	Viruses	Duplornaviricota	Chrymotiviricetes	Ghabrivirales	Totiviridae	NA	Culex vishnui subgroup totivirus	Orthornavirae	Riboviria	NA	NA	Ghabrivirales	BestHit	F1143_NODE_11_length_7548_cov_9.055652_2	NA	NA
F1490_NODE_6_length_7134_cov_7.580732_3	2559587	1.2e-306	Viruses||||||||Riboviria||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1490_NODE_6_length_7134_cov_7.580732_3	F1490_NODE_6_length_7134_cov_7.580732	0	ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	1.3e-98	323.6	4.7	1.7e-98	323.2	4.7	1	1	0	0	1	1	1	1	N	3161	24	REVERSE	3137	AJT39583.1	52	1050	487	10	6	1046	3	1044	1044	1.2e-306	1070.5	AJT39583.1 PArp-RdRp, partial [dsRNA virus environmental sample]	1075826	Viruses||||||dsRNA virus environmental sample||Riboviria|dsRNA viruses|||||||||||||||||||||||||||||environmental samples||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	dsRNA virus environmental sample	NA	Riboviria	dsRNA viruses	NA	Ghabrivirales	no match	F1490_NODE_6_length_7134_cov_7.580732_3	NA	NA
F1039_NODE_258_length_2881_cov_647.872611_2	10239	1.8e-214	Viruses||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F1039_NODE_258_length_2881_cov_647.872611_2	F1039_NODE_258_length_2881_cov_647.872611	0	ALL_NCBI_Palmdb_RdRp.Sobelivirales.0.4.fasta	1.7e-77	254.1	5.5	2.1e-77	253.7	5.5	1	1	0	0	1	1	1	1	N	1602	112	REVERSE	1490	ASA47392.1	94.6	373	20	0	125	497	1	373	373	1.8e-214	756.5	ASA47392.1 RdRp [Culex luteo-like virus]	2010270	Viruses||||||Culex luteo-like virus||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Culex luteo-like virus	NA	NA	NA	NA	Sobelivirales	no match	F1039_NODE_258_length_2881_cov_647.872611_2	NA	NA
F1172_NODE_1572_length_1141_cov_1.639963_1	10239	1.3e-129	Viruses||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	F1172_NODE_1572_length_1141_cov_1.639963_1	F1172_NODE_1572_length_1141_cov_1.639963	0	ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	3.1e-74	243.2	1.6	3.5e-74	243	1.6	1	1	0	0	1	1	1	1	N	2	1135	FORWARD	1133	ASA47308.1	60.1	378	151	0	1	378	166	543	543	1.3e-129	474.2	ASA47308.1 RdRp [Wilkie partiti-like virus 2]	2010284	Viruses||||||Wilkie partiti-like virus 2||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Wilkie partiti-like virus 2	NA	NA	NA	NA	Durnavirales	no match	F1172_NODE_1572_length_1141_cov_1.639963_1	NA	NA
F1543_NODE_2_length_10836_cov_97.382989_4	1919071	0	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae|Almendravirus|Almendravirus menghai||Riboviria||||||||||||||||||||||||||||Orthornavirae||Menghai rhabdovirus|||||||||||||||||Alpharhabdovirinae||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Almendravirus	Almendravirus menghai	Orthornavirae	Riboviria	NA	NA	F1543_NODE_2_length_10836_cov_97.382989_4	F1543_NODE_2_length_10836_cov_97.382989	0	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	2.1e-150	494.8	16.8	2.1e-150	494.8	16.8	16	2	0	0	2	2	2	1	N	4582	10683	FORWARD	6101	QSL97717.1	73.4	2032	539	1	4	2034	1	2032	2032	0	3099.3	QSL97717.1 L protein [Menghai rhabdovirus]	1919071	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|Rhabdoviridae|Almendravirus|Almendravirus menghai||Riboviria||||||||||||||||||||||||||||Orthornavirae||Menghai rhabdovirus|||||||||||||||||Alpharhabdovirinae||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	Rhabdoviridae	Almendravirus	Almendravirus menghai	Orthornavirae	Riboviria	NA	NA	Monjiviricetes	BestHit	F1543_NODE_2_length_10836_cov_97.382989_4	NA	NA
F1543_NODE_27_length_5990_cov_6.343724_1	2022115	0	Viruses||||||Crithidia G15 virus||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Crithidia G15 virus	NA	NA	NA	NA	F1543_NODE_27_length_5990_cov_6.343724_1	F1543_NODE_27_length_5990_cov_6.343724	0	ALL_NCBI_Palmdb_RdRp.Ellioviricetes.0.4.fasta	3e-100	329.4	12.9	6.5e-100	328.3	12.9	15	1	0	0	1	1	1	1	G	3	5948	FORWARD	5945	ASN64747.1	80.8	1982	380	1	1	1981	3	1984	1985	0	3320	ASN64747.1 RNA-dependent RNA polymerase [Crithidia G15 virus]	2022115	Viruses||||||Crithidia G15 virus||||||||||||||||||||||||||||||||unclassified viruses||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Crithidia G15 virus	NA	NA	NA	NA	Ellioviricetes	no match	F1543_NODE_27_length_5990_cov_6.343724_1	NA	NA
F1392_NODE_1_length_10754_cov_548.269558_2	1302179	0	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Palm Creek virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Flavivirus||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Palm Creek virus	Orthornavirae	Riboviria	NA	NA	F1392_NODE_1_length_10754_cov_548.269558_2	F1392_NODE_1_length_10754_cov_548.269558	0	ALL_NCBI_Palmdb_RdRp.Amarillovirales.0.4.fasta	1.9e-101	333	10.6	3e-101	332.3	10.6	12	1	0	0	1	1	1	1	G	65	10198	FORWARD	10133	YP_009344962.1	89.2	3356	359	2	24	3377	9	3363	3364	0	6166.6	YP_009344962.1 polyprotein [Palm Creek virus]	1302179	Viruses|Kitrinoviricota|Flasuviricetes|Amarillovirales|Flaviviridae|Flavivirus|Palm Creek virus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Flavivirus||||||||||||||||||||||||||||||	Viruses	Kitrinoviricota	Flasuviricetes	Amarillovirales	Flaviviridae	Flavivirus	Palm Creek virus	Orthornavirae	Riboviria	NA	NA	Amarillovirales	BestHit	F1392_NODE_1_length_10754_cov_548.269558_2	NA	NA
F1097_NODE_1_length_12217_cov_2063.855123_4	2559587	0	Viruses||||||||Riboviria||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	NA	NA	Riboviria	NA	NA	F1097_NODE_1_length_12217_cov_2063.855123_4	F1097_NODE_1_length_12217_cov_2063.855123	0	ALL_NCBI_Palmdb_RdRp.Monjiviricetes_1.0.4.fasta	1.9e-190	627.2	0.6	6.9e-190	625.4	0	19	2	0	0	2	2	2	1	N	5607	11930	FORWARD	6323	DAZ85658.1	52.8	2057	949	9	48	2093	15	2060	2081	0	2163.3	DAZ85658.1 TPA_asm: large polymerase protein [San Gabriel mononegavirus]	2892542	Viruses|Negarnaviricota|Monjiviricetes|Mononegavirales|||San Gabriel mononegavirus||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Mononegavirales|||||||||||||||||||||Haploviricotina|||||||||	Viruses	Negarnaviricota	Monjiviricetes	Mononegavirales	NA	NA	San Gabriel mononegavirus	Orthornavirae	Riboviria	NA	NA	Monjiviricetes	BestHit	F1097_NODE_1_length_12217_cov_2063.855123_4	NA	NA
F1097_NODE_5_length_3277_cov_171.617629_1	2585031	5.2e-296	Viruses||||||Riboviria sp.||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Riboviria sp.	NA	Riboviria	NA	NA	F1097_NODE_5_length_3277_cov_171.617629_1	F1097_NODE_5_length_3277_cov_171.617629	0	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	2.6e-41	134.4	6.9	3.4e-41	134	6.9	12	1	0	0	1	1	1	1	N	3266	84	REVERSE	3182	QTW97841.1	52.7	1004	456	11	9	1002	5	999	1078	5.2e-296	1028.5	QTW97841.1 RNA-dependent RNA polymerase, partial [Riboviria sp.]	2585031	Viruses||||||Riboviria sp.||Riboviria||||||||||||||||||||||||||||||unclassified Riboviria||||||||||||||||||||||||||||||	Viruses	NA	NA	NA	NA	NA	Riboviria sp.	NA	Riboviria	NA	NA	Wolframvirales	no match	F1097_NODE_5_length_3277_cov_171.617629_1	NA	NA
F1097_NODE_7_length_2867_cov_32.811522_1	2905312	7.6e-291	Viruses|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae|Narnavirus|Sanya narnavirus 11||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Narnavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya narnavirus 11	Orthornavirae	Riboviria	NA	NA	F1097_NODE_7_length_2867_cov_32.811522_1	F1097_NODE_7_length_2867_cov_32.811522	0	ALL_NCBI_Palmdb_RdRp.Wolframvirales.0.4.fasta	1.3e-73	241.1	1.8	1.7e-73	240.7	1.8	11	1	0	0	1	1	1	1	G	2865	46	REVERSE	2819	UHM27569.1	53.5	918	420	3	28	939	28	944	945	7.6e-291	1011.1	UHM27569.1 MAG: RNA-dependent RNA polymerase [Sanya narnavirus 11]	2905312	Viruses|Lenarviricota|Amabiliviricetes|Wolframvirales|Narnaviridae|Narnavirus|Sanya narnavirus 11||Riboviria||||||||||||||||||||||||||||Orthornavirae||unclassified Narnavirus||||||||||||||||||||||||||||||	Viruses	Lenarviricota	Amabiliviricetes	Wolframvirales	Narnaviridae	Narnavirus	Sanya narnavirus 11	Orthornavirae	Riboviria	NA	NA	Wolframvirales	BestHit	F1097_NODE_7_length_2867_cov_32.811522_1	NA	NA
