nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_055192	NC_055192_Sanxia_sawastrivirus	NC_055192_Sanxia_sawastrivirus	Gerridae	Gerridae	China	China	2012	7151	Sanxia Water Strider Virus 2 strain SXSSP02 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055215	NC_055215_Culex_orthophasmavirus	NC_055215_Culex_orthophasmavirus	Culex globocoxitus	Culex	Australia	Australia: Point Douro	2015	6489	Culex phasma-like virus strain mos172gb37606 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_055394	NC_055394_Anopheles_orthophasmavirus	NC_055394_Anopheles_orthophasmavirus	Anopheles triannulatus	Anopheles	Brazil	Brazil	2015	6494	Anopheles triannulatus orthophasmavirus isolate AMA segment RNA1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043031	NC_043031_Ferak_feravirus	NC_043031_Ferak_feravirus	Culex decens	Culex	Cote d'Ivoire	Cote d'Ivoire	2004	6938	Ferak virus strain C51-CI-2004 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043039	NC_043039_Insect_inshuvirus	NC_043039_Insect_inshuvirus	Abraxas tenuisuffusa	Abraxas	China	China	2013	4899	Shuangao Insect Virus 2 strain QSA03 RNA-dependent RNA polymerase (L) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043503	NC_043503_Groundnut_ringspot_orthotospovirus	NC_043503_Groundnut_ringspot_orthotospovirus	Arachis hypogaea	Arachis	Argentina	Argentina	2012	8625	Groundnut ringspot virus isolate GRSV-AR L protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043625	NC_043625_Seattle_orthophasmavirus	NC_043625_Seattle_orthophasmavirus	Pasiphila rectangulata	Pasiphila	USA	USA	2016	6213	Seattle Prectang virus strain UW1 RNA-dependent RNA polymerase gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_043642	NC_043642_Ganda_orthophasmavirus	NC_043642_Ganda_orthophasmavirus	Osmia cornuta	Osmia	Belgium	Belgium	2015	6453	Ganda bee virus RNA-dependent RNA polymerase (RdRp) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040314	NC_040314_Pythium_polare_bunya-like_RNA_virus_1	NC_040314_Pythium_polare_bunya-like_RNA_virus_1	Globisporangium polare	Globisporangium	Norway	Norway	NA	7567	Pythium polare bunya-like RNA virus 1 PpBRV1-OPU1176 genomic RNA, nearly complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040462	NC_040462_Saesbyeol_virus	NC_040462_Saesbyeol_virus	NA	NA	South Korea	South Korea	2009	6987	Saesbyeol virus isolate Jeju segment 1, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040754	NC_040754_Athtab_bunya-like_virus	NC_040754_Athtab_bunya-like_virus	Cherax quadricarinatus	Cherax	Australia	Australia	2014	6868	Athtab bunya-like virus isolate A14-49.4 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_040759	NC_040759_Yongsan_bunyavirus_1	NC_040759_Yongsan_bunyavirus_1	Aedes vexans nipponii	Aedes	South Korea	South Korea: Yongsan	2016	6464	Yongsan bunyavirus 1 strain YBV1/16-0052/ROK/2016 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038706	NC_038706_Jonchet_jonvirus	NC_038706_Jonchet_jonvirus	NA	NA	Cote d'Ivoire	Cote d'Ivoire	2004	6904	Jonchet virus strain B81-CI-2004 segment L, complete sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038745	NC_038745_Nome_phantom_orthophasmavirus	NC_038745_Nome_phantom_orthophasmavirus	Chaoborus	Chaoborus	USA	USA	2011	4457	Nome phantom virus strain TE13 RNA-dependent RNA polymerase (RdRp) gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034462	NC_034462_Kigluaik_phantom_orthophasmavirus	NC_034462_Kigluaik_phantom_orthophasmavirus	Chaoborus trivitattus	Chaoborus	USA	USA	2011	6697	Kigluaik phantom virus strain G10N RNA-dependent RNA polymerase (RdRp) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032135	NC_032135_Qingling_orthophasmavirus	NC_032135_Qingling_orthophasmavirus	Odonata	Odonata	China	China	2013	6442	Hubei odonate virus 9 strain QTM74767 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_032151	NC_032151_Odonate_orthophasmavirus	NC_032151_Odonate_orthophasmavirus	Odonata	Odonata	China	China	2013	6413	Hubei odonate virus 8 strain QTM19232 RNA-dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031307	NC_031307_Wuhan_mosquito_orthophasmavirus_1	NC_031307_Wuhan_mosquito_orthophasmavirus_1	Culex tritaeniorhynchus	Culex	China	China	2012	6474	Wuhan Mosquito Virus 1 strain WT3-15 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031312	NC_031312_Wuhan_mosquito_orthophasmavirus_2	NC_031312_Wuhan_mosquito_orthophasmavirus_2	Culex tritaeniorhynchus	Culex	China	China	2012	6574	Wuhan Mosquito Virus 2 strain QN2-7 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_031293	NC_031293_Wuchang_cockroach_orthophasmavirus_1	NC_031293_Wuchang_cockroach_orthophasmavirus_1	Blattella germanica	Blattella	China	China	2013	6493	Wuchang Cockraoch Virus 1 strain WCZL-5 RNA-dependent RNA polymerase (L) gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
