target	accession1	rdrp_scan_orf_id	accession2	evalue_full_seq	score_full_seq	bias_full_seq	evalue_best_dom	score_best_dom	bias_best_dom	dom_num_estim_exp	dom_num_estim_reg	dom_num_estim_clu	dom_num_estim_ov	dom_num_estim_env	dom_num_estim_dom	dom_num_estim_rep	dom_num_estim_inc	description_of_target	contig_id	contig_set	orf_start	orf_end	orf_sense	orf_len
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1207_NODE_955_length_2447_cov_3.328177_1	-	8e-05	13.5	12.8	0.00012	13	12.8	11	1	0	0	1	1	1	1	-	F1207_NODE_955_length_2447_cov_3.328177	N	56	2386	FORWARD	2330
ALL_FINAL_RdRp_cores_0.3.clstr_197.Palmdb.0.4.fasta	-	F1207_NODE_1235_length_2253_cov_4.903549_1	-	0.00011	13	0.1	0.00016	12.5	0.1	11	1	0	0	1	1	1	1	-	F1207_NODE_1235_length_2253_cov_4.903549	N	2137	14	REVERSE	2123
ALL_NCBI_Palmdb_RdRp.Ghabrivirales.0.4.fasta	-	F1490_NODE_744_length_1974_cov_2.452319_1	-	3.6e-07	21.2	13.1	3.6e-07	21.2	13.1	13	2	0	0	2	2	2	1	-	F1490_NODE_744_length_1974_cov_2.452319	N	1972	44	REVERSE	1928
ALL_FINAL_RdRp_cores_0.3.clstr_724.Palmdb.0.4.fasta	-	F1490_NODE_1144_length_1682_cov_2.090350_1	-	0.00013	13	0	0.00019	12.5	0	11	1	0	0	1	1	1	1	-	F1490_NODE_1144_length_1682_cov_2.090350	N	157	1461	FORWARD	1304
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1490_NODE_1389_length_1559_cov_1.767287_1	-	0.00036	11.5	12.8	0.00048	11.1	12.8	13	1	0	0	1	1	1	1	-	F1490_NODE_1389_length_1559_cov_1.767287	N	1	1203	FORWARD	1202
ALL_NCBI_Palmdb_RdRp.Ourlivirales.0.4.fasta	-	F1490_NODE_1646_length_1442_cov_4.108147_1	-	0.00072	10.3	11.3	0.00097	9.9	11.3	11	1	0	0	1	1	1	1	-	F1490_NODE_1646_length_1442_cov_4.108147	N	144	1442	FORWARD	1298
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1614_NODE_829_length_1435_cov_4.002899_1	-	3.8e-06	18	10.5	4e-06	18	10.5	12	1	0	0	1	1	1	1	-	F1614_NODE_829_length_1435_cov_4.002899	N	1433	156	REVERSE	1277
ALL_NCBI_Palmdb_RdRp.Durnavirales.0.4.fasta	-	F1563_NODE_96_length_3314_cov_4.681497_6	-	9.4e-08	23.6	26.9	1.1e-07	23.3	26.9	11	1	0	0	1	1	1	1	-	F1563_NODE_96_length_3314_cov_4.681497	N	1472	3	REVERSE	1469
ALL_NCBI_Palmdb_RdRp.Cryppavirales.0.4.fasta	-	F1563_NODE_175_length_2905_cov_11.715088_4	-	0.00024	12.1	13	7.7e-05	13.7	7.7	2	2	0	0	2	2	2	2	-	F1563_NODE_175_length_2905_cov_11.715088	N	2699	147	REVERSE	2552
ALL_NCBI_Palmdb_RdRp.Nidovirales_Cter_GDD.0.4.fasta	-	F1124_NODE_3116_length_1364_cov_9.529412_1	-	0.0024	8.8	16.4	0.003	8.5	16.4	12	1	0	0	1	1	1	1	-	F1124_NODE_3116_length_1364_cov_9.529412	N	1363	119	REVERSE	1244
