contig_id	pident	phylum	class	order	family	genus	species	rdrp_scan_vir_group	suggested_vir_sp	orf_id	evalue	sseqid	stitle	tax_id	rdrp_scan_evalue
F1348_NODE_1_length_5392_cov_35676.523328	96.5	Kitrinoviricota	Alsuviricetes	Hepelivirales	Alphatetraviridae	NA	Sarawak virus	Permutotetraviridae	Sarawak_virus	F1348_NODE_1_length_5392_cov_35676.523328_1	0	YP_009551892.1	YP_009551892.1 hypothetical protein [Sarawak virus]	2109380	1.5e-157
F1362_NODE_102_length_3099_cov_4.507556	74.8	Kitrinoviricota	Alsuviricetes	Martellivirales	Kitaviridae	Blunervirus	Erysiphe necator associated bluner-like virus 1	Martellivirales	F1362_NODE_102_length_3099_cov_4.507556	F1362_NODE_102_length_3099_cov_4.507556_1	0	QKS69535.1	QKS69535.1 RNA-dependent RNA polymerase [Erysiphe necator associated bluner-like virus 1]	2744810	1.4e-26
F1290_NODE_1_length_10283_cov_3875.610872	67.3	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	NA	Alexandroupolis virga-like virus	Martellivirales	Blearence_virus	F1290_NODE_1_length_10283_cov_3875.610872_2	0	QRD99900.1	QRD99900.1 MAG: polyprotein, partial [Alexandroupolis virga-like virus]	2805783	3.8e-153
F1371_NODE_2_length_10261_cov_47.214776	51.7	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	NA	Hammarskog virga-like virus	Martellivirales	F1371_NODE_2_length_10261_cov_47.214776	F1371_NODE_2_length_10261_cov_47.214776_1	0	QGA87337.1	QGA87337.1 hypothetical protein [Hammarskog virga-like virus]	2665440	2.1e-153
F1352_NODE_2_length_15650_cov_128.103110	28.5	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	NA	Geranium carolinianum endornavirus	Martellivirales	Melvanize_virus	F1352_NODE_2_length_15650_cov_128.103110_1	0	QBB21108.1	QBB21108.1 polyprotein [Geranium carolinianum endornavirus]	2517909	6.1e-111
F1352_NODE_3_length_14598_cov_105.777212	48.1	Kitrinoviricota	Alsuviricetes	Martellivirales	Endornaviridae	NA	Kerstinbo virus	Martellivirales	Morruptic_virus	F1352_NODE_3_length_14598_cov_105.777212_1	0	QGA70905.1	QGA70905.1 RNA-dependent RNA polymerase [Kerstinbo virus]	2651954	2.5e-157
F1191_NODE_4_length_9750_cov_4006.621454	51.8	Kitrinoviricota	Alsuviricetes	Martellivirales	Virgaviridae	NA	Atrato Virga-like virus 3	Martellivirales	Binsibes_virus	F1191_NODE_4_length_9750_cov_4006.621454_2	0	QHA33742.1	QHA33742.1 polyprotein [Atrato Virga-like virus 3]	2689342	4.8e-147
F1018_NODE_1_length_14998_cov_54.605501	61.9	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Riboviria sp.	Martellivirales	F1018_NODE_1_length_14998_cov_54.605501	F1018_NODE_1_length_14998_cov_54.605501_1	0	QTW97797.1	QTW97797.1 RNA-dependent RNA polymerase [Riboviria sp.]	2585031	4.6e-120
F1147_NODE_1_length_11305_cov_1652.532000	69.7	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Culex pipiens-associated Tunisia virus	Martellivirales	F1147_NODE_1_length_11305_cov_1652.532000	F1147_NODE_1_length_11305_cov_1652.532000_1	0	YP_009553255.1	YP_009553255.1 replicase [Culex pipiens-associated Tunisia virus]	2079148	1.2e-164
F1113_NODE_1_length_10941_cov_118.625023	99.2	Kitrinoviricota	Alsuviricetes	Martellivirales	NA	NA	Hubei virga-like virus 2	Martellivirales	Hubei_virga_like_virus_2_subsp1	F1113_NODE_1_length_10941_cov_118.625023_5	0	QRW42815.1	QRW42815.1 MAG: polyprotein [Hubei virga-like virus 2]	1923335	3e-158
