tip_join_var	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	novel_seq	nt_slen	nt_title
AB377213	AB377213_Culex_flavivirus	AB377213_Culex_flavivirus_polyprotein	Culex pipiens	Culex	Japan	Japan: Tokyo, Shinjuku	2003	NA	10837	Culex flavivirus genomic RNA, complete genome, strain: NIID-21-2
NC_008604	NC_008604_Culex_flavivirus	NC_008604_Culex_flavivirus_polyprotein	Culex pipiens	Culex	Japan	Japan:Tokyo, Shinjuku	2003	NA	10837	Culex flavivirus, complete genome
FJ663034	FJ663034_Culex_flavivirus	FJ663034_Culex_flavivirus_polyprotein	Culex pipiens	Culex	USA	USA: Iowa	2007	NA	10837	Culex flavivirus isolate Iowa07, complete genome
KX657782	KX657782_Culex_flavivirus	KX657782_Culex_flavivirus_polyprotein	Culicidae	Culicidae	USA	USA	2016	NA	10710	Culex flavivirus strain UWB1, partial genome
KX924632	KX924632_Culex_flavivirus	KX924632_Culex_flavivirus_polyprotein	water flea	unknown	USA	USA	2016	NA	10011	Culex flavivirus strain 93C0 polyprotein gene, partial cds
MW434107	MW434107_Culex_flavivirus	MW434107_Culex_flavivirus_polyprotein	Culex pipiens	Culex	USA	USA: Alameda County, California	2017	NA	10946	Culex flavivirus isolate CMS001_029_ALCO genomic sequence
MW434108	MW434108_Culex_flavivirus	MW434108_Culex_flavivirus_polyprotein	Culex pipiens	Culex	USA	USA: Alameda County, California	2017	NA	10824	Culex flavivirus isolate CMS001_044_ALCO genomic sequence
AB701769	AB701769_Culex_flavivirus	AB701769_Culex_flavivirus_polyprotein	Culex tritaeniorhynchus	Culex	Japan	Japan: Toyama	2007	NA	10836	Culex flavivirus RNA, complete genome, strain: Toyama1849
AB701770	AB701770_Culex_flavivirus	AB701770_Culex_flavivirus_polyprotein	Culex pipiens	Culex	Japan	Japan: Toyama	2004	NA	10836	Culex flavivirus RNA, complete genome, strain: Toyama41
AB701775	AB701775_Culex_flavivirus	AB701775_Culex_flavivirus_polyprotein	Culex pipiens	Culex	Japan	Japan: Toyama	2006	NA	10835	Culex flavivirus RNA, complete genome, strain: Toyama1431
