qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	slen	evalue	bitscore	stitle	tax_id	superkingdom	phylum	class	order	family	genus	species	biotype	clade	clade1	clade10	clade11	clade12	clade13	clade14	clade15	clade16	clade17	clade18	clade19	clade2	clade3	clade4	clade5	clade6	clade7	clade8	clade9	cohort	forma	forma.specialis	forma.specialis1	genotype	infraclass	infraorder	isolate	kingdom	morph	no.rank	no.rank1	no.rank2	no.rank3	no.rank4	parvorder	pathogroup	section	series	serogroup	serotype	species.group	species.subgroup	strain	subclass	subcohort	subfamily	subgenus	subkingdom	suborder	subphylum	subsection	subspecies	subtribe	subvariety	superclass	superfamily	superorder	superphylum	tribe	varietas
F1250_NODE_41_length_382_cov_235.198777	QOJ38446.1	43.3	104	43	3	3	296	803	896	1000	7.3e-09	63.9	QOJ38446.1 polyprotein [Actinidia virus 1]	2024724	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	NA	Actinidia virus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	AGU69237.1	46.3	82	39	1	3	248	2911	2987	3095	1e-08	63.5	AGU69237.1 polyprotein [Blueberry virus A]	1206566	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	NA	Blueberry virus A	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	AGU69238.1	46.3	82	39	1	3	248	2911	2987	3621	1.1e-08	63.5	AGU69238.1 RNA dependent RNA polymerase [Blueberry virus A]	1206566	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	NA	Blueberry virus A	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	ACT67476.1	36.9	111	55	2	3	335	2179	2274	2801	1.9e-08	62.8	ACT67476.1 RNA-dependent RNA polymerase [Grapevine leafroll-associated virus Carn]	659661	Viruses	NA	NA	NA	NA	NA	Grapevine leafroll-associated virus Carn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	ACT67475.1	36.9	111	55	2	3	335	2179	2274	2287	1.9e-08	62.8	ACT67475.1 methyltransferase/helicase [Grapevine leafroll-associated virus Carn]	659661	Viruses	NA	NA	NA	NA	NA	Grapevine leafroll-associated virus Carn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified viruses	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QWK51472.1	42	81	43	1	3	245	2157	2233	2262	2.6e-08	62.4	QWK51472.1 ORF1 [Manihot esculenta associated ampelovirus 1]	2843331	Viruses	Kitrinoviricota	Alsuviricetes	Martellivirales	Closteroviridae	Ampelovirus	Manihot esculenta associated ampelovirus 1	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Orthornavirae	NA	unclassified Ampelovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QRW42791.1	46.7	75	33	1	6	230	2650	2717	3316	4.9e-08	61.6	QRW42791.1 polyprotein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QRW42821.1	46.7	75	33	1	6	230	2650	2717	3316	6.7e-08	61.2	QRW42821.1 polyprotein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QRW42825.1	46.7	75	33	1	6	230	2650	2717	3316	6.7e-08	61.2	QRW42825.1 polyprotein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QRW42793.1	46.7	75	33	1	6	230	2650	2717	3316	6.7e-08	61.2	QRW42793.1 polyprotein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	APG77663.1	46.7	75	33	1	6	230	1166	1233	1832	6.6e-08	61.2	APG77663.1 hypothetical protein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QRW42833.1	46.7	75	33	1	6	230	2650	2717	3316	6.7e-08	61.2	QRW42833.1 polyprotein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	YP_009337412.1	46.7	75	33	1	6	230	2577	2644	3243	6.7e-08	61.2	YP_009337412.1 RdRp [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
F1250_NODE_41_length_382_cov_235.198777	QRW42817.1	46.7	75	33	1	6	230	2650	2717	3316	6.7e-08	61.2	QRW42817.1 polyprotein [Hubei virga-like virus 2]	1923335	Viruses	NA	NA	NA	NA	NA	Hubei virga-like virus 2	NA	Riboviria	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unclassified Riboviria	unclassified RNA viruses ShiM-2016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
