nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_040556	NC_040556_Bee_Macula-Like_virus_2	NC_040556_Bee_Macula-Like_virus_2	NA	NA	Belgium	Belgium	2015	6373	Bee Macula-Like virus 2 isolate BeeMLV2_ahae2, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_038331	NC_038331_Bombyx_mori_latent_virus	NC_038331_Bombyx_mori_latent_virus	Bombyx mori	Bombyx	Japan	Japan	NA	6532	Bombyx mori latent virus genomic RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_034205	NC_034205_Grapevine_rupestris_vein_feathering_virus	NC_034205_Grapevine_rupestris_vein_feathering_virus	Vitis vinifera	Vitis	France	France	2016	6730	Grapevine rupestris vein feathering virus isolate Mauzac, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_030693	NC_030693_Grapevine_Red_Globe_virus	NC_030693_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	Spain	Spain	2014	6863	Grapevine Red Globe virus isolate Graciano-T101, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_015524	NC_015524_Bombyx_mori_Macula-like_virus	NC_015524_Bombyx_mori_Macula-like_virus	NA	NA	Japan	Japan	2006	6519	Bombyx mori Macula-like virus, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_002786	NC_002786_Maize_rayado_fino_virus	NC_002786_Maize_rayado_fino_virus	NA	NA	NA	NA	NA	6366	Maize rayado fino virus isolate Costa Rican, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON409651	ON409651_Alfalfa_virus_F	ON409651_Alfalfa_virus_F	Medicago sativa	Medicago	China	China	2019	6719	Alfalfa virus F isolate ZM1_NX1 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON603917	ON603917_Grapevine_Red_Globe_virus	ON603917_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	Portugal	Portugal	2016	6875	Grapevine Red Globe virus isolate TT2016-4 replicase polyprotein and coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON603918	ON603918_Grapevine_Red_Globe_virus	ON603918_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	Portugal	Portugal	2016	6751	Grapevine Red Globe virus isolate TT2016-5b replicase polyprotein and coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON603919	ON603919_Grapevine_rupestris_vein_feathering_virus	ON603919_Grapevine_rupestris_vein_feathering_virus	Vitis vinifera	Vitis	Portugal	Portugal	2016	6731	Grapevine rupestris vein feathering virus isolate TT2016-5b-13 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON603920	ON603920_Grapevine_rupestris_vein_feathering_virus	ON603920_Grapevine_rupestris_vein_feathering_virus	Vitis vinifera	Vitis	Portugal	Portugal	2016	6730	Grapevine rupestris vein feathering virus isolate TT2016-5b-14 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OL700056	OL700056_Guadeloupe_Culex_tymo-like_virus	OL700056_Guadeloupe_Culex_tymo-like_virus	Culex pipiens	Culex	China	China: Yunnan	2018	7779	MAG: Guadeloupe Culex tymo-like virus isolate XY3733 RNA-dependent RNA polymerase, capsid protein, and hypothetical protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON221463	ON221463_Grapevine_Red_Globe_virus	ON221463_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	Switzerland	Switzerland	2017	6849	Grapevine Red Globe virus isolate GRGV_CH_S replicase and coat protein genes, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON221464	ON221464_Grapevine_rupestris_vein_feathering_virus	ON221464_Grapevine_rupestris_vein_feathering_virus	Vitis vinifera	Vitis	Switzerland	Switzerland	2017	6716	Grapevine rupestris vein feathering virus isolate GRVFV_CH_M replicase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ON221465	ON221465_Grapevine_rupestris_vein_feathering_virus	ON221465_Grapevine_rupestris_vein_feathering_virus	Vitis vinifera	Vitis	Switzerland	Switzerland	2017	6198	Grapevine rupestris vein feathering virus isolate GRVFV_CH_S replicase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC704876	LC704876_Grapevine_Red_Globe_virus	LC704876_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	Japan	Japan	2020	6859	Grapevine Red Globe virus JP-YS1 RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC704878	LC704878_Grapevine_Red_Globe_virus	LC704878_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	Japan	Japan	2020	6859	Grapevine Red Globe virus JP-YS3 RNA, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ852357	MZ852357_Drosophila-associated_tymovirus	MZ852357_Drosophila-associated_tymovirus	Drosophila melanogaster	Drosophila	USA	USA	2018	5196	Drosophila-associated tymovirus isolate Con1436 putative polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN714643	MN714643_Sorghum_almum_marafivirus	MN714643_Sorghum_almum_marafivirus	Sorghum x almum	Sorghum	USA	USA: Florida	2016	6138	Sorghum almum marafivirus isolate SA-FL1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OK491506	OK491506_Xiangshan_tymo-like_virus	OK491506_Xiangshan_tymo-like_virus	Insecta	Insecta	China	China: Beijing	2020	5835	MAG: Xiangshan tymo-like virus isolate Novel_30 RNA dependent RNA polymerase gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ344581	MZ344581_Grapevine_Red_Globe_virus	MZ344581_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	NA	NA	2018	6860	Grapevine Red Globe virus isolate 18GVA003b, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MZ344584	MZ344584_Grapevine_Red_Globe_virus	MZ344584_Grapevine_Red_Globe_virus	Vitis vinifera	Vitis	NA	NA	2018	6219	Grapevine Red Globe virus isolate 18GVA016bA replicase polyprotein gene, complete cds; and coat protein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
