contig_id	contig_id_set_AuB
F1001_NODE_2217_length_1552_cov_1570.360721	F1001_NODE_2217_length_1552_cov_1570.360721
F1011_NODE_1_length_12910_cov_159.228082	F1011_NODE_1_length_12910_cov_159.228082
F1012_NODE_304_length_2419_cov_54.767343	F1012_NODE_304_length_2419_cov_54.767343
F1012_NODE_86_length_3331_cov_4.913614	F1012_NODE_86_length_3331_cov_4.913614
F1015_NODE_579_length_2145_cov_6.731100	F1015_NODE_579_length_2145_cov_6.731100
F1016_NODE_1_length_12433_cov_88.195427	F1016_NODE_1_length_12433_cov_88.195427
F1017_NODE_110_length_2473_cov_34.363110	F1017_NODE_110_length_2473_cov_34.363110
F1018_NODE_224_length_2856_cov_452.672974	F1018_NODE_224_length_2856_cov_452.672974
F1032_NODE_1_length_13213_cov_14.139915	F1032_NODE_1_length_13213_cov_14.139915
F1034_NODE_1_length_13892_cov_121.603310	F1034_NODE_1_length_13892_cov_121.603310
F1036_NODE_2_length_6945_cov_19.074020	F1036_NODE_2_length_6945_cov_19.074020
F1041_NODE_1_length_10955_cov_49.590092	F1041_NODE_1_length_10955_cov_49.590092
F1046_NODE_18_length_3649_cov_8.459655	F1046_NODE_18_length_3649_cov_8.459655
F1049_NODE_1_length_14446_cov_22.084775	F1049_NODE_1_length_14446_cov_22.084775
F1051_NODE_1_length_12044_cov_1008.365835	F1051_NODE_1_length_12044_cov_1008.365835
F1052_NODE_9_length_4423_cov_7.729625	F1052_NODE_9_length_4423_cov_7.729625
F1058_NODE_249_length_2873_cov_1427.914478	F1058_NODE_249_length_2873_cov_1427.914478
F1058_NODE_3_length_12924_cov_213.147486	F1058_NODE_3_length_12924_cov_213.147486
F1063_NODE_6_length_7436_cov_58.881317	F1063_NODE_6_length_7436_cov_58.881317
F1070_NODE_95_length_2371_cov_2.746114	F1070_NODE_95_length_2371_cov_2.746114
F1083_NODE_4_length_6674_cov_338.451730	F1083_NODE_4_length_6674_cov_338.451730
F1086_NODE_860_length_1747_cov_313.222813	F1086_NODE_860_length_1747_cov_313.222813
F1087_NODE_248_length_2122_cov_11578.753266	F1087_NODE_248_length_2122_cov_11578.753266
F1090_NODE_3_length_9180_cov_148.045808	F1090_NODE_3_length_9180_cov_148.045808
F1097_NODE_7_length_2867_cov_32.811522	F1097_NODE_7_length_2867_cov_32.811522
F1098_NODE_3_length_12183_cov_705.053183	F1098_NODE_3_length_12183_cov_705.053183
F1102_NODE_96_length_4042_cov_224.580637	F1102_NODE_96_length_4042_cov_224.580637
F1103_NODE_1_length_10799_cov_1076.610853	F1103_NODE_1_length_10799_cov_1076.610853
F1113_NODE_1_length_10941_cov_118.625023	F1113_NODE_1_length_10941_cov_118.625023
F1117_NODE_14_length_2164_cov_4.907539	F1117_NODE_14_length_2164_cov_4.907539
F1120_NODE_1_length_11041_cov_142.104315	F1120_NODE_1_length_11041_cov_142.104315
F1120_NODE_2_length_7852_cov_13.154547	F1120_NODE_2_length_7852_cov_13.154547
F1120_NODE_4_length_5019_cov_758.624496	F1120_NODE_4_length_5019_cov_758.624496
F1120_NODE_57_length_2277_cov_3.948245	F1120_NODE_57_length_2277_cov_3.948245
F1132_NODE_2_length_3968_cov_71.654741	F1132_NODE_2_length_3968_cov_71.654741
F1132_NODE_20_length_1630_cov_351.145397	F1132_NODE_20_length_1630_cov_351.145397
F1132_NODE_4_length_3029_cov_94.587088	F1132_NODE_4_length_3029_cov_94.587088
F1132_NODE_7_length_2830_cov_221.665225	F1132_NODE_7_length_2830_cov_221.665225
F1143_NODE_11_length_7548_cov_9.055652	F1143_NODE_11_length_7548_cov_9.055652
F1156_NODE_2_length_7200_cov_572.252624	F1156_NODE_2_length_7200_cov_572.252624
F1156_NODE_25_length_2967_cov_121.096841	F1156_NODE_25_length_2967_cov_121.096841
F1161_NODE_1_length_11153_cov_400.498018	F1161_NODE_1_length_11153_cov_400.498018
F1172_NODE_107_length_2728_cov_139.118593	F1172_NODE_107_length_2728_cov_139.118593
F1182_NODE_14_length_2324_cov_40.641692	F1182_NODE_14_length_2324_cov_40.641692
F1183_NODE_2_length_5307_cov_3.704303	F1183_NODE_2_length_5307_cov_3.704303
F1186_NODE_10_length_7325_cov_98.964924	F1186_NODE_10_length_7325_cov_98.964924
F1187_NODE_97_length_3950_cov_14.483184	F1187_NODE_97_length_3950_cov_14.483184
F1191_NODE_4_length_9750_cov_4006.621454	F1191_NODE_4_length_9750_cov_4006.621454
F1191_NODE_7_length_7342_cov_35.660217	F1191_NODE_7_length_7342_cov_35.660217
F1193_NODE_250_length_1595_cov_322.071429	F1193_NODE_250_length_1595_cov_322.071429
F1194_NODE_164_length_3752_cov_1084.265350	F1194_NODE_164_length_3752_cov_1084.265350
F1216_NODE_3_length_2896_cov_592.429426	F1216_NODE_3_length_2896_cov_592.429426
F1252_NODE_24_length_1618_cov_11.545106	F1252_NODE_24_length_1618_cov_11.545106
F1257_NODE_34_length_2521_cov_73.984590	F1257_NODE_34_length_2521_cov_73.984590
F1260_NODE_257_length_1441_cov_2.484127	F1260_NODE_257_length_1441_cov_2.484127
F1260_NODE_31_length_2456_cov_5.143274	F1260_NODE_31_length_2456_cov_5.143274
F1261_NODE_1_length_2988_cov_1102.824412	F1261_NODE_1_length_2988_cov_1102.824412
F1276_NODE_1_length_11166_cov_10233.738097	F1276_NODE_1_length_11166_cov_10233.738097
F1290_NODE_1_length_10283_cov_3875.610872	F1290_NODE_1_length_10283_cov_3875.610872
F1322_NODE_126_length_1586_cov_15.097322	F1322_NODE_126_length_1586_cov_15.097322
F1335_NODE_10_length_10737_cov_757.789833	F1335_NODE_10_length_10737_cov_757.789833
F1339_NODE_2128_length_1366_cov_2.616323	F1339_NODE_2128_length_1366_cov_2.616323
F1339_NODE_266_length_3313_cov_7.505832	F1339_NODE_266_length_3313_cov_7.505832
F1339_NODE_31_length_6863_cov_3148.768801	F1339_NODE_31_length_6863_cov_3148.768801
F1339_NODE_545_length_2516_cov_6.107680	F1339_NODE_545_length_2516_cov_6.107680
F1341_NODE_1_length_10408_cov_43.617212	F1341_NODE_1_length_10408_cov_43.617212
F1347_NODE_3_length_2331_cov_1398.506591	F1347_NODE_3_length_2331_cov_1398.506591
F1352_NODE_2_length_15650_cov_128.103110	F1352_NODE_2_length_15650_cov_128.103110
F1352_NODE_3_length_14598_cov_105.777212	F1352_NODE_3_length_14598_cov_105.777212
F1352_NODE_69_length_3272_cov_31.923220	F1352_NODE_69_length_3272_cov_31.923220
F1353_NODE_7_length_2498_cov_283.717560	F1353_NODE_7_length_2498_cov_283.717560
F1356_NODE_1_length_12554_cov_1575.312665	F1356_NODE_1_length_12554_cov_1575.312665
F1357_NODE_209_length_2151_cov_308.112595	F1357_NODE_209_length_2151_cov_308.112595
F1357_NODE_9_length_4740_cov_48.165208	F1357_NODE_9_length_4740_cov_48.165208
F1359_NODE_2_length_14873_cov_82.619989	F1359_NODE_2_length_14873_cov_82.619989
