nt_accession	nt_seq_ID	tip_labels	host_taxon	host_genus	Country	Location	Year	nt_slen	nt_title	original_metaspades_contig_node_IDs	original_sample_ID	read_map_consensus_sample_ID	orf_id	contig_id	morph_mosq_sp	SKA_SNP_dist_dend	verif_mosq_sp	comment	cluster_on_SKA_plot
NC_035071	NC_035071_Apis_flavivirus	NC_035071_Apis_flavivirus	Apis mellifera	Apis	South Africa	South Africa	2013	20414	Apis flavivirus isolate RI-A polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_030228	NC_030228_Xinzhou_spider_virus_3	NC_030228_Xinzhou_spider_virus_3	Neoscona nautica	Neoscona	China	China	2013	20433	Xinzhou spider virus 3 strain XZZZ-3 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_028367	NC_028367_Tacheng_tick_virus_8	NC_028367_Tacheng_tick_virus_8	Dermacentor marginatus	Dermacentor	China	China	2012	19537	Tacheng tick virus 8 strain TCP-2 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_028370	NC_028370_Xingshan_cricket_virus	NC_028370_Xingshan_cricket_virus	Velarifictorus micado	Velarifictorus	China	China	2013	21779	Xingshan cricket virus strain XSXS-2 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_028373	NC_028373_Shuangao_lacewing_virus_2	NC_028373_Shuangao_lacewing_virus_2	Chrysopidae	Chrysopidae	China	China	2013	18554	Shuangao lacewing virus 2 strain SCL polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_028374	NC_028374_Gamboa_mosquito_virus	NC_028374_Gamboa_mosquito_virus	Culicidae	Culicidae	China	China	2013	26315	Gamboa mosquito virus strain GW polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_028375	NC_028375_Shayang_fly_virus_4	NC_028375_Shayang_fly_virus_4	Musca domestica	Musca	China	China	2013	16053	Shayang fly virus 4 strain SYCY polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NC_024077	NC_024077_Soybean_cyst_nematode_virus_5	NC_024077_Soybean_cyst_nematode_virus_5	Heterodera glycines	Heterodera	USA	USA	2012	19199	Soybean cyst nematode virus 5 strain ScV5 polyprotein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MW314681	MW314681_Odonatan_flavi-related_virus	MW314681_Odonatan_flavi-related_virus	Orthetrum albistylum	Orthetrum	Greece	Greece: Thessaloniki, Regional Unit Lake Volvi	2012	19342	Odonatan flavi-related virus isolate OKIAV365 polyprotein gene, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN714664	MN714664_Frankliniella_occidentalis_flavi-like_virus_1	MN714664_Frankliniella_occidentalis_flavi-like_virus_1	Frankliniella occidentalis	Frankliniella	Italy	Italy	2018	19679	Frankliniella occidentalis flavi-like virus 1 isolate ThassRNAV1 hypothetical protein gene, complete cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LC516844	LC516844_Barley_aphid_RNA_virus_9	LC516844_Barley_aphid_RNA_virus_9	Sitobion avenae	Sitobion	Japan	Japan:Kurashiki	2016	15288	Barley aphid RNA virus 9 08BaA1 gene for polyprotein, partial cds	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MN661082	MN661082_Atrato_Flavi-like_virus_1	MN661082_Atrato_Flavi-like_virus_1	Culex	Culex	Colombia	Colombia	2016	20446	Atrato Flavi-like virus 1 strain Cx 1773-1 genomic sequence, sequence	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MH620810	MH620810_Lampyris_noctiluca_flavivirus_1	MH620810_Lampyris_noctiluca_flavivirus_1	Lampyris noctiluca	Lampyris	Finland	Finland	2017	18917	Lampyris noctiluca flavivirus 1 isolate 17FIN1, complete genome	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AB698918	AB698918_Gentian_Kobu-sho-associated_virus	AB698918_Gentian_Kobu-sho-associated_virus	Gentiana scabra	Gentiana	Japan	Japan:Iwate, Waga, Nishiwaga	2009	22776	Gentian Kobu-sho-associated virus RNA, complete genome, isolate: Nishiwaga	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	Mummution_virus_F1187C1F1187	Mummution_virus_F1187C1F1187	Aedes caecus	Aedes	Cambodia	Cambodia:Pursat	2019	NA	NA	C1	F1187	F1187	F1187_NODE_1_length_18532_cov_6.864318_2	F1187_NODE_1_length_18532_cov_6.864318	Aedes caecus	correct	Aedes caecus	_	cluster24
